DATE,SPHY,JNK,SCYB,HYLB,USHY,HYG
45659,23.53,95.75,26.22,36.16,36.86,78.84
45660,23.57,95.95,26.26,36.25,36.96,78.96
45663,23.61,96.06,26.26,36.29,36.99,79.1
45664,23.54,95.77,26.19,36.19,36.88,78.84
45665,23.55,95.87,26.22,36.24,36.91,78.94
45667,23.43,95.34,26.1,36.03,36.71,78.53
45670,23.43,95.3,26.08,36.04,36.73,78.51
45671,23.46,95.38,26.1,36.05,36.76,78.61
45672,23.65,96.26,26.31,36.38,37.08,79.3
45673,23.68,96.37,26.36,36.43,37.12,79.39
45674,23.72,96.45,26.39,36.47,37.19,79.46
45678,23.77,96.73,26.47,36.56,37.26,79.67
45679,23.74,96.57,26.43,36.5,37.21,79.56
45680,23.77,96.71,26.46,36.55,37.27,79.66
45681,23.8,96.81,26.48,36.58,37.29,79.75
45684,23.82,96.92,26.51,36.61,37.34,79.81
45685,23.81,96.86,26.5,36.61,37.31,79.78
45686,23.8,96.78,26.49,36.58,37.3,79.73
45687,23.83,96.98,26.53,36.63,37.35,79.88
45688,23.78,96.76,26.49,36.58,37.29,79.72
45691,23.61,96.1,26.29,36.35,37.05,79.26
45692,23.68,96.38,26.36,36.43,37.14,79.51
45693,23.74,96.64,26.46,36.54,37.26,79.72
45694,23.71,96.52,26.4,36.48,37.19,79.6
45695,23.65,96.24,26.33,36.38,37.09,79.35
45698,23.69,96.46,26.39,36.46,37.16,79.51
45699,23.67,96.35,26.35,36.42,37.13,79.48
45700,23.62,96.13,26.32,36.34,37.06,79.31
45701,23.73,96.56,26.39,36.5,37.23,79.67
45702,23.75,96.68,26.45,36.53,37.26,79.76
45706,23.74,96.62,26.41,36.51,37.25,79.69
45707,23.75,96.7,26.41,36.55,37.26,79.75
45708,23.77,96.77,26.44,36.56,37.29,79.8
45709,23.74,96.63,26.41,36.51,37.23,79.65
45712,23.76,96.72,26.44,36.56,37.28,79.75
45713,23.8,96.96,26.51,36.63,37.37,79.95
45714,23.84,97.05,26.52,36.69,37.4,80.06
45715,23.79,96.85,26.47,36.62,37.33,79.91
45716,23.84,97.12,26.54,36.72,37.45,80.13
45719,23.66,96.38,26.34,36.46,37.15,79.59
45720,23.63,96.27,26.33,36.46,37.14,79.58
45721,23.65,96.31,26.26,36.49,37.15,79.62
45722,23.56,95.97,26.24,36.33,37.01,79.32
45723,23.61,96.11,26.27,36.41,37.09,79.45
45726,23.52,95.74,26.17,36.27,36.94,79.15
45727,23.42,95.31,26.1,36.12,36.8,78.87
45728,23.44,95.4,26.12,36.14,36.78,78.96
45729,23.32,94.86,25.98,35.96,36.63,78.52
45730,23.43,95.33,26.08,36.14,36.81,78.88
45733,23.47,95.58,26.17,36.24,36.88,79.07
45734,23.44,95.41,26.12,36.19,36.81,78.93
45735,23.58,95.98,26.27,36.38,37.05,79.45
45736,23.54,95.86,26.22,36.33,36.99,79.34
45737,23.51,95.76,26.25,36.31,36.97,79.22
45740,23.6,96.13,26.31,36.44,37.11,79.45
45741,23.59,96.03,26.26,36.38,37.05,79.41
45742,23.49,95.57,26.17,36.25,36.91,79.09
45743,23.43,95.39,26.1,36.17,36.83,78.94
45744,23.41,95.21,26.1,36.1,36.77,78.8
45747,23.42,95.3,26.11,36.15,36.81,78.89
45748,23.32,95.02,25.99,36.05,36.67,78.69
