,symbol,unknown_0,unknown_1,unknown_2,min_order_size,max_order_size,unknown_5,unknown_6,unknown_7,initial_margin,maintenance_margin,unknown_10,unknown_11,pf_locator
0,AAVE:USD,,,,0.02,5000.0,,,,,,,,tAAVE:USD
1,AAVE:UST,,,,0.02,5000.0,,,,,,,,tAAVE:UST
2,ADABTC,,,,4.0,250000.0,,,,0.3,0.15,,,tADABTC
3,ADAUSD,,,,4.0,250000.0,,,,0.3,0.15,,,tADAUSD
4,ADAUST,,,,4.0,250000.0,,,,0.3,0.15,,,tADAUST
5,ALGUSD,,,,8.0,150000.0,,,,0.5,0.25,,,tALGUSD
6,ALT2612:USD,,,,0.02,360000.0,,,,,,,,tALT2612:USD
7,ALT2612:UST,,,,0.02,360000.0,,,,,,,,tALT2612:UST
8,APTUSD,,,,0.2,30000.0,,,,0.3,0.15,,,tAPTUSD
9,APTUST,,,,0.2,30000.0,,,,0.3,0.15,,,tAPTUST
10,ARBUSD,,,,1.0,75000.0,,,,,,,,tARBUSD
11,ARBUST,,,,1.0,75000.0,,,,,,,,tARBUST
12,ATOUSD,,,,0.2,100000.0,,,,0.5,0.25,,,tATOUSD
13,ATOUST,,,,0.2,100000.0,,,,0.3,0.15,,,tATOUST
14,AUSDT:USD,,,,0.001,5000000.0,,,,,,,,tAUSDT:USD
15,AUSDT:UST,,,,0.001,5000000.0,,,,,,,,tAUSDT:UST
16,AVAX:BTC,,,,0.08,50000.0,,,,0.3,0.15,,,tAVAX:BTC
17,AVAX:USD,,,,0.08,50000.0,,,,0.3,0.15,,,tAVAX:USD
18,AVAX:UST,,,,0.08,50000.0,,,,0.3,0.15,,,tAVAX:UST
19,B2MUSD,,,,210.0,5000000.0,,,,,,,,tB2MUSD
20,B2MUST,,,,210.0,5000000.0,,,,,,,,tB2MUST
21,BCHN:USD,,,,0.006,1000.0,,,,0.3,0.15,,,tBCHN:USD
22,BGBUSD,,,,2.0,250000.0,,,,,,,,tBGBUSD
23,BGBUST,,,,2.0,250000.0,,,,,,,,tBGBUST
24,BMN2:BTC,,,,0.001,1000.0,,,,,,,,tBMN2:BTC
25,BMN2:USD,,,,0.001,1000.0,,,,,,,,tBMN2:USD
26,BTC:EURQ,,,,0.00004,100.0,,,,,,,,tBTC:EURQ
27,BTC:EURR,,,,0.00004,100.0,,,,,,,,tBTC:EURR
28,BTC:USDQ,,,,0.00004,100.0,,,,,,,,tBTC:USDQ
29,BTC:USDR,,,,0.00004,100.0,,,,,,,,tBTC:USDR
30,BTC:XAUT,,,,0.00004,250.0,,,,,,,,tBTC:XAUT
31,BTCEUR,,,,0.00004,2000.0,,,,0.2,0.1,,,tBTCEUR
32,BTCGBP,,,,0.00004,2000.0,,,,0.3,0.15,,,tBTCGBP
33,BTCUSD,,,,0.00004,2000.0,,,,0.1,0.05,,,tBTCUSD
34,BTCUST,,,,0.00004,2000.0,,,,0.1,0.05,,,tBTCUST
35,CELO:USD,,,,2.0,65000.0,,,,,,,,tCELO:USD
36,CELO:UST,,,,2.0,65000.0,,,,,,,,tCELO:UST
37,CHZUSD,,,,16.0,250000.0,,,,,,,,tCHZUSD
38,CHZUST,,,,16.0,250000.0,,,,,,,,tCHZUST
39,CNHT:USD,,,,34.0,350000.0,,,,,,,,tCNHT:USD
40,CRVUSD,,,,2.0,50000.0,,,,,,,,tCRVUSD
41,CRVUST,,,,2.0,50000.0,,,,,,,,tCRVUST
42,DOGE:BTC,,,,22.0,1500000.0,,,,0.3,0.15,,,tDOGE:BTC
43,DOGE:USD,,,,22.0,1500000.0,,,,0.3,0.15,,,tDOGE:USD
44,DOGE:UST,,,,22.0,1500000.0,,,,0.3,0.15,,,tDOGE:UST
45,DOTUSD,,,,0.2,50000.0,,,,0.3,0.15,,,tDOTUSD
46,DOTUST,,,,0.2,50000.0,,,,0.3,0.15,,,tDOTUST
47,DSHBTC,,,,0.06,5000.0,,,,0.3,0.15,,,tDSHBTC
48,DSHUSD,,,,0.06,5000.0,,,,0.3,0.15,,,tDSHUSD
49,EIGEN:USD,,,,0.001,14000.0,,,,,,,,tEIGEN:USD
50,EIGEN:UST,,,,0.001,14000.0,,,,,,,,tEIGEN:UST
51,ENAUSD,,,,0.001,300000.0,,,,,,,,tENAUSD
52,ENAUST,,,,0.001,300000.0,,,,,,,,tENAUST
53,EOSUSD,,,,2.0,50000.0,,,,,,,,tEOSUSD
54,EOSUST,,,,2.0,50000.0,,,,,,,,tEOSUST
55,ETCBTC,,,,0.1,100000.0,,,,0.3,0.15,,,tETCBTC
56,ETCUSD,,,,0.1,100000.0,,,,0.3,0.15,,,tETCUSD
57,ETCUST,,,,0.1,100000.0,,,,0.3,0.15,,,tETCUST
58,ETH2X:ETH,,,,0.0008,5000.0,,,,,,,,tETH2X:ETH
59,ETH2X:USD,,,,0.0008,5000.0,,,,,,,,tETH2X:USD
60,ETH2X:UST,,,,0.0008,5000.0,,,,,,,,tETH2X:UST
61,ETH:XAUT,,,,0.0008,2500.0,,,,,,,,tETH:XAUT
62,ETHBTC,,,,0.0008,5000.0,,,,0.2,0.1,,,tETHBTC
63,ETHEUR,,,,0.0008,5000.0,,,,0.3,0.15,,,tETHEUR
64,ETHGBP,,,,0.0008,5000.0,,,,0.3,0.15,,,tETHGBP
65,ETHUSD,,,,0.0008,5000.0,,,,0.2,0.1,,,tETHUSD
66,ETHUST,,,,0.0008,2000.0,,,,0.2,0.1,,,tETHUST
67,EURQ:EUR,,,,0.001,100000.0,,,,,,,,tEURQ:EUR
68,EURQ:USD,,,,0.001,50000.0,,,,,,,,tEURQ:USD
69,EURQ:UST,,,,0.001,50000.0,,,,,,,,tEURQ:UST
70,EURR:EUR,,,,0.001,100000.0,,,,,,,,tEURR:EUR
71,EURR:USD,,,,0.001,100000.0,,,,,,,,tEURR:USD
72,EURR:UST,,,,0.001,100000.0,,,,,,,,tEURR:UST
73,EURUST,,,,2.0,1000000.0,,,,,,,,tEURUST
74,FILUSD,,,,0.2,10000.0,,,,0.3,0.15,,,tFILUSD
75,FILUST,,,,0.2,10000.0,,,,0.3,0.15,,,tFILUST
76,GBPUST,,,,2.0,500000.0,,,,,,,,tGBPUST
77,GOMINING:USD,,,,6.0,360000.0,,,,,,,,tGOMINING:USD
78,GOMINING:UST,,,,6.0,360000.0,,,,,,,,tGOMINING:UST
79,GTXUSD,,,,0.6,10000.0,,,,,,,,tGTXUSD
80,GTXUST,,,,0.6,10000.0,,,,,,,,tGTXUST
81,GUNUSD,,,,0.001,2000000.0,,,,,,,,tGUNUSD
82,GUNUST,,,,0.001,2000000.0,,,,,,,,tGUNUST
83,HYPE:USD,,,,0.001,1200.0,,,,,,,,tHYPE:USD
84,HYPE:UST,,,,0.001,1200.0,,,,,,,,tHYPE:UST
85,IOTUSD,,,,6.0,100000.0,,,,0.3,0.15,,,tIOTUSD
86,JPYUST,,,,300.0,100000000.0,,,,,,,,tJPYUST
87,JUPUSD,,,,4.0,350000.0,,,,,,,,tJUPUSD
88,JUPUST,,,,4.0,350000.0,,,,,,,,tJUPUST
89,KAIA:USD,,,,0.001,400000.0,,,,,,,,tKAIA:USD
90,KAIA:UST,,,,0.001,400000.0,,,,,,,,tKAIA:UST
91,KAVA:USD,,,,2.0,250000.0,,,,,,,,tKAVA:USD
92,KAVA:UST,,,,2.0,250000.0,,,,,,,,tKAVA:UST
93,LDOUSD,,,,0.6,100000.0,,,,,,,,tLDOUSD
94,LDOUST,,,,0.6,100000.0,,,,,,,,tLDOUST
95,LEOBTC,,,,0.6,50000.0,,,,,,,,tLEOBTC
96,LEOUSD,,,,0.6,50000.0,,,,0.3,0.15,,,tLEOUSD
97,LEOUST,,,,0.6,50000.0,,,,0.3,0.15,,,tLEOUST
98,LIFIII:USD,,,,74.0,5000000.0,,,,,,,,tLIFIII:USD
99,LIFIII:UST,,,,74.0,5000000.0,,,,,,,,tLIFIII:UST
100,LINK:USD,,,,0.2,50000.0,,,,0.3,0.15,,,tLINK:USD
101,LINK:UST,,,,0.2,50000.0,,,,0.3,0.15,,,tLINK:UST
102,LTCBTC,,,,0.04,5000.0,,,,0.3,0.15,,,tLTCBTC
103,LTCUSD,,,,0.04,5000.0,,,,0.2,0.1,,,tLTCUSD
104,LTCUST,,,,0.04,2000.0,,,,0.2,0.1,,,tLTCUST
105,MNTUSD,,,,0.001,35000.0,,,,,,,,tMNTUSD
106,MNTUST,,,,0.001,35000.0,,,,,,,,tMNTUST
107,MXNT:USD,,,,34.0,10000000.0,,,,,,,,tMXNT:USD
108,NEAR:USD,,,,0.4,25000.0,,,,,,,,tNEAR:USD
109,NEAR:UST,,,,0.4,25000.0,,,,,,,,tNEAR:UST
110,NEOUSD,,,,0.2,10000.0,,,,0.3,0.15,,,tNEOUSD
111,NEOUST,,,,0.2,10000.0,,,,0.3,0.15,,,tNEOUST
112,NEXO:BTC,,,,2.0,250000.0,,,,,,,,tNEXO:BTC
113,NEXO:USD,,,,2.0,250000.0,,,,,,,,tNEXO:USD
114,NEXO:UST,,,,2.0,250000.0,,,,,,,,tNEXO:UST
115,NYMUSD,,,,0.001,600000.0,,,,,,,,tNYMUSD
116,NYMUST,,,,0.001,600000.0,,,,,,,,tNYMUST
117,OMNUSD,,,,0.8,20000.0,,,,,,,,tOMNUSD
118,OPXUSD,,,,0.6,250000.0,,,,,,,,tOPXUSD
119,OPXUST,,,,0.6,250000.0,,,,,,,,tOPXUST
120,PEPE:USD,,,,392156.0,50000000000.0,,,,,,,,tPEPE:USD
121,PEPE:UST,,,,392156.0,50000000000.0,,,,,,,,tPEPE:UST
122,PNKUSD,,,,52.0,1000000.0,,,,,,,,tPNKUSD
123,POLUSD,,,,0.001,65000.0,,,,,,,,tPOLUSD
124,POLUST,,,,0.001,65000.0,,,,,,,,tPOLUST
125,RLSUSD,,,,0.001,4000000.0,,,,,,,,tRLSUSD
126,RLSUST,,,,0.001,4000000.0,,,,,,,,tRLSUST
127,RRTUSD,,,,4.0,100000.0,,,,,,,,tRRTUSD
128,SEIUSD,,,,2.0,250000.0,,,,,,,,tSEIUSD
129,SEIUST,,,,2.0,250000.0,,,,,,,,tSEIUST
130,SHIB:USD,,,,141010.0,5000000000.0,,,,0.3,0.15,,,tSHIB:USD
131,SHIB:UST,,,,141010.0,5000000000.0,,,,0.3,0.15,,,tSHIB:UST
132,SKYUSD,,,,0.001,60000000.0,,,,,,,,tSKYUSD
133,SKYUST,,,,0.001,60000000.0,,,,,,,,tSKYUST
134,SOLBTC,,,,0.02,50000.0,,,,0.3,0.15,,,tSOLBTC
135,SOLUSD,,,,0.02,50000.0,,,,0.3,0.15,,,tSOLUSD
136,SOLUST,,,,0.02,50000.0,,,,0.3,0.15,,,tSOLUST
137,STABLE:USD,,,,0.001,1300000.0,,,,,,,,tSTABLE:USD
138,STABLE:UST,,,,0.001,1300000.0,,,,,,,,tSTABLE:UST
139,STGUSD,,,,4.0,250000.0,,,,,,,,tSTGUSD
140,STGUST,,,,4.0,250000.0,,,,,,,,tSTGUST
141,STXUSD,,,,0.001,75000.0,,,,,,,,tSTXUSD
