,symbol,contractType,status,baseCoin,quoteCoin,launchTime,deliveryTime,deliveryFeeRate,priceScale,leverageFilter,unifiedMarginTrade,fundingInterval,settleCoin,copyTrading,upperFundingRate,lowerFundingRate,isPreListing,preListingInfo,displayName,symbolType,forbidUplWithdrawal,priceFilter.minPrice,priceFilter.maxPrice,priceFilter.tickSize,lotSizeFilter.maxOrderQty,lotSizeFilter.minOrderQty,lotSizeFilter.qtyStep,lotSizeFilter.postOnlyMaxOrderQty,lotSizeFilter.maxMktOrderQty,lotSizeFilter.minNotionalValue,category
0,AAVEUSD,InversePerpetual,Trading,AAVE,USD,1741333341000,0,,2,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,AAVE,none,0.025,-0.025,False,,,,False,0.01,199999.98,0.01,250000,1,1,250000,50000,5,inverse
1,ADAUSD,InversePerpetual,Trading,ADA,USD,1648080000000,0,,4,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,480,ADA,none,0.01,-0.01,False,,,,False,0.0001,1999.9998,0.0001,400000,1,1,400000,80000,5,inverse
2,APTUSD,InversePerpetual,Trading,APT,USD,1741333290000,0,,4,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,APT,none,0.025,-0.025,False,,,,False,0.0001,1999.9998,0.0001,250000,1,1,250000,50000,5,inverse
3,AVAXUSD,InversePerpetual,Trading,AVAX,USD,1741155899000,0,,3,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,AVAX,none,0.025,-0.025,False,,,,False,0.001,19999.998,0.001,500000,1,1,500000,100000,5,inverse
4,BCHUSD,InversePerpetual,Trading,BCH,USD,1741155967000,0,,2,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,BCH,none,0.025,-0.025,False,,,,False,0.10,1999999.80,0.10,250000,1,1,250000,50000,5,inverse
5,BTCUSD,InversePerpetual,Trading,BTC,USD,1542211200000,0,,2,"{'minLeverage': '1', 'maxLeverage': '100.00', 'leverageStep': '0.01'}",True,480,BTC,none,0.005,-0.005,False,,,,False,0.10,1999999.80,0.10,25000000,1,1,25000000,5000000,5,inverse
6,BTCUSDM26,InverseFutures,Trading,BTC,USD,1765526400000,1782460800000,0.0005,2,"{'minLeverage': '1', 'maxLeverage': '100.00', 'leverageStep': '0.01'}",True,0,BTC,none,0,0,False,,,,False,0.50,9999999.00,0.50,5000000,1,1,5000000,1000000,5,inverse
7,BTCUSDU26,InverseFutures,Trading,BTC,USD,1773388800000,1790323200000,0.0005,2,"{'minLeverage': '1', 'maxLeverage': '100.00', 'leverageStep': '0.01'}",True,0,BTC,none,0,0,False,,,,False,0.50,9999999.00,0.50,5000000,1,1,5000000,1000000,5,inverse
8,DOGEUSD,InversePerpetual,Trading,DOGE,USD,1741155587000,0,,5,"{'minLeverage': '1', 'maxLeverage': '25.00', 'leverageStep': '0.01'}",True,480,DOGE,none,0.02,-0.02,False,,,,False,0.00001,199.99998,0.00001,1500000,1,1,1500000,300000,5,inverse
9,DOTUSD,InversePerpetual,Trading,DOT,USD,1634083200000,0,,4,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,480,DOT,none,0.01,-0.01,False,,,,False,0.0001,1999.9998,0.0001,100000,1,1,100000,20000,5,inverse
10,ETCUSD,InversePerpetual,Trading,ETC,USD,1741333729000,0,,3,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,ETC,none,0.025,-0.025,False,,,,False,0.001,19999.998,0.001,200000,1,1,200000,40000,5,inverse
11,ETHUSD,InversePerpetual,Trading,ETH,USD,1546300800000,0,,2,"{'minLeverage': '1', 'maxLeverage': '100.00', 'leverageStep': '0.01'}",True,480,ETH,none,0.005,-0.005,False,,,,False,0.01,199999.98,0.01,10000000,1,1,10000000,2000000,5,inverse
12,ETHUSDM26,InverseFutures,Trading,ETH,USD,1765526400000,1782460800000,0.0005,2,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,0,ETH,none,0,0,False,,,,False,0.05,999999.90,0.05,5000000,1,1,5000000,1000000,5,inverse
13,ETHUSDU26,InverseFutures,Trading,ETH,USD,1773388800000,1790323200000,0.0005,2,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,0,ETH,none,0,0,False,,,,False,0.05,999999.90,0.05,5000000,1,1,5000000,1000000,5,inverse
14,FILUSD,InversePerpetual,Trading,FIL,USD,1741155726000,0,,4,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,FIL,none,0.025,-0.025,False,,,,False,0.0001,1999.9998,0.0001,250000,1,1,250000,50000,5,inverse
15,LINKUSD,InversePerpetual,Trading,LINK,USD,1741155790000,0,,3,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,LINK,none,0.025,-0.025,False,,,,False,0.001,19999.998,0.001,500000,1,1,500000,100000,5,inverse
16,LTCUSD,InversePerpetual,Trading,LTC,USD,1648684800000,0,,2,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,480,LTC,none,0.01,-0.01,False,,,,False,0.01,199999.98,0.01,400000,1,1,400000,80000,5,inverse
17,MNTUSD,InversePerpetual,Trading,MNT,USD,1741333414000,0,,4,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,480,MNT,none,0.02,-0.02,False,,,,False,0.0001,1999.9998,0.0001,250000,1,1,250000,50000,5,inverse
18,NEARUSD,InversePerpetual,Trading,NEAR,USD,1740982898000,0,,4,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,NEAR,none,0.025,-0.025,False,,,,False,0.0001,1999.9998,0.0001,250000,1,1,250000,50000,5,inverse
19,OPUSD,InversePerpetual,Trading,OP,USD,1741250463000,0,,5,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,OP,none,0.025,-0.025,False,,,,False,0.00001,199.99998,0.00001,50000,1,1,50000,10000,5,inverse
20,SOLUSD,InversePerpetual,Trading,SOL,USD,1712714400000,0,,2,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,480,SOL,none,0.01,-0.01,False,,,,False,0.01,199999.98,0.01,1000000,1,1,1000000,1000000,5,inverse
21,SUIUSD,InversePerpetual,Trading,SUI,USD,1741250124000,0,,4,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,SUI,none,0.025,-0.025,False,,,,False,0.0001,1999.9998,0.0001,500000,1,1,500000,100000,5,inverse
22,TONUSD,InversePerpetual,Trading,TON,USD,1741333483000,0,,4,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,TON,none,0.025,-0.025,False,,,,False,0.0001,1999.9998,0.0001,250000,1,1,250000,50000,5,inverse
23,UNIUSD,InversePerpetual,Trading,UNI,USD,1741250371000,0,,3,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,UNI,none,0.025,-0.025,False,,,,False,0.001,19999.998,0.001,250000,1,1,250000,50000,5,inverse
24,WIFUSD,InversePerpetual,Trading,WIF,USD,1741250038000,0,,5,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,WIF,none,0.025,-0.025,False,,,,False,0.00001,199.99998,0.00001,500000,1,1,500000,100000,5,inverse
25,XLMUSD,InversePerpetual,Trading,XLM,USD,1741250583000,0,,5,"{'minLeverage': '1', 'maxLeverage': '20.00', 'leverageStep': '0.01'}",True,480,XLM,none,0.025,-0.025,False,,,,False,0.00001,199.99998,0.00001,250000,1,1,250000,50000,5,inverse
26,XRPUSD,InversePerpetual,Trading,XRP,USD,1555927080000,0,,4,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,480,XRP,none,0.01,-0.01,False,,,,False,0.0001,1999.9998,0.0001,1000000,1,1,1000000,1000000,5,inverse
