,symbol,contractType,status,baseCoin,quoteCoin,launchTime,deliveryTime,deliveryFeeRate,priceScale,leverageFilter,unifiedMarginTrade,fundingInterval,settleCoin,copyTrading,upperFundingRate,lowerFundingRate,isPreListing,preListingInfo,displayName,symbolType,forbidUplWithdrawal,priceFilter.minPrice,priceFilter.maxPrice,priceFilter.tickSize,lotSizeFilter.maxOrderQty,lotSizeFilter.minOrderQty,lotSizeFilter.qtyStep,lotSizeFilter.postOnlyMaxOrderQty,lotSizeFilter.maxMktOrderQty,lotSizeFilter.minNotionalValue,category
0,0GUSDT,LinearPerpetual,Trading,0G,USDT,1758175736000,0,,4,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,240,USDT,both,0.01,-0.01,False,,,,False,0.0001,1999.9998,0.0001,350000.0,0.1,0.1,350000.0,70000.0,5,linear
1,1000000BABYDOGEUSDT,LinearPerpetual,Trading,1000000BABYDOGE,USDT,1718105652000,0,,7,"{'minLeverage': '1', 'maxLeverage': '25.00', 'leverageStep': '0.01'}",True,240,USDT,both,0.02,-0.02,False,,,,False,0.0000001,1.9999998,0.0000001,60000000,100,100,60000000,12000000,5,linear
2,1000000CHEEMSUSDT,LinearPerpetual,Trading,1000000CHEEMS,USDT,1732531212000,0,,4,"{'minLeverage': '1', 'maxLeverage': '5.00', 'leverageStep': '0.01'}",True,240,USDT,both,0.05,-0.05,False,,,,False,0.0001,1999.9998,0.0001,3700,1,1,3700,1300,5,linear
3,1000000MOGUSDT,LinearPerpetual,Trading,1000000MOG,USDT,1715874213000,0,,5,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,240,USDT,both,0.008,-0.008,False,,,,False,0.00001,199.99998,0.00001,170000,1,1,170000,34000,5,linear
4,10000QUBICUSDT,LinearPerpetual,Trading,10000QUBIC,USDT,1735034038000,0,,6,"{'minLeverage': '1', 'maxLeverage': '5.00', 'leverageStep': '0.01'}",True,480,USDT,both,0.05,-0.05,False,,,innovation,False,0.000001,19.999998,0.000001,780000,10,10,780000,156000,5,linear
5,10000SATSUSDT,LinearPerpetual,Trading,10000SATS,USDT,1700127695000,0,,7,"{'minLeverage': '1', 'maxLeverage': '12.50', 'leverageStep': '0.01'}",True,240,USDT,both,0.04,-0.04,False,,,,False,0.0000001,1.9999998,0.0000001,410000000,100,100,410000000,82000000,5,linear
6,1000BONKPERP,LinearPerpetual,Trading,1000BONK,USDC,1732783376000,0,,6,"{'minLeverage': '1', 'maxLeverage': '75.00', 'leverageStep': '0.01'}",True,480,USDC,none,0.02,-0.02,False,,1000BONKUSDC,,False,0.000001,19.999998,0.000001,5500000,10,10,5500000,1100000,5,linear
7,1000BONKUSDT,LinearPerpetual,Trading,1000BONK,USDT,1672971039000,0,,7,"{'minLeverage': '1', 'maxLeverage': '50.00', 'leverageStep': '0.01'}",True,240,USDT,both,0.01,-0.01,False,,,,False,0.0000010,19.9999980,0.0000010,60000000,100,100,60000000,12000000,5,linear
8,1000BTTUSDT,LinearPerpetual,Trading,1000BTT,USDT,1645769298000,0,,7,"{'minLeverage': '1', 'maxLeverage': '12.50', 'leverageStep': '0.01'}",True,480,USDT,none,0.04,-0.04,False,,,,False,0.0000001,1.9999998,0.0000001,25000000,100,100,25000000,5000000,5,linear
9,1000CATUSDT,LinearPerpetual,Trading,1000CAT,USDT,1726140905000,0,,7,"{'minLeverage': '1', 'maxLeverage': '25.00', 'leverageStep': '0.01'}",True,240,USDT,both,0.02,-0.02,False,,,,False,0.0000001,1.9999998,0.0000001,15500000,1,1,15500000,3100000,5,linear
