,symbol,baseCoin,quoteCoin,innovation,status,marginTrading,stTag,symbolType,xstockMultiplier,priceFilter.tickSize,lotSizeFilter.basePrecision,lotSizeFilter.quotePrecision,lotSizeFilter.minOrderQty,lotSizeFilter.maxOrderQty,lotSizeFilter.minOrderAmt,lotSizeFilter.maxOrderAmt,lotSizeFilter.maxLimitOrderQty,lotSizeFilter.maxMarketOrderQty,lotSizeFilter.postOnlyMaxLimitOrderSize,category
0,BTCUSDT,BTC,USDT,0,Trading,utaOnly,0,,1,0.1,0.000001,0.0000001,0.000001,230,5,8000000,230,120,1150,spot
1,ETHUSDT,ETH,USDT,0,Trading,utaOnly,0,,1,0.01,0.00001,0.0000001,0.00001,2600,5,7000000,2600,1300,13000,spot
2,XRPUSDT,XRP,USDT,0,Trading,utaOnly,0,,1,0.0001,0.01,0.000001,0.01,1200000,5,4000000,1200000,620000,6000000,spot
3,ETHBTC,ETH,BTC,0,Trading,utaOnly,0,,1,0.000001,0.00001,0.00000000001,0.00001,440,0.00005,10,440,220,2200,spot
4,XRPBTC,XRP,BTC,0,Trading,utaOnly,0,,1,0.00000001,0.01,0.0000000001,0.01,80140,0.00005,10,80140,40070,400700,spot
5,DOTUSDT,DOT,USDT,0,Trading,utaOnly,0,,1,0.001,0.001,0.000001,0.001,490000,5,2000000,490000,97000,2450000,spot
6,XLMUSDT,XLM,USDT,0,Trading,utaOnly,0,,1,0.0001,0.1,0.00001,0.1,1546200,5,2000000,1546200,773100,7731000,spot
7,LTCUSDT,LTC,USDT,0,Trading,utaOnly,0,,1,0.01,0.00001,0.0000001,0.00001,10000,5,600000,10000,5200,50000,spot
8,DOGEUSDT,DOGE,USDT,0,Trading,utaOnly,0,,1,0.00001,0.1,0.000001,0.1,14000000,5,4000000,14000000,6800000,70000000,spot
9,CHZUSDT,CHZ,USDT,0,Trading,utaOnly,0,,1,0.00001,0.01,0.0000001,0.01,1201000,5,200000,1201000,600500,6005000,spot
10,AXSUSDT,AXS,USDT,0,Trading,utaOnly,0,,1,0.001,0.01,0.00001,0.01,9806,5,600000,9806,4903,49030,spot
11,MANAUSDT,MANA,USDT,0,Trading,utaOnly,0,,1,0.00001,0.01,0.0000001,0.01,180000,5,200000,180000,90000,900000,spot
12,DYDXUSDT,DYDX,USDT,0,Trading,utaOnly,0,,1,0.00001,0.1,0.000001,0.1,1534200,5,200000,1534200,767100,7671000,spot
13,COMPUSDT,COMP,USDT,0,Trading,utaOnly,0,,1,0.01,0.001,0.00001,0.001,560,5,200000,560,280,2800,spot
14,AAVEUSDT,AAVE,USDT,0,Trading,utaOnly,0,,1,0.01,0.0001,0.000001,0.0001,3700,5,600000,3700,1800,18500,spot
15,YFIUSDT,YFI,USDT,0,Trading,utaOnly,0,,1,1,0.00001,0.00001,0.00001,15,5,200000,15,3,75,spot
16,LINKUSDT,LINK,USDT,0,Trading,utaOnly,0,,1,0.001,0.001,0.000001,0.001,240000,5,2500000,240000,48000,1200000,spot
17,SUSHIUSDT,SUSHI,USDT,0,Trading,utaOnly,0,,1,0.0001,0.001,0.0000001,0.001,52480,5,200000,52480,26240,262400,spot
18,UNIUSDT,UNI,USDT,0,Trading,utaOnly,0,,1,0.001,0.01,0.00001,0.01,220000,5,1500000,220000,45000,1100000,spot
19,KSMUSDT,KSM,USDT,0,Trading,utaOnly,0,,1,0.001,0.001,0.000001,0.001,3400,5,50000,3400,680,17000,spot
20,ICPUSDT,ICP,USDT,0,Trading,utaOnly,0,,1,0.001,0.01,0.00001,0.01,290000,5,600000,290000,58000,1450000,spot
21,ADAUSDT,ADA,USDT,0,Trading,utaOnly,0,,1,0.0001,0.01,0.000001,0.01,7600000,5,4000000,7600000,1500000,38000000,spot
22,ETCUSDT,ETC,USDT,0,Trading,utaOnly,0,,1,0.001,0.001,0.000001,0.001,39000,5,600000,39000,7800,195000,spot
23,XTZUSDT,XTZ,USDT,0,Trading,utaOnly,0,,1,0.0001,0.01,0.000001,0.01,420000,5,200000,420000,83000,2100000,spot
24,BCHUSDT,BCH,USDT,0,Trading,utaOnly,0,,1,0.1,0.0001,0.00001,0.0001,878,5,2000000,878,439,4390,spot
25,QNTUSDT,QNT,USDT,0,Trading,utaOnly,0,,1,0.01,0.001,0.00001,0.001,490,5,200000,490,98,2450,spot
26,USDCUSDT,USDC,USDT,0,Trading,utaOnly,0,,1,0.0001,0.01,0.000001,0.01,35000000,5,16000000,35000000,17000000,175000000,spot
27,GRTUSDT,GRT,USDT,0,Trading,utaOnly,0,,1,0.00001,0.01,0.0000001,0.01,520000,5,200000,520000,260000,2600000,spot
28,SOLUSDT,SOL,USDT,0,Trading,utaOnly,0,,1,0.01,0.0001,0.000001,0.0001,26000,5,5000000,26000,13000,130000,spot
29,FILUSDT,FIL,USDT,0,Trading,utaOnly,0,,1,0.0001,0.01,0.000001,0.01,470000,5,1000000,470000,93000,2350000,spot
30,BATUSDT,BAT,USDT,0,Trading,utaOnly,0,,1,0.00001,0.01,0.0000001,0.01,430000,5,200000,430000,85000,2150000,spot
31,ZRXUSDT,ZRX,USDT,0,Trading,utaOnly,0,,1,0.0001,0.01,0.000001,0.01,290000,5,200000,290000,59000,1450000,spot
32,CRVUSDT,CRV,USDT,0,Trading,utaOnly,0,,1,0.0001,0.1,0.00001,0.1,1500000,5,600000,1500000,290000,7500000,spot
33,AGLDUSDT,AGLD,USDT,0,Trading,utaOnly,0,,1,0.0001,0.01,0.000001,0.01,69060,5,200000,69060,34530,345300,spot
34,ANKRUSDT,ANKR,USDT,0,Trading,utaOnly,0,,1,0.000001,0.1,0.0000001,0.1,1181800,5,200000,1181800,590900,5909000,spot
35,WAVESUSDT,WAVES,USDT,0,Trading,none,0,,1,0.0001,0.01,0.000001,0.01,17600,5,200000,17600,8800,88000,spot
36,LUNCUSDT,LUNC,USDT,0,Trading,utaOnly,0,,1,0.00000001,1,0.00000001,1,882000000,5,200000,882000000,441000000,4410000000,spot
37,SPELLUSDT,SPELL,USDT,0,Trading,none,1,,1,0.0000001,1,0.0000001,1,52000000,5,3500,52000000,10000000,260000000,spot
38,SHIBUSDT,SHIB,USDT,0,Trading,utaOnly,0,,1,0.000000001,1,0.000000001,1,31500000000,5,2000000,31500000000,15700000000,157500000000,spot
39,ATOMUSDT,ATOM,USDT,0,Trading,utaOnly,0,,1,0.001,0.01,0.00001,0.01,120000,5,600000,120000,25000,600000,spot
40,ALGOUSDT,ALGO,USDT,0,Trading,utaOnly,0,,1,0.00001,0.1,0.000001,0.1,719400,5,1000000,719400,359700,3597000,spot
41,ENJUSDT,ENJ,USDT,0,Trading,utaOnly,0,,1,0.00001,0.01,0.0000001,0.01,197120,5,200000,197120,98560,985600,spot
42,SANDUSDT,SAND,USDT,0,Trading,utaOnly,0,,1,0.00001,0.01,0.0000001,0.01,2200000,5,600000,2200000,440000,11000000,spot
43,AVAXUSDT,AVAX,USDT,0,Trading,utaOnly,0,,1,0.001,0.001,0.000001,0.001,140000,5,3000000,140000,27000,700000,spot
44,WOOUSDT,WOO,USDT,0,Trading,utaOnly,0,,1,0.00001,0.01,0.0000001,0.01,170760,5,200000,170760,85380,853800,spot
45,FTTUSDT,FTT,USDT,0,Trading,none,1,,1,0.0001,0.001,0.0000001,0.001,29000,5,13000,29000,5800,145000,spot
46,GODSUSDT,GODS,USDT,0,Trading,none,0,,1,0.00001,0.01,0.0000001,0.01,345000,5,9800,345000,172500,1725000,spot
47,IMXUSDT,IMX,USDT,0,Trading,utaOnly,0,,1,0.0001,0.01,0.000001,0.01,81120,5,200000,81120,40560,405600,spot
48,ENSUSDT,ENS,USDT,0,Trading,utaOnly,0,,1,0.001,0.001,0.000001,0.001,31000,5,400000,31000,6200,155000,spot
49,CAKEUSDT,CAKE,USDT,0,Trading,utaOnly,0,,1,0.001,0.001,0.000001,0.001,190000,5,200000,190000,37000,950000,spot
50,STETHUSDT,STETH,USDT,0,Trading,none,0,,1,0.01,0.00001,0.0000001,0.00001,1100,5,500000,1100,220,5500,spot
51,SLPUSDT,SLP,USDT,0,Trading,none,1,,1,0.0000001,1,0.0000001,1,4484000,5,200000,4484000,2242000,22420000,spot
52,C98USDT,C98,USDT,0,Trading,utaOnly,0,,1,0.00001,0.01,0.0000001,0.01,181920,5,200000,181920,90960,909600,spot
53,AVAUSDT,AVA,USDT,0,Trading,none,0,,1,0.0001,0.01,0.000001,0.01,39600,5,200000,39600,19800,198000,spot
54,ONEUSDT,ONE,USDT,0,Trading,none,1,,1,0.000001,0.1,0.0000001,0.1,1086600,5,200000,1086600,543300,5433000,spot
55,BOBAUSDT,BOBA,USDT,0,Trading,none,0,,1,0.00001,0.01,0.0000001,0.01,362200,5,200000,362200,181100,1811000,spot
