,product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description,best_bid_price,best_ask_price,high_24h,low_24h,future_product_details_venue,future_product_details_contract_code,future_product_details_contract_expiry,future_product_details_contract_size,future_product_details_contract_root_unit,future_product_details_group_description,future_product_details_contract_expiry_timezone,future_product_details_group_short_description,future_product_details_risk_managed_by,future_product_details_contract_expiry_type,future_product_details_contract_display_name,future_product_details_time_to_expiry_ms,future_product_details_non_crypto,future_product_details_contract_expiry_name,future_product_details_twenty_four_by_seven,future_product_details_funding_interval,future_product_details_open_interest,future_product_details_funding_rate,future_product_details_funding_time,future_product_details_display_name,future_product_details_settlement_price,future_product_details_futures_asset_type,future_product_details_index_price,future_product_details_contract_code_display_name,future_product_details_product_group_cbrn,future_product_details_futures_asset_types,future_product_details_trading_hours_type,future_product_details_perpetual_details_open_interest,future_product_details_perpetual_details_funding_rate,future_product_details_perpetual_details_funding_time,future_product_details_perpetual_details_max_leverage,future_product_details_perpetual_details_base_asset_uuid,future_product_details_perpetual_details_underlying_type,future_product_details_intraday_margin_rate_long_margin_rate,future_product_details_intraday_margin_rate_short_margin_rate,future_product_details_overnight_margin_rate_long_margin_rate,future_product_details_overnight_margin_rate_short_margin_rate
0,BIP-20DEC30-CDE,71525,-2.85229202037351,611570,657.14657125524618,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",71520,,[],,USD,False,5,BTC PERP,FCM,437425442.5,,,,,,,,,False,,,,,,cde,BIP,2030-12-20T16:00:00Z,0.01,BTC,nano BTC Perp Futures,Europe/London,nano BTC Perp,MANAGED_BY_FCM,EXPIRING,BTC PERP,143677349746,False,2030-12,True,3600s,178579,0.000001,2026-06-01T17:00:00Z,Bitcoin Perpetual,73420,FUTURES_ASSET_TYPE_CRYPTO,71462.841991,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,178579,,,,,,0.1000185,0.1000008,0.245625,0.306375
1,BIT-26JUN26-CDE,71800,-2.8745350016909,132152,1556.87061183550652,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",71782.5,,[],,USD,False,5,BTC 26 JUN 26,FCM,94885136,,,,,,,,,False,,,,,,cde,BIT,2026-06-26T15:00:00Z,0.01,BTC,nano Bitcoin Futures,Europe/London,nano BTC,MANAGED_BY_FCM,EXPIRING,BTC 26 JUN 26,2150549746,False,2026-06,True,,31663,,,Bitcoin Futures (Jun 2026),73740,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,31663,,,,,,0.0999375,0.1001096,0.234375,0.289
2,ETP-20DEC30-CDE,1986,-0.94763092269327,215326,594.62240717442498,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",1986,,[],,USD,False,0.5,ETH PERP,FCM,42763743.6,,,,,,,,,False,,,,,,cde,ETP,2030-12-20T16:00:00Z,0.1,ETH,nano ETH Perp Futures,Europe/London,nano ETH Perp,MANAGED_BY_FCM,EXPIRING,ETH PERP,143677349746,False,2030-12,True,3600s,202934,0.000008,2026-06-01T17:00:00Z,Ethereum Perpetual,2014.5,FUTURES_ASSET_TYPE_CRYPTO,1985.410192,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,202934,,,,,,0.100062,0.0998894,0.24525,0.33475
3,GOL-29JUL26-CDE,4513,-1.44136274295698,50671,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-31T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",4513.35,,[],,USD,False,0.1,GLD 29 JUL 26,FCM,228678223,,,,,,,,,False,,,,,,cde,GOL,2026-07-29T17:30:00Z,1,CDEGLD,Gold Futures,America/New_York,Gold Futures,MANAGED_BY_FCM,EXPIRING,GLD 29 JUL 26,5010749746,True,2026-08,False,,6307,,,Gold Futures (Jul 2026),4593.7,FUTURES_ASSET_TYPE_METALS,,,,['FUTURES_ASSET_TYPE_METALS'],TRADING_HOURS_TYPE_UNSPECIFIED,6307,,,,,,0.04998,0.0500021,0.0525,0.054875
4,ET-26JUN26-CDE,1990,-0.89641434262948,22284,586.29504157684016,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",1992.75,,[],,USD,False,0.5,ETH 26 JUN 26,FCM,4434516,,,,,,,,,False,,,,,,cde,ET,2026-06-26T15:00:00Z,0.1,ETH,nano Ether Futures,Europe/London,nano ETH,MANAGED_BY_FCM,EXPIRING,ETH 26 JUN 26,2150549746,False,2026-06,True,,37459,,,Ethereum Futures (Jun 2026),2023,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,37459,,,,,,0.1000441,0.0999745,0.234625,0.316375
5,MC-17SEP26-CDE,2920,0.12858979854265,11553,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-31T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",2918.125,,[],,USD,False,0.25,MAG7C 17 SEP 26,FCM,33734760,,,,,,,,,False,,,,,,cde,MC,2026-09-17T20:00:00Z,1,CDEMC,Mag7+Crypto Futures,America/Chicago,Mag7+Crypto Futures,MANAGED_BY_FCM,EXPIRING,MAG7C 17 SEP 26,9339749746,True,2026-09,False,,92,,,MAG7C Futures (Sep 2026),2908,FUTURES_ASSET_TYPE_STOCKS,,,,['FUTURES_ASSET_TYPE_STOCKS'],TRADING_HOURS_TYPE_UNSPECIFIED,92,,,,,,0.1000296,0.1000384,0.10525,0.116
6,BIT-31JUL26-CDE,71715,-3.42064507440576,245,0,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",72182.5,,[],,USD,True,5,BTC 31 JUL 26,FCM,175701.75,,,,,,,,,False,,,,,,cde,BIT,2026-07-31T15:00:00Z,0.01,BTC,nano Bitcoin Futures,Europe/London,nano BTC,MANAGED_BY_FCM,EXPIRING,BTC 31 JUL 26,5174549746,False,2026-07,True,,22,,,Bitcoin Futures (Jul 2026),74220,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,22,,,,,,0.0999375,0.1001096,0.234375,0.289
7,ZEC-20DEC30-CDE,544.65,-0.53871439006574,20456,284.58356833991352,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",544.975,,[],,USD,False,0.05,ZCASH PERP,FCM,11141360.4,,,,,,,,,False,,,,,,cde,ZEC,2030-12-20T16:00:00Z,1,ZEC,ZCASH Perp Style Futures,Europe/London,ZCASH Perp Style Futures,MANAGED_BY_FCM,EXPIRING,ZCASH PERP,143677349745,False,2030-12,True,3600s,5118,0.000037,2026-06-01T17:00:00Z,Zcash Perpetual,532.5,FUTURES_ASSET_TYPE_CRYPTO,543.988665,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,5118,,,,,,0.2499462,0.2499545,0.53775,0.985625
8,NOL-19JUN26-CDE,91.86,4.29155313351499,49670,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-31T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",91.84,,[],,USD,False,0.01,OIL 18 JUN 26,FCM,45626862,,,,,,,,,False,,,,,,cde,NOL,2026-06-18T18:30:00Z,10,CDEOIL,nano Crude Oil Futures,America/New_York,Oil Futures,MANAGED_BY_FCM,EXPIRING,OIL 18 JUN 26,1471949745,True,2026-07,False,,17083,,,Oil Futures (Jun 2026),87.39,FUTURES_ASSET_TYPE_ENERGY,,,,['FUTURES_ASSET_TYPE_ENERGY'],TRADING_HOURS_TYPE_UNSPECIFIED,17083,,,,,,0.12001,0.1199496,0.136375,0.159
9,SLP-20DEC30-CDE,80.64,-1.29742962056304,47018,408.19282317336792,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",80.655,,[],,USD,False,0.01,SOL PERP,FCM,18957657.6,,,,,,,,,False,,,,,,cde,SLP,2030-12-20T16:00:00Z,5,SOL,nano Solana Perp Futures,Europe/London,nano Solana Perp,MANAGED_BY_FCM,EXPIRING,SOL PERP,143677349745,False,2030-12,True,3600s,34523,0,2026-06-01T17:00:00Z,Solana Perpetual,81.92,FUTURES_ASSET_TYPE_CRYPTO,80.607301,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,34523,,,,,,0.1999824,0.2001666,0.366,0.55975
