,product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description,best_bid_price,best_ask_price,high_24h,low_24h,future_product_details
0,BIP-20DEC30-CDE,72640,-1.58515106354153,251381,255.48469207381744,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",72637.5,,[],,USD,False,5,BTC PERP,FCM,182603158.4,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'BIP', 'contract_expiry': '2030-12-20T16:00:00Z', 'contract_size': '0.01', 'contract_root_unit': 'BTC', 'group_description': 'nano BTC Perp Futures', 'contract_expiry_timezone': 'Europe/London', 'group_short_description': 'nano BTC Perp', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '178579', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'BTC PERP', 'time_to_expiry_ms': '143698517811', 'non_crypto': False, 'contract_expiry_name': '2030-12', 'twenty_four_by_seven': True, 'funding_interval': '3600s', 'open_interest': '178579', 'funding_rate': '0.000012', 'funding_time': '2026-06-01T11:00:00Z', 'display_name': 'Bitcoin Perpetual', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.1000185', 'short_margin_rate': '0.1000008'}, 'overnight_margin_rate': {'long_margin_rate': '0.245625', 'short_margin_rate': '0.306375'}, 'settlement_price': '73420', 'futures_asset_type': 'FUTURES_ASSET_TYPE_CRYPTO', 'index_price': '72614.40224', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_CRYPTO'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
1,BIT-26JUN26-CDE,72920,-1.64553547342865,59881,707.02156334231806,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",72922.5,,[],,USD,False,5,BTC 26 JUN 26,FCM,43665225.2,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'BIT', 'contract_expiry': '2026-06-26T15:00:00Z', 'contract_size': '0.01', 'contract_root_unit': 'BTC', 'group_description': 'nano Bitcoin Futures', 'contract_expiry_timezone': 'Europe/London', 'group_short_description': 'nano BTC', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '31663', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'BTC 26 JUN 26', 'time_to_expiry_ms': '2171717811', 'non_crypto': False, 'contract_expiry_name': '2026-06', 'twenty_four_by_seven': True, 'funding_interval': None, 'open_interest': '31663', 'funding_rate': '', 'funding_time': None, 'display_name': 'Bitcoin Futures (Jun 2026)', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.0999375', 'short_margin_rate': '0.1001096'}, 'overnight_margin_rate': {'long_margin_rate': '0.234375', 'short_margin_rate': '0.289'}, 'settlement_price': '73740', 'futures_asset_type': 'FUTURES_ASSET_TYPE_CRYPTO', 'index_price': '', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_CRYPTO'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
2,ETP-20DEC30-CDE,1984,-1.73353145121347,108841,308.62366721729989,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",1984.25,,[],,USD,False,0.5,ETH PERP,FCM,21594054.4,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'ETP', 'contract_expiry': '2030-12-20T16:00:00Z', 'contract_size': '0.1', 'contract_root_unit': 'ETH', 'group_description': 'nano ETH Perp Futures', 'contract_expiry_timezone': 'Europe/London', 'group_short_description': 'nano ETH Perp', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '202934', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'ETH PERP', 'time_to_expiry_ms': '143698517811', 'non_crypto': False, 'contract_expiry_name': '2030-12', 'twenty_four_by_seven': True, 'funding_interval': '3600s', 'open_interest': '202934', 'funding_rate': '0.000019', 'funding_time': '2026-06-01T11:00:00Z', 'display_name': 'Ethereum Perpetual', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.100062', 'short_margin_rate': '0.0998894'}, 'overnight_margin_rate': {'long_margin_rate': '0.24525', 'short_margin_rate': '0.33475'}, 'settlement_price': '2014.5', 'futures_asset_type': 'FUTURES_ASSET_TYPE_CRYPTO', 'index_price': '1983.083337', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_CRYPTO'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
3,GOL-29JUL26-CDE,4537.3,-0.91067918759554,20130,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-31T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",4537.05,,[],,USD,False,0.1,GLD 29 JUL 26,FCM,91335849,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'GOL', 'contract_expiry': '2026-07-29T17:30:00Z', 'contract_size': '1', 'contract_root_unit': 'CDEGLD', 'group_description': 'Gold Futures', 'contract_expiry_timezone': 'America/New_York', 'group_short_description': 'Gold Futures', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '6307', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'GLD 29 JUL 26', 'time_to_expiry_ms': '5031917811', 'non_crypto': True, 'contract_expiry_name': '2026-08', 'twenty_four_by_seven': False, 'funding_interval': None, 'open_interest': '6307', 'funding_rate': '', 'funding_time': None, 'display_name': 'Gold Futures (Jul 2026)', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.04998', 'short_margin_rate': '0.0500021'}, 'overnight_margin_rate': {'long_margin_rate': '0.0525', 'short_margin_rate': '0.054875'}, 'settlement_price': '4593.7', 'futures_asset_type': 'FUTURES_ASSET_TYPE_METALS', 'index_price': '', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_METALS'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
4,ET-26JUN26-CDE,1991,-1.77602368031574,13867,368.79648411088573,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",1990.5,,[],,USD,False,0.5,ETH 26 JUN 26,FCM,2760919.7,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'ET', 'contract_expiry': '2026-06-26T15:00:00Z', 'contract_size': '0.1', 'contract_root_unit': 'ETH', 'group_description': 'nano Ether Futures', 'contract_expiry_timezone': 'Europe/London', 'group_short_description': 'nano ETH', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '37459', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'ETH 26 JUN 26', 'time_to_expiry_ms': '2171717811', 'non_crypto': False, 'contract_expiry_name': '2026-06', 'twenty_four_by_seven': True, 'funding_interval': None, 'open_interest': '37459', 'funding_rate': '', 'funding_time': None, 'display_name': 'Ethereum Futures (Jun 2026)', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.1000441', 'short_margin_rate': '0.0999745'}, 'overnight_margin_rate': {'long_margin_rate': '0.234625', 'short_margin_rate': '0.316375'}, 'settlement_price': '2023', 'futures_asset_type': 'FUTURES_ASSET_TYPE_CRYPTO', 'index_price': '', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_CRYPTO'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
5,MC-17SEP26-CDE,3010,3.21474496356622,5641,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-31T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",2992.375,,[],,USD,False,0.25,MAG7C 17 SEP 26,FCM,16979410,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'MC', 'contract_expiry': '2026-09-17T20:00:00Z', 'contract_size': '1', 'contract_root_unit': 'CDEMC', 'group_description': 'Mag7+Crypto Futures', 'contract_expiry_timezone': 'America/Chicago', 'group_short_description': 'Mag7+Crypto Futures', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '92', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'MAG7C 17 SEP 26', 'time_to_expiry_ms': '9360917811', 'non_crypto': True, 'contract_expiry_name': '2026-09', 'twenty_four_by_seven': False, 'funding_interval': None, 'open_interest': '92', 'funding_rate': '', 'funding_time': None, 'display_name': 'MAG7C Futures (Sep 2026)', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.1000296', 'short_margin_rate': '0.1000384'}, 'overnight_margin_rate': {'long_margin_rate': '0.10525', 'short_margin_rate': '0.116'}, 'settlement_price': '2908', 'futures_asset_type': 'FUTURES_ASSET_TYPE_STOCKS', 'index_price': '', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_STOCKS'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
6,ZEC-20DEC30-CDE,546.6,-0.21905805038335,17932,273.03931766174329,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",546.275,,[],,USD,False,0.05,ZCASH PERP,FCM,9801631.2,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'ZEC', 'contract_expiry': '2030-12-20T16:00:00Z', 'contract_size': '1', 'contract_root_unit': 'ZEC', 'group_description': 'ZCASH Perp Style Futures', 'contract_expiry_timezone': 'Europe/London', 'group_short_description': 'ZCASH Perp Style Futures', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '5118', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'ZCASH PERP', 'time_to_expiry_ms': '143698517811', 'non_crypto': False, 'contract_expiry_name': '2030-12', 'twenty_four_by_seven': True, 'funding_interval': '3600s', 'open_interest': '5118', 'funding_rate': '0.000027', 'funding_time': '2026-06-01T11:00:00Z', 'display_name': 'Zcash Perpetual', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.2499462', 'short_margin_rate': '0.2499545'}, 'overnight_margin_rate': {'long_margin_rate': '0.53775', 'short_margin_rate': '0.985625'}, 'settlement_price': '532.5', 'futures_asset_type': 'FUTURES_ASSET_TYPE_CRYPTO', 'index_price': '545.811396', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_CRYPTO'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
7,BIT-31JUL26-CDE,73485,-1.03696720759545,129,0,1,0.01,0,100000000,1,5000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",73302.5,,[],,USD,True,5,BTC 31 JUL 26,FCM,94795.65,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'BIT', 'contract_expiry': '2026-07-31T15:00:00Z', 'contract_size': '0.01', 'contract_root_unit': 'BTC', 'group_description': 'nano Bitcoin Futures', 'contract_expiry_timezone': 'Europe/London', 'group_short_description': 'nano BTC', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '22', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'BTC 31 JUL 26', 'time_to_expiry_ms': '5195717811', 'non_crypto': False, 'contract_expiry_name': '2026-07', 'twenty_four_by_seven': True, 'funding_interval': None, 'open_interest': '22', 'funding_rate': '', 'funding_time': None, 'display_name': 'Bitcoin Futures (Jul 2026)', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.0999375', 'short_margin_rate': '0.1001096'}, 'overnight_margin_rate': {'long_margin_rate': '0.234375', 'short_margin_rate': '0.289'}, 'settlement_price': '74220', 'futures_asset_type': 'FUTURES_ASSET_TYPE_CRYPTO', 'index_price': '', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_CRYPTO'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
8,SLP-20DEC30-CDE,81.03,-1.99564586357039,25414,224.28225086129897,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",81.015,,[],,USD,False,0.01,SOL PERP,FCM,10296482.1,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'SLP', 'contract_expiry': '2030-12-20T16:00:00Z', 'contract_size': '5', 'contract_root_unit': 'SOL', 'group_description': 'nano Solana Perp Futures', 'contract_expiry_timezone': 'Europe/London', 'group_short_description': 'nano Solana Perp', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '34523', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'SOL PERP', 'time_to_expiry_ms': '143698517811', 'non_crypto': False, 'contract_expiry_name': '2030-12', 'twenty_four_by_seven': True, 'funding_interval': '3600s', 'open_interest': '34523', 'funding_rate': '-0.000002', 'funding_time': '2026-06-01T11:00:00Z', 'display_name': 'Solana Perpetual', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.1999824', 'short_margin_rate': '0.2001666'}, 'overnight_margin_rate': {'long_margin_rate': '0.366', 'short_margin_rate': '0.55975'}, 'settlement_price': '81.92', 'futures_asset_type': 'FUTURES_ASSET_TYPE_CRYPTO', 'index_price': '81.024965', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_CRYPTO'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
9,PAU-20DEC30-CDE,4498.1,-0.73925324388737,457,280.83333333333333,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",4499.2,,[],,USD,False,0.1,PAXG PERP,FCM,2055631.7,,,,,,,,,False,,,,,,"{'venue': 'cde', 'contract_code': 'PAU', 'contract_expiry': '2030-12-20T16:00:00Z', 'contract_size': '1', 'contract_root_unit': 'PAXG', 'group_description': 'PAXG Perp Style Futures', 'contract_expiry_timezone': 'Europe/London', 'group_short_description': 'PAXG Perp Style Futures', 'risk_managed_by': 'MANAGED_BY_FCM', 'contract_expiry_type': 'EXPIRING', 'perpetual_details': {'open_interest': '864', 'funding_rate': '', 'funding_time': None, 'max_leverage': '', 'base_asset_uuid': '', 'underlying_type': ''}, 'contract_display_name': 'PAXG PERP', 'time_to_expiry_ms': '143698517811', 'non_crypto': False, 'contract_expiry_name': '2030-12', 'twenty_four_by_seven': True, 'funding_interval': '3600s', 'open_interest': '864', 'funding_rate': '0.000011', 'funding_time': '2026-06-01T11:00:00Z', 'display_name': 'PAX Gold Perpetual', 'region_enabled': {}, 'intraday_margin_rate': {'long_margin_rate': '0.049977', 'short_margin_rate': '0.0500181'}, 'overnight_margin_rate': {'long_margin_rate': '0.077125', 'short_margin_rate': '0.082375'}, 'settlement_price': '4531.6', 'futures_asset_type': 'FUTURES_ASSET_TYPE_CRYPTO', 'index_price': '4500.250765', 'contract_code_display_name': '', 'product_group_cbrn': '', 'futures_asset_types': ['FUTURES_ASSET_TYPE_CRYPTO'], 'trading_hours_type': 'TRADING_HOURS_TYPE_UNSPECIFIED'}"
