,state,price_index,kind,instrument_name,is_active,max_leverage,maker_commission,taker_commission,instrument_type,expiration_timestamp,creation_timestamp,instrument_id,tick_size,contract_size,min_trade_amount,future_type,max_liquidation_commission,max_non_default_leverage,block_trade_commission,block_trade_min_trade_amount,block_trade_tick_size,settlement_currency,settlement_period,base_currency,counter_currency,quote_currency,tick_size_steps,strike,option_type
0,open,btc_usd,future,BTC-20APR26,TRUE,25,-0.0001,0.0005,reversed,1.77667E+12,1.77633E+12,617179,2.5,10,10,reversed,0.0075,5,0.00025,200000,0.01,BTC,day,BTC,USD,USD,[],,
1,open,btc_usd,option,BTC-20APR26-65000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77635E+12,617952,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",65000,call
2,open,btc_usd,option,BTC-20APR26-65000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77635E+12,617953,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",65000,put
3,open,btc_usd,option,BTC-20APR26-66000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617253,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",66000,call
4,open,btc_usd,option,BTC-20APR26-66000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617254,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",66000,put
5,open,btc_usd,option,BTC-20APR26-67000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617255,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",67000,call
6,open,btc_usd,option,BTC-20APR26-67000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617256,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",67000,put
7,open,btc_usd,option,BTC-20APR26-68000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617257,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",68000,call
8,open,btc_usd,option,BTC-20APR26-68000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617258,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",68000,put
9,open,btc_usd,option,BTC-20APR26-69000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617259,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",69000,call
10,open,btc_usd,option,BTC-20APR26-69000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617260,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",69000,put
11,open,btc_usd,option,BTC-20APR26-70000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617261,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",70000,call
12,open,btc_usd,option,BTC-20APR26-70000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617262,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",70000,put
13,open,btc_usd,option,BTC-20APR26-71000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617263,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",71000,call
14,open,btc_usd,option,BTC-20APR26-71000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617264,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",71000,put
15,open,btc_usd,option,BTC-20APR26-71500-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77635E+12,617963,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",71500,call
16,open,btc_usd,option,BTC-20APR26-71500-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77635E+12,617964,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",71500,put
17,open,btc_usd,option,BTC-20APR26-72000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617265,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",72000,call
18,open,btc_usd,option,BTC-20APR26-72000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617266,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",72000,put
19,open,btc_usd,option,BTC-20APR26-72500-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617267,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",72500,call
20,open,btc_usd,option,BTC-20APR26-72500-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617268,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",72500,put
21,open,btc_usd,option,BTC-20APR26-73000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617269,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",73000,call
22,open,btc_usd,option,BTC-20APR26-73000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617270,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",73000,put
23,open,btc_usd,option,BTC-20APR26-73500-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617271,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",73500,call
24,open,btc_usd,option,BTC-20APR26-73500-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617272,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",73500,put
25,open,btc_usd,option,BTC-20APR26-74000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617273,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",74000,call
26,open,btc_usd,option,BTC-20APR26-74000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617274,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",74000,put
27,open,btc_usd,option,BTC-20APR26-74500-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617275,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",74500,call
28,open,btc_usd,option,BTC-20APR26-74500-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617276,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",74500,put
29,open,btc_usd,option,BTC-20APR26-75000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617277,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",75000,call
30,open,btc_usd,option,BTC-20APR26-75000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617278,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",75000,put
31,open,btc_usd,option,BTC-20APR26-75500-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617279,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",75500,call
32,open,btc_usd,option,BTC-20APR26-75500-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617280,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",75500,put
33,open,btc_usd,option,BTC-20APR26-76000-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617281,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",76000,call
34,open,btc_usd,option,BTC-20APR26-76000-P,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617282,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",76000,put
35,open,btc_usd,option,BTC-20APR26-76500-C,TRUE,,0.0003,0.0003,reversed,1.77667E+12,1.77633E+12,617283,0.0001,1,0.1,,,,0.0003,25,0.0001,BTC,day,BTC,USD,BTC,"[{'tick_size': 0.0005, 'above_price': 0.005}]",76500,call
