,id,base,base_name,quote,quote_name,fee,min_base_amount,min_quote_amount,max_quote_amount,amount_precision,precision,trade_status,sell_start,buy_start,type,trade_url,st_tag,slippage,market_order_max_stock,market_order_max_money,up_rate,down_rate,delisting_time,max_base_amount
0,ALEPH_USDT,ALEPH,Aleph.im,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1608264000,1608350400,normal,https://www.gate.com/trade/ALEPH_USDT,False,0.1,7228044.81,200000,0.4,0.4,,
1,POOL_USDT,POOL,PoolTogether,USDT,Tether,0.2,0.01,3,5000000,2,4,tradable,1607313600,1613815200,normal,https://www.gate.com/trade/POOL_USDT,False,0.1,249454.32,200000,0.4,0.4,,
2,PEIPEI_USDT,PEIPEI,PeiPei,USDT,Tether,0.2,1,3,5000000,0,12,tradable,1607313600,1718373600,normal,https://www.gate.com/trade/PEIPEI_USDT,False,0.1,18783752054472.9,200000,0.4,0.4,,
3,ACN3S_USDT,ACN3S,ACN3xShort,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1769482800,normal,https://www.gate.com/trade/ACN3S_USDT,False,0.1,0,0,0.6,0.6,,
4,HFT_USDT,HFT,Hashflow,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1607313600,1667829600,normal,https://www.gate.com/trade/HFT_USDT,False,0.08,10674257.25,300000,0.35,0.35,,
5,COINX_USDT,COINX,Coinbase xStock,USDT,Tether,0.2,0.001,3,5000000,3,2,tradable,1577808000,1751443200,normal,https://www.gate.com/trade/COINX_USDT,False,0.08,1189.51,300000,0.15,0.15,,
6,VET_USDT,VET,Vechain,USDT,Tether,0.2,1,3,5000000,0,6,tradable,0,0,normal,https://www.gate.com/trade/VET_USDT,False,0.08,28261893.55,300000,0.3,0.3,,
7,ARG_USDT,ARG,Argentine Football Association Fan Token,USDT,Tether,0.2,0.01,3,5000000,2,4,tradable,1608782400,1663988400,normal,https://www.gate.com/trade/ARG_USDT,False,0.1,295377.34,200000,0.4,0.4,,
8,BLUE_USDT,BLUE,Bluefin,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1733911200,normal,https://www.gate.com/trade/BLUE_USDT,False,0.1,6193868.07,200000,0.35,0.35,,
9,HGPT_USDT,HGPT,HyperGPT,USDT,Tether,0.2,0.1,3,5000000,1,6,tradable,1607313600,1708599600,normal,https://www.gate.com/trade/HGPT_USDT,False,0.1,34042553.19,200000,0.4,0.4,,
