,symbol,base_currency,quote_currency,tick_size,quote_increment,min_order_size,status,wrap_enabled,product_type,contract_type,contract_price_currency
0,2zgusd,2Z,GUSD,1e-06,1e-06,0.2,open,False,spot,vanilla,GUSD
1,2zrlusd,2Z,RLUSD,1e-06,1e-06,0.2,open,False,spot,vanilla,RLUSD
2,2zusd,2Z,USD,1e-06,1e-06,0.2,open,False,spot,vanilla,USD
3,2zusdc,2Z,USDC,1e-06,1e-06,0.2,open,False,spot,vanilla,USDC
4,aavegusd,AAVE,GUSD,1e-06,0.0001,0.001,open,False,spot,vanilla,GUSD
5,aaverlusd,AAVE,RLUSD,1e-06,0.0001,0.001,open,False,spot,vanilla,RLUSD
6,aaveusd,AAVE,USD,1e-06,0.0001,0.001,open,False,spot,vanilla,USD
7,aaveusdc,AAVE,USDC,1e-06,0.0001,0.001,open,False,spot,vanilla,USDC
8,aligusd,ALI,GUSD,1e-06,1e-06,2,open,False,spot,vanilla,GUSD
9,alirlusd,ALI,RLUSD,1e-06,1e-06,2,open,False,spot,vanilla,RLUSD
10,aliusd,ALI,USD,1e-06,1e-06,2,open,False,spot,vanilla,USD
11,aliusdc,ALI,USDC,1e-06,1e-06,2,open,False,spot,vanilla,USDC
12,ampgusd,AMP,GUSD,1e-06,1e-05,10,open,False,spot,vanilla,GUSD
13,amprlusd,AMP,RLUSD,1e-06,1e-05,10,open,False,spot,vanilla,RLUSD
14,ampusd,AMP,USD,1e-06,1e-05,10,open,False,spot,vanilla,USD
15,ampusdc,AMP,USDC,1e-06,1e-05,10,open,False,spot,vanilla,USDC
16,ankrgusd,ANKR,GUSD,1e-06,1e-06,0.1,open,False,spot,vanilla,GUSD
17,ankrrlusd,ANKR,RLUSD,1e-06,1e-06,0.1,open,False,spot,vanilla,RLUSD
18,ankrusd,ANKR,USD,1e-06,1e-06,0.1,open,False,spot,vanilla,USD
19,ankrusdc,ANKR,USDC,1e-06,1e-06,0.1,open,False,spot,vanilla,USDC
20,apegusd,APE,GUSD,1e-06,0.0001,0.02,open,False,spot,vanilla,GUSD
21,aperlusd,APE,RLUSD,1e-06,0.0001,0.02,open,False,spot,vanilla,RLUSD
22,apeusd,APE,USD,1e-06,0.0001,0.02,open,False,spot,vanilla,USD
23,apeusdc,APE,USDC,1e-06,0.0001,0.02,open,False,spot,vanilla,USDC
24,api3gusd,API3,GUSD,1e-06,0.001,0.03,open,False,spot,vanilla,GUSD
25,api3rlusd,API3,RLUSD,1e-06,0.001,0.03,open,False,spot,vanilla,RLUSD
26,api3usd,API3,USD,1e-06,0.001,0.03,open,False,spot,vanilla,USD
27,api3usdc,API3,USDC,1e-06,0.001,0.03,open,False,spot,vanilla,USDC
28,arbgusd,ARB,GUSD,0.01,0.0001,0.2,open,False,spot,vanilla,GUSD
29,arbrlusd,ARB,RLUSD,0.01,0.0001,0.2,open,False,spot,vanilla,RLUSD
30,arbusd,ARB,USD,0.01,0.0001,0.2,open,False,spot,vanilla,USD
31,arbusdc,ARB,USDC,0.01,0.0001,0.2,open,False,spot,vanilla,USDC
32,atomgusd,ATOM,GUSD,1e-06,0.001,0.01,open,False,spot,vanilla,GUSD
33,atomrlusd,ATOM,RLUSD,1e-06,0.001,0.01,open,False,spot,vanilla,RLUSD
34,atomusd,ATOM,USD,1e-06,0.001,0.01,open,False,spot,vanilla,USD
35,atomusdc,ATOM,USDC,1e-06,0.001,0.01,open,False,spot,vanilla,USDC
36,audgusd,AUD,GUSD,1e-06,1e-08,0.2,open,False,spot,vanilla,GUSD
37,audrlusd,AUD,RLUSD,1e-06,1e-08,0.2,open,False,spot,vanilla,RLUSD
38,audusd,AUD,USD,1e-06,1e-08,0.2,open,False,spot,vanilla,USD
39,audusdc,AUD,USDC,1e-06,1e-08,0.2,open,False,spot,vanilla,USDC
40,avaxgusd,AVAX,GUSD,1e-06,0.001,0.00499999,open,False,spot,vanilla,GUSD
41,avaxgusdperp,AVAX,GUSD,0.1,0.001,0.1,open,False,swap,linear,GUSD
42,avaxrlusd,AVAX,RLUSD,1e-06,0.001,0.00499999,open,False,spot,vanilla,RLUSD
43,avaxusd,AVAX,USD,1e-06,0.001,0.00499999,open,False,spot,vanilla,USD
44,avaxusdc,AVAX,USDC,1e-06,0.001,0.00499999,open,False,spot,vanilla,USDC
45,avaxusdcperp,AVAX,USDC,0.1,0.001,0.1,open,False,swap,linear,USDC
46,batgusd,BAT,GUSD,1e-06,1e-05,1,open,False,spot,vanilla,GUSD
47,batrlusd,BAT,RLUSD,1e-06,1e-05,1,open,False,spot,vanilla,RLUSD
48,batusd,BAT,USD,1e-06,1e-05,1,open,False,spot,vanilla,USD
49,batusdc,BAT,USDC,1e-06,1e-05,1,open,False,spot,vanilla,USDC
50,bchgusd,BCH,GUSD,1e-06,0.01,0.001,open,False,spot,vanilla,GUSD
51,bchrlusd,BCH,RLUSD,1e-06,0.01,0.001,open,False,spot,vanilla,RLUSD
52,bchusd,BCH,USD,1e-06,0.01,0.001,open,False,spot,vanilla,USD
53,bchusdc,BCH,USDC,1e-06,0.01,0.001,open,False,spot,vanilla,USDC
54,bnbgusd,BNB,GUSD,1e-06,0.0001,0.0002,open,False,spot,vanilla,GUSD
55,bnbrlusd,BNB,RLUSD,1e-06,0.0001,0.0002,open,False,spot,vanilla,RLUSD
56,bnbusd,BNB,USD,1e-06,0.0001,0.0002,open,False,spot,vanilla,USD
57,bnbusdc,BNB,USDC,1e-06,0.0001,0.0002,open,False,spot,vanilla,USDC
58,bomegusd,BOME,GUSD,0.01,1e-06,10,open,False,spot,vanilla,GUSD
59,bomerlusd,BOME,RLUSD,0.01,1e-06,10,open,False,spot,vanilla,RLUSD
60,bomeusd,BOME,USD,0.01,1e-06,10,open,False,spot,vanilla,USD
61,bomeusdc,BOME,USDC,0.01,1e-06,10,open,False,spot,vanilla,USDC
62,bonkgusd,BONK,GUSD,1e-06,1e-09,4000,open,False,spot,vanilla,GUSD
63,bonkrlusd,BONK,RLUSD,1e-06,1e-09,4000,open,False,spot,vanilla,RLUSD
64,bonkusd,BONK,USD,1e-06,1e-09,4000,open,False,spot,vanilla,USD
65,bonkusdc,BONK,USDC,1e-06,1e-09,4000,open,False,spot,vanilla,USDC
66,btceur,BTC,EUR,1e-08,0.01,0.00001,open,False,spot,vanilla,EUR
67,btcgbp,BTC,GBP,1e-08,0.01,0.00001,open,False,spot,vanilla,GBP
68,btcgusd,BTC,GUSD,1e-08,0.01,0.00001,open,False,spot,vanilla,GUSD
