,base-currency,quote-currency,price-precision,amount-precision,symbol-partition,symbol,state,value-precision,min-order-amt,max-order-amt,min-order-value,limit-order-min-order-amt,limit-order-max-order-amt,limit-order-max-buy-amt,limit-order-max-sell-amt,buy-limit-must-less-than,sell-limit-must-greater-than,sell-market-min-order-amt,sell-market-max-order-amt,buy-market-max-order-value,market-sell-order-rate-must-less-than,market-buy-order-rate-must-less-than,api-trading,tags,leverage-ratio,super-margin-leverage-ratio,max-order-value,funding-leverage-ratio
0,snx,usdt,4,2,main,snxusdt,online,8,0.01,250000.0,10.0,0.01,250000.0,250000.0,250000.0,1.1,0.9,0.01,324267.0,100000.0,0.1,0.1,enabled,,,,,
1,ertha,usdt,7,2,main,erthausdt,offline,8,0.1,55555555.0,10.0,0.1,55555555.0,55555555.0,55555555.0,1.1,0.9,0.1,355431927.0,100000.0,0.1,0.1,enabled,st,,,,
2,aic,usdt,5,4,main,aicusdt,online,8,0.1,4935005.0,10.0,0.1,4935005.0,4935005.0,4935005.0,1.25,0.75,0.1,1849409.0,50000.0,0.05,0.05,enabled,"st,innovate",,,,
3,utk,eth,8,2,main,utketh,offline,8,0.1,5500000.0,0.001,0.1,5500000.0,5500000.0,5500000.0,1.1,0.9,0.1,550000.0,300.0,0.1,0.1,enabled,,,,,
4,eden,usdt,4,4,st,edenusdt,offline,8,0.001,151068.0,10.0,0.001,151068.0,151068.0,151068.0,1.1,0.9,0.001,15106.0,100000.0,0.1,0.1,enabled,,,,,
5,stg,usdt,4,4,main,stgusdt,online,8,0.001,458715.0,10.0,0.001,458715.0,458715.0,458715.0,1.25,0.75,0.001,428576.0,100000.0,0.1,0.1,enabled,st,,,,
6,tlos,usdt,5,4,main,tlosusdt,online,8,0.01,2828854.0,10.0,0.01,2828854.0,2828854.0,2828854.0,1.1,0.9,0.01,9619406.0,100000.0,0.1,0.1,enabled,,,,,
7,cre,ht,6,2,main,creht,offline,8,1.0,80000000.0,0.1,1.0,80000000.0,80000000.0,80000000.0,1.1,0.9,1.0,8000000.0,35000.0,0.1,0.1,enabled,,,,,
8,eurt,usdt,4,4,main,eurtusdt,offline,8,0.01,952380.0,10.0,0.01,952380.0,952380.0,952380.0,1.25,0.75,0.01,611523.0,100000.0,0.01,0.01,enabled,st,,,,
9,tos,eth,8,2,st,toseth,offline,8,1.0,10000000.0,0.001,1.0,10000000.0,10000000.0,10000000.0,1.1,0.9,1.0,1000000.0,50.0,0.05,0.05,enabled,hadax,,,,
10,mubarak,usdt,5,4,main,mubarakusdt,online,8,0.1,7692307.0,10.0,0.1,7692307.0,7692307.0,7692307.0,1.1,0.9,0.1,3237886.0,50000.0,0.05,0.05,enabled,,,,,
11,ar,eth,6,2,main,areth,offline,8,0.001,330000.0,0.001,0.001,330000.0,330000.0,330000.0,1.1,0.9,0.001,33000.0,270.0,0.1,0.1,enabled,,,,,
12,xpet,usdt,4,4,main,xpetusdt,offline,8,0.01,359712.0,10.0,0.01,359712.0,359712.0,359712.0,1.1,0.9,0.01,6435366.0,100000.0,0.1,0.1,enabled,st,,,,
13,noia,usdt,4,4,main,noiausdt,offline,8,0.01,5461496.0,10.0,0.01,5461496.0,5461496.0,5461496.0,1.1,0.9,0.01,546149.0,100000.0,0.1,0.1,enabled,,,,,
14,delorean,usdt,6,4,main,deloreanusdt,online,8,0.1,80000000.0,10.0,0.1,80000000.0,80000000.0,80000000.0,1.1,0.9,0.1,69389971.0,50000.0,0.05,0.05,enabled,,,,,
15,rad,usdt,4,4,main,radusdt,online,8,0.0001,88994.0,10.0,0.0001,88994.0,88994.0,88994.0,1.1,0.9,0.0001,412630.0,100000.0,0.1,0.1,enabled,,,,,
16,theta,usdt,4,4,main,thetausdt,online,8,0.1,3000000.0,10.0,0.1,3000000.0,3000000.0,3000000.0,1.1,0.9,0.1,442758.0,100000.0,0.1,0.1,enabled,,3.0,3.0,,
17,jenner,usdt,6,4,main,jennerusdt,offline,8,1.0,48496605.0,10.0,1.0,48496605.0,48496605.0,48496605.0,1.1,0.9,1.0,4849660.0,100000.0,0.1,0.1,enabled,highrisk,,,,
18,sand,ht,6,4,main,sandht,offline,8,0.1,23809523.0,0.1,0.1,23809523.0,23809523.0,23809523.0,1.1,0.9,0.1,2380952.0,21646.0,0.1,0.1,enabled,,,,,
19,clawd,usdt,8,2,main,clawdusdt,online,8,1.0,6184291898.0,10.0,1.0,6184291898.0,6184291898.0,6184291898.0,1.1,0.9,1.0,1891914123.0,50000.0,0.05,0.05,enabled,innovate,,,,
20,grs,eth,6,4,st,grseth,offline,8,0.1,1350000.0,0.001,0.1,1350000.0,1350000.0,1350000.0,1.1,0.9,0.1,135000.0,50.0,0.1,0.1,enabled,,,,,
21,ordi,usdt,4,4,main,ordiusdt,online,8,0.001,64935.0,10.0,0.001,64935.0,64935.0,64935.0,1.1,0.9,0.001,16597.0,100000.0,0.1,0.1,enabled,,3.0,,,
22,kcash,btc,10,2,main,kcashbtc,offline,8,1.0,50000000.0,0.0001,1.0,50000000.0,50000000.0,50000000.0,1.1,0.9,1.0,5000000.0,8.0,0.1,0.1,enabled,hadax,,,,
23,uuu,eth,10,2,main,uuueth,offline,8,10.0,1000000000.0,0.001,10.0,1000000000.0,1000000000.0,1000000000.0,1.1,0.9,10.0,100000000.0,270.0,0.1,0.1,enabled,hadax,,,,
24,babydoge,usdt,12,2,main,babydogeusdt,online,8,1.0,322997416020671.0,10.0,1.0,322997416020671.0,322997416020671.0,322997416020671.0,1.1,0.9,1.0,226600985645854.0,100000.0,0.1,0.1,enabled,,,3.0,,
