,symbol,base,quote,status,qty_precision,qty_increment,price_precision,cost_precision,marginable,has_index,ws_display_price_precision,cost_min,tick_size,price_increment,qty_min,margin_initial,position_limit_long,position_limit_short
0,EUR/USD,EUR,USD,online,8,1e-08,5,5,False,True,5,0.5,1e-05,1e-05,4.0,,,
1,GBP/USD,GBP,USD,online,8,1e-08,5,5,False,True,5,0.5,1e-05,1e-05,4.0,,,
2,USD/JPY,USD,JPY,online,8,1e-08,3,3,False,True,3,50.0,0.001,0.001,5.0,,,
3,USD/CAD,USD,CAD,online,8,1e-08,5,5,False,True,5,1.0,1e-05,1e-05,5.0,,,
4,USD/CHF,USD,CHF,online,8,1e-08,5,5,False,True,5,0.5,1e-05,1e-05,5.0,,,
5,EUR/CAD,EUR,CAD,online,8,1e-08,5,5,False,True,5,1.0,1e-05,1e-05,4.0,,,
6,EUR/CHF,EUR,CHF,online,8,1e-08,5,5,False,True,5,0.5,1e-05,1e-05,4.0,,,
7,EUR/GBP,EUR,GBP,online,8,1e-08,5,5,False,True,5,0.43,1e-05,1e-05,4.0,,,
8,EUR/JPY,EUR,JPY,online,8,1e-08,3,3,False,True,3,50.0,0.001,0.001,4.0,,,
9,AUD/JPY,AUD,JPY,online,8,1e-08,3,3,False,True,3,50.0,0.001,0.001,7.0,,,
10,EUR/AUD,EUR,AUD,online,8,1e-08,5,5,False,True,5,1.0,1e-05,1e-05,4.0,,,
11,AUD/USD,AUD,USD,online,8,1e-08,5,5,False,True,5,0.5,1e-05,1e-05,7.0,,,
12,BTC/USD,BTC,USD,online,8,1e-08,1,5,True,True,1,0.5,0.1,0.1,5e-05,0.1,350.0,250.0
13,BTC/EUR,BTC,EUR,online,8,1e-08,1,5,True,True,1,0.45,0.1,0.1,5e-05,0.1,130.0,100.0
14,BTC/GBP,BTC,GBP,online,8,1e-08,1,5,True,True,1,0.43,0.1,0.1,5e-05,0.2,14.0,16.0
15,BTC/AUD,BTC,AUD,online,8,1e-08,1,5,True,True,1,1.0,0.1,0.1,5e-05,0.25,7.0,8.0
16,BTC/CAD,BTC,CAD,online,8,1e-08,1,5,True,True,1,1.0,0.1,0.1,5e-05,0.2,14.0,14.0
17,BTC/JPY,BTC,JPY,online,8,1e-08,0,3,False,True,0,50.0,1.0,1.0,5e-05,,,
18,LTC/USD,LTC,USD,online,8,1e-08,2,5,True,True,2,0.5,0.01,0.01,0.1,0.1,21000.0,20000.0
19,LTC/EUR,LTC,EUR,online,8,1e-08,2,5,True,True,2,0.45,0.01,0.01,0.1,0.1,7800.0,9300.0
20,LTC/GBP,LTC,GBP,online,8,1e-08,5,5,False,True,5,0.43,1e-05,1e-05,0.1,,,
21,BTC/CHF,BTC,CHF,online,8,1e-08,1,5,True,True,1,0.5,0.1,0.1,5e-05,0.2,13.0,14.0
22,ETH/CHF,ETH,CHF,online,8,1e-08,2,5,True,True,2,0.5,0.01,0.01,0.001,0.2,270.0,130.0
23,ETH/USD,ETH,USD,online,8,1e-08,2,5,True,True,2,0.5,0.01,0.01,0.001,0.1,4000.0,4000.0
24,ETH/EUR,ETH,EUR,online,8,1e-08,2,5,True,True,2,0.45,0.01,0.01,0.001,0.1,2300.0,2300.0
25,ETH/GBP,ETH,GBP,online,8,1e-08,2,5,True,True,2,0.43,0.01,0.01,0.001,0.2,280.0,230.0
26,ETH/CAD,ETH,CAD,online,8,1e-08,2,5,True,True,2,1.0,0.01,0.01,0.001,0.2,320.0,110.0
27,ETH/JPY,ETH,JPY,online,8,1e-08,0,5,False,True,0,50.0,1.0,1.0,0.001,,,
28,ETH/BTC,ETH,BTC,online,8,1e-08,5,10,True,True,5,2e-05,1e-05,1e-05,0.001,0.2,1000.0,800.0
29,LTC/BTC,LTC,BTC,online,8,1e-08,6,8,True,True,6,2e-05,1e-06,1e-06,0.1,0.33,2000.0,1500.0
30,XRP/BTC,XRP,BTC,online,8,1e-08,8,9,True,True,8,2e-05,1e-08,1e-08,1.65,0.33,450000.0,360000.0
31,XLM/BTC,XLM,BTC,online,8,1e-08,9,9,True,True,9,2e-05,1e-09,1e-09,30.0,0.5,480000.0,310000.0
32,DOGE/BTC,DOGE,BTC,online,8,1e-08,9,9,True,True,9,2e-05,1e-09,1e-09,13.0,0.33,4000000.0,2800000.0
33,ETC/ETH,ETC,ETH,online,8,1e-08,6,8,False,True,6,0.0002,1e-06,1e-06,0.6,,,
34,ETC/BTC,ETC,BTC,online,8,1e-08,7,8,False,True,7,2e-05,1e-07,1e-07,0.6,,,
35,ETC/USD,ETC,USD,online,8,1e-08,3,8,True,True,3,0.5,0.001,0.001,0.6,0.5,15000.0,5200.0
36,ETC/EUR,ETC,EUR,online,8,1e-08,3,8,True,True,3,0.45,0.001,0.001,0.6,0.5,12000.0,5900.0
37,REP/EUR,REP,EUR,online,8,1e-08,3,5,False,False,3,0.45,0.001,0.001,6.0,,,
38,REP/USD,REP,USD,online,8,1e-08,3,5,False,False,3,0.5,0.001,0.001,6.0,,,
39,ZEC/EUR,ZEC,EUR,online,8,1e-08,3,5,True,True,3,0.45,0.001,0.001,0.02,0.2,1200.0,2100.0
40,ZEC/USD,ZEC,USD,online,8,1e-08,2,5,True,True,2,0.5,0.01,0.01,0.02,0.2,3300.0,3700.0
41,XRP/USD,XRP,USD,online,8,1e-08,5,8,True,True,5,0.5,1e-05,1e-05,1.65,0.1,3200000.0,1800000.0
42,XRP/EUR,XRP,EUR,online,8,1e-08,5,8,True,True,5,0.45,1e-05,1e-05,1.65,0.1,1400000.0,1400000.0
43,XLM/USD,XLM,USD,online,8,1e-08,6,8,True,True,6,0.5,1e-06,1e-06,30.0,0.5,2600000.0,2100000.0
44,XLM/EUR,XLM,EUR,online,8,1e-08,6,8,True,True,6,0.45,1e-06,1e-06,30.0,0.5,2000000.0,1600000.0
