,alias,auctionEndTime,baseCcy,category,contTdSwTime,ctMult,ctType,ctVal,ctValCcy,expTime,freq,futureSettlement,groupId,instCategory,instFamily,instId,instIdCode,instType,lever,listTime,longPosRemainingQuota,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxPlatOILmt,maxStopSz,maxTriggerSz,maxTwapSz,method,minSz,openType,optType,posLmtAmt,posLmtPct,preMktSwTime,quoteCcy,ruleType,seriesId,settleCcy,shortPosRemainingQuota,state,stk,tickSz,tradeQuoteCcyList,uly,upcChg
0,,,USDT,1,,,,,,,,False,10,1,,USDT-SGD,189535,SPOT,,1734678000000,,0.001,999999999999999.0000000000000000,20000000,999999999999999,71000,1000000,,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,,1,fix_price,,,,,SGD,normal,,,,live,,0.0001,['SGD'],,[]
1,,,USDC,1,,,,,,,,False,10,1,,USDC-SGD,189536,SPOT,,1734678600000,,0.001,999999999999999.0000000000000000,20000000,999999999999999,39000,1000000,,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,,1,fix_price,,,,,SGD,normal,,,,live,,0.0001,['SGD'],,[]
2,,,BTC,1,,,,,,,,False,8,1,,BTC-AUD,170619,SPOT,,1723782600000,,0.0000001,99999999999.0000000000000000,20000000,99999999999,23000,1000000,,1000000,99999999999.0000000000000000,99999999999.0000000000000000,,0.0001,fix_price,,,,,AUD,normal,,,,live,,0.1,['AUD'],,[]
3,,,ETH,1,,,,,,,,False,8,1,,ETH-AUD,170620,SPOT,,1723784400000,,0.0000001,99999999999.0000000000000000,20000000,99999999999,25000,1000000,,1000000,99999999999.0000000000000000,99999999999.0000000000000000,,0.0001,fix_price,,,,,AUD,normal,,,,live,,0.01,['AUD'],,[]
4,,,SOL,1,,,,,,,,False,8,1,,SOL-AUD,187841,SPOT,,1733798100000,,0.000001,999999999999.0000000000000000,20000000,999999999999,20000,1000000,,1000000,999999999999.0000000000000000,999999999999.0000000000000000,,0.01,fix_price,,,,,AUD,normal,,,,live,,0.01,['AUD'],,[]
5,,,XRP,1,,,,,,,,False,8,1,,XRP-AUD,187842,SPOT,,1733798400000,,0.0001,999999999999.0000000000000000,20000000,999999999999,20000,1000000,,1000000,999999999999.0000000000000000,999999999999.0000000000000000,,0.1,fix_price,,,,,AUD,normal,,,,live,,0.0001,['AUD'],,[]
6,,,TRUMP,1,,,,,,,,False,8,1,,TRUMP-AUD,194143,SPOT,,1737543000000,,0.0001,99999999999999.0000000000000000,20000000,99999999999999,5300,1000000,,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,,0.1,fix_price,,,,,AUD,normal,,,,live,,0.001,['AUD'],,[]
7,,,USDT,1,,,,,,,,False,8,1,,USDT-AUD,170617,SPOT,,1723779000000,,0.0001,99999999999999.0000000000000000,20000000,99999999999999,67000,1000000,,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,,0.1,fix_price,,,,,AUD,normal,,,,live,,0.0001,['AUD'],,[]
8,,,USDC,1,,,,,,,,False,8,1,,USDC-AUD,170618,SPOT,,1723780800000,,0.0001,99999999999999.0000000000000000,20000000,99999999999999,66000,1000000,,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,,1,fix_price,,,,,AUD,normal,,,,live,,0.0001,['AUD'],,[]
9,,,BTC,1,,,,,,,,False,7,1,,BTC-AED,174115,SPOT,,1726545900000,,0.000000001,999999999.0000000000000000,20000000,999999999,61000,1000000,,1000000,999999999.0000000000000000,999999999.0000000000000000,,0.00001,fix_price,,,,,AED,normal,,,,live,,1,['AED'],,[]
10,,,ETH,1,,,,,,,,False,7,1,,ETH-AED,174116,SPOT,,1726546200000,,0.00000001,9999999999.0000000000000000,20000000,9999999999,26000,1000000,,1000000,9999999999.0000000000000000,9999999999.0000000000000000,,0.0001,fix_price,,,,,AED,normal,,,,live,,0.1,['AED'],,[]
11,,,SOL,1,,,,,,,,False,7,1,,SOL-AED,187851,SPOT,,1733799900000,,0.0000001,99999999999.0000000000000000,20000000,99999999999,25000,1000000,,1000000,99999999999.0000000000000000,99999999999.0000000000000000,,0.01,fix_price,,,,,AED,normal,,,,live,,0.1,['AED'],,[]
12,,,XRP,1,,,,,,,,False,7,1,,XRP-AED,187852,SPOT,,1733800200000,,0.0001,99999999999999.0000000000000000,20000000,99999999999999,28000,1000000,,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,,0.1,fix_price,,,,,AED,normal,,,,live,,0.001,['AED'],,[]
13,,,USDT,1,,,,,,,,False,7,1,,USDT-AED,164583,SPOT,,1726545600000,,0.0001,99999999999999.0000000000000000,20000000,99999999999999,840000,1000000,,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,,0.1,fix_price,,,,,AED,normal,,,,live,,0.001,['AED'],,[]
14,,,BTC,1,,,,,,,,False,5,1,,BTC-BRL,147329,SPOT,,1707359400000,,0.00000001,9999999999.0000000000000000,20000000,9999999999,38000,1000000,,1000000,9999999999.0000000000000000,9999999999.0000000000000000,,0.0001,fix_price,,,,,BRL,normal,,,,live,,1,['BRL'],,[]
