,symbol,code,type,displaySymbol,indexSymbol,markSymbol,fundingRateSymbol,fundingRate8hSymbol,contractUnderlyingAssets,settleCurrency,quoteCurrency,contractSize,lotSize,tickSize,priceScale,ratioScale,pricePrecision,minPriceEp,maxPriceEp,maxOrderQty,description,status,tipOrderQty,listTime,majorSymbol,defaultLeverage,fundingInterval,maxLeverage,leverageMargin,maxOI,baseCurrency,baseTickSize,baseTickSizeEv,quoteTickSize,quoteTickSizeEv,baseQtyPrecision,quoteQtyPrecision,minOrderValue,minOrderValueEv,maxBaseOrderSize,maxBaseOrderSizeEv,maxOrderValue,maxOrderValueEv,defaultTakerFee,defaultTakerFeeEr,defaultMakerFee,defaultMakerFeeEr,ieoOpenPriceEp,ieoInitDurationMs,buyPriceUpperLimitPct,sellPriceLowerLimitPct,leverage
0,BTCUSD,1,Perpetual,BTC / USD,.BTC,.MBTC,.BTCFR,.BTCFR8H,USD,BTC,USD,1.0,1.0,0.1,4,8,1,100000.0,10000000000.0,20000000.0,"BTC/USD perpetual contracts are priced on the .BTC Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Listed,5000000,1574640000000,True,-10,28800.0,100.0,1034.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
1,cETHUSD,1131,Perpetual,ETH / USD,.cETH,.McETH,.cETHFR,.cETHFR8H,USD,ETH,USD,1.0,1.0,0.01,4,8,2,10000.0,1000000000.0,5000000.0,"cETH/USD perpetual contracts are priced on the .cETH Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Listed,1250000,1637722800000,True,-10,28800.0,100.0,1035.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
2,cSOLUSD,110131,Perpetual,SOL / USD,.cSOL,.McSOL,.cSOLFR,.cSOLFR8H,USD,SOL,USD,1.0,1.0,0.01,4,8,2,10000.0,200000000.0,1000000.0,"cSOL/USD perpetual contracts are priced on the .cSOL Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Listed,250000,1734667200000,True,-10,28800.0,50.0,1037.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
3,cXRPUSD,110231,Perpetual,XRP / USD,.cXRP,.McXRP,.cXRPFR,.cXRPFR8H,USD,XRP,USD,1.0,1.0,0.0001,4,8,4,100.0,2000000.0,500000.0,"cXRP/USD perpetual contracts are priced on the .cXRP Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Listed,125000,1734667200000,True,-10,28800.0,50.0,1004.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
4,cADAUSD,121921,Perpetual,ADA / USD,.cADA,.McADA,.cADAFR,.cADAFR8H,USD,ADA,USD,1.0,1.0,0.0001,4,8,4,100.0,2000000.0,500000.0,"cADA/USD perpetual contracts are priced on the .cADA Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Listed,125000,1737010800000,True,-10,28800.0,100.0,1025.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
5,cSUIUSD,122021,Perpetual,SUI / USD,.cSUI,.McSUI,.cSUIFR,.cSUIFR8H,USD,SUI,USD,1.0,1.0,0.0001,4,8,4,100.0,2000000.0,500000.0,"cSUI/USD perpetual contracts are priced on the .cSUI Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Listed,125000,1737010800000,True,-10,28800.0,100.0,1026.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
6,cLINKUSD,122121,Perpetual,LINK / USD,.cLINK,.McLINK,.cLINKFR,.cLINKFR8H,USD,LINK,USD,1.0,1.0,0.001,4,8,3,1000.0,20000000.0,500000.0,"cLINK/USD perpetual contracts are priced on the .cLINK Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Listed,125000,1737010800000,True,-10,28800.0,100.0,1027.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
7,cAVAXUSD,122221,Perpetual,AVAX / USD,.cAVAX,.McAVAX,.cAVAXFR,.cAVAXFR8H,USD,AVAX,USD,1.0,1.0,0.01,4,8,2,10000.0,200000000.0,500000.0,"cAVAX/USD perpetual contracts are priced on the .cAVAX Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Listed,125000,1737010800000,True,-10,28800.0,100.0,1028.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
8,ETHUSD,11,Perpetual,ETH / USD,.ETH,.METH,.ETHFR,.ETHFR8H,ETH,USD,USD,0.005,1.0,0.01,4,8,2,10000.0,1000000000.0,500000.0,"ETH/USD perpetual contracts are priced on the .ETH Index. Each contract is worth 0.005 ETH. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Delisted,100000,1574650800000,True,-10,28800.0,100.0,1001.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
9,XRPUSD,21,Perpetual,XRP / USD,.XRP,.MXRP,.XRPFR,.XRPFR8H,XRP,USD,USD,5.0,1.0,0.0001,4,8,4,100.0,2000000.0,500000.0,"XRP/USD perpetual contracts are priced on the .XRP Index. Each contract is worth 5 XRP. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.",Delisted,100000,1574650800000,False,-10,28800.0,100.0,1001.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
