date,open,high,low,close,volume,average,barCount
2021-07-06,108.26,108.4,108.19,108.36,13241.0,108.355,4112
2021-07-07,108.33,108.41,108.29,108.37,13726.0,108.371,4397
2021-07-08,108.45,108.55,108.44,108.5,16651.0,108.503,4797
2021-07-09,108.33,108.35,108.25,108.27,16552.0,108.302,4388
2021-07-12,108.29,108.31,108.23,108.28,41693.0,108.264,5525
2021-07-13,108.24,108.3,108.16,108.17,26247.0,108.235,4330
2021-07-14,108.28,108.42,108.26,108.4,14953.0,108.344,4896
2021-07-15,108.45,108.5,108.38,108.49,8455.0,108.468,2496
2021-07-16,108.44,108.49,108.39,108.45,8653.0,108.444,3641
2021-07-19,108.59,108.67,108.56,108.62,16672.0,108.629,4599
2021-07-20,108.69,108.69,108.54,108.56,15535.0,108.588,5410
2021-07-21,108.51,108.52,108.37,108.37,12700.0,108.431,6401
2021-07-22,108.4,108.57,108.4,108.53,13201.0,108.504,3898
2021-07-23,108.63,108.64,108.56,108.63,36035.0,108.609,3913
2021-07-26,108.62,108.64,108.56,108.56,17598.0,108.594,3477
2021-07-27,108.55,108.66,108.54,108.64,18557.0,108.623,2526
2021-07-28,108.62,108.72,108.53,108.71,27401.0,108.63,3559
2021-07-29,108.72,108.73,108.64,108.67,11636.0,108.669,3968
2021-07-30,108.7,108.72,108.67,108.69,5512.0,108.699,1674
2021-08-02,108.66,108.78,108.66,108.73,6524.0,108.728,2464
2021-08-03,108.81,108.83,108.74,108.74,6892.0,108.786,2512
2021-08-04,108.78,108.82,108.6,108.77,8556.0,108.713,3105
2021-08-05,108.75,108.76,108.57,108.62,8109.0,108.633,2685
2021-08-06,108.51,108.52,108.42,108.42,6299.0,108.476,2304
2021-08-09,108.53,108.55,108.36,108.38,9362.0,108.426,3637
2021-08-10,108.33,108.35,108.27,108.3,6936.0,108.304,2996
2021-08-11,108.3,108.44,108.28,108.43,9406.0,108.352,3902
2021-08-12,108.4,108.44,108.36,108.38,8758.0,108.411,4060
2021-08-13,108.38,108.53,108.37,108.53,6792.0,108.473,2415
2021-08-16,108.5,108.58,108.44,108.51,9422.0,108.55,3198
2021-08-17,108.41,108.48,108.36,108.36,7709.0,108.424,2660
2021-08-18,108.37,108.43,108.34,108.43,6756.0,108.386,2690
2021-08-19,108.45,108.49,108.42,108.44,10996.0,108.454,2259
2021-08-20,108.44,108.46,108.35,108.41,5482.0,108.396,1961
2021-08-23,108.38,108.48,108.34,108.48,6797.0,108.413,2683
2021-08-24,108.49,108.52,108.44,108.44,6095.0,108.487,1882
2021-08-25,108.45,108.55,108.42,108.46,32425.0,108.481,12216
2021-08-26,108.47,108.47,108.38,108.42,9132.0,108.423,2117
2021-08-27,108.45,108.6,108.4,108.6,5158.0,108.513,1816
2021-08-30,108.53,108.65,108.53,108.62,7058.0,108.618,2707
2021-08-31,108.63,108.65,108.59,108.59,4958.0,108.62,1658
2021-09-01,108.54,108.55,108.47,108.5,7153.0,108.498,2033
2021-09-02,108.53,108.56,108.5,108.54,7275.0,108.522,2006
2021-09-03,108.53,108.55,108.47,108.53,5263.0,108.511,2166
2021-09-07,108.51,108.54,108.46,108.49,11386.0,108.507,4450
