date,open,high,low,close,volume,average,barCount
2021-07-06,25.84,25.87,25.84,25.87,3336.0,25.864,625
2021-07-07,25.89,25.89,25.83,25.88,7125.0,25.859,1357
2021-07-08,25.91,25.92,25.89,25.9,11175.0,25.907,2033
2021-07-09,25.89,25.89,25.82,25.84,5916.0,25.837,1531
2021-07-12,25.84,25.85,25.8,25.82,5880.0,25.819,1446
2021-07-13,25.83,25.83,25.78,25.79,6131.0,25.801,1767
2021-07-14,25.82,25.85,25.81,25.85,6836.0,25.825,1657
2021-07-15,25.86,25.87,25.84,25.87,4293.0,25.855,967
2021-07-16,25.85,25.87,25.83,25.83,7024.0,25.841,2046
2021-07-19,25.86,25.91,25.86,25.91,6237.0,25.898,1484
2021-07-20,25.9,25.93,25.89,25.91,7587.0,25.906,1013
2021-07-21,25.88,25.9,25.86,25.87,5477.0,25.877,1207
2021-07-22,25.87,25.92,25.86,25.91,16045.0,25.908,1402
2021-07-23,25.9,25.92,25.9,25.92,10264.0,25.91,1006
2021-07-26,25.93,25.93,25.89,25.91,5432.0,25.909,1032
2021-07-27,25.92,25.92,25.9,25.92,4880.0,25.911,933
2021-07-28,25.91,25.94,25.9,25.94,5899.0,25.916,1087
2021-07-29,25.92,25.94,25.92,25.93,2505.0,25.928,489
2021-07-30,25.94,25.95,25.93,25.94,5540.0,25.935,834
2021-08-02,25.92,25.94,25.9,25.93,4656.0,25.926,1025
2021-08-03,25.95,25.96,25.93,25.94,6739.0,25.94,1024
2021-08-04,25.95,25.97,25.91,25.95,4818.0,25.928,1508
2021-08-05,25.95,25.95,25.9,25.91,5334.0,25.914,1058
2021-08-06,25.91,25.91,25.84,25.85,2924.0,25.864,873
2021-08-09,25.88,25.88,25.81,25.82,5178.0,25.835,1348
2021-08-10,25.82,25.82,25.78,25.79,3348.0,25.787,699
2021-08-11,25.79,25.83,25.78,25.83,5445.0,25.804,1352
2021-08-12,25.83,25.85,25.81,25.81,3714.0,25.818,701
2021-08-13,25.82,25.84,25.81,25.84,6890.0,25.823,1413
2021-08-16,25.84,25.86,25.84,25.84,4198.0,25.849,1300
2021-08-17,25.84,25.84,25.81,25.81,4042.0,25.821,852
2021-08-18,25.8,25.84,25.8,25.83,5235.0,25.815,1423
2021-08-19,25.85,25.85,25.82,25.84,3293.0,25.839,1066
2021-08-20,25.86,25.86,25.81,25.82,4880.0,25.823,1154
2021-08-23,25.82,25.84,25.81,25.82,6941.0,25.821,1853
2021-08-24,25.84,25.84,25.83,25.84,4003.0,25.836,711
2021-08-25,25.83,25.84,25.81,25.82,6770.0,25.823,1527
2021-08-26,25.81,25.83,25.8,25.82,4483.0,25.807,613
2021-08-27,25.82,25.86,25.81,25.86,4249.0,25.839,867
2021-08-30,25.87,25.87,25.85,25.86,6815.0,25.856,1172
2021-08-31,25.86,25.87,25.85,25.86,7112.0,25.857,643
2021-09-01,25.81,25.82,25.79,25.81,6191.0,25.806,996
