date,RSP,SPY
8/9/2021,153.71,442.13
8/10/2021,154.43,442.68
8/11/2021,155.42,443.78
8/12/2021,155.34,445.11
8/13/2021,155.32,445.92
8/16/2021,155.37,446.97
8/17/2021,154.2,444.04
8/18/2021,152.61,439.18
8/19/2021,152.27,439.86
8/20/2021,153.37,443.36
8/23/2021,154.52,447.26
8/24/2021,155.15,447.97
8/25/2021,155.97,448.91
8/26/2021,154.9,446.26
8/27/2021,156.56,450.25
8/30/2021,156.33,452.23
8/31/2021,156.3,451.56
9/1/2021,156.33,451.8
9/2/2021,157.39,453.19
9/3/2021,156.88,453.08
9/7/2021,155.57,451.46
9/8/2021,155.47,450.91
9/9/2021,155.03,448.98
9/10/2021,154.01,445.44
9/13/2021,154.44,446.58
9/14/2021,153.34,444.17
9/15/2021,154.7,447.88
9/16/2021,154.41,447.17
9/17/2021,153.04,441.4
9/20/2021,150.18,434.04
9/21/2021,149.64,433.63
9/22/2021,151.32,437.86
9/23/2021,153.54,443.18
9/24/2021,153.8,443.91
9/27/2021,154.31,442.64
9/28/2021,152,433.72
9/29/2021,152.33,434.45
9/30/2021,149.82,429.14
10/1/2021,151.84,434.24
10/4/2021,150.88,428.64
10/5/2021,151.96,433.1
10/6/2021,152.17,434.9
10/7/2021,153.46,438.66
10/8/2021,153.1,437.86
10/11/2021,152.26,434.69
10/12/2021,152.3,433.62
10/13/2021,152.55,435.18
10/14/2021,155.17,442.5
10/15/2021,155.7,445.87
10/18/2021,155.76,447.19
10/19/2021,156.67,450.64
10/20/2021,157.87,452.41
10/21/2021,158.06,453.59
10/22/2021,158.51,453.12
10/25/2021,158.87,455.55
10/26/2021,158.56,455.96
10/27/2021,156.45,453.94
10/28/2021,158.04,458.32
10/29/2021,157.76,459.25
11/1/2021,159.02,460.04
11/2/2021,159.46,461.9
11/3/2021,160.4,464.72
11/4/2021,160.07,466.91
11/5/2021,161.29,468.53
11/8/2021,161.53,468.93
11/9/2021,161.51,467.38
11/10/2021,160.48,463.62
11/11/2021,160.87,463.77
11/12/2021,161.65,467.27
11/15/2021,161.93,467.43
11/16/2021,162.14,469.28
11/17/2021,161.28,468.14
11/18/2021,160.69,469.73
11/19/2021,159.65,468.89
11/22/2021,159.9,467.57
11/23/2021,160.56,468.19
11/24/2021,160.64,469.44
11/26/2021,156.46,458.97
11/29/2021,157.77,464.6
11/30/2021,153.59,455.56
12/1/2021,151.68,450.5
12/2/2021,155.35,457.4
12/3/2021,154.5,453.42
12/6/2021,156.79,458.79
12/7/2021,159.44,468.28
12/8/2021,159.85,469.52
12/9/2021,158.71,466.35
12/10/2021,159.74,470.74
12/13/2021,158.58,466.57
12/14/2021,157.63,463.36
12/15/2021,159.35,470.6
12/16/2021,159.07,466.45
12/17/2021,156.96,459.87
12/20/2021,154.9,454.98
12/21/2021,158.04,463.06
12/22/2021,159.15,467.69
12/23/2021,160.23,470.6
12/27/2021,162.28,477.26
12/28/2021,162.53,476.87
12/29/2021,163.01,477.48
12/30/2021,162.75,476.16
12/31/2021,162.75,474.96
1/3/2022,162.89,477.71
1/4/2022,164.2,477.55
1/5/2022,161.67,468.38
1/6/2022,162.03,467.94
1/7/2022,161.77,466.09
1/10/2022,160.96,465.51
1/11/2022,162.48,469.75
1/12/2022,162.61,471.02
1/13/2022,161.86,464.53
1/14/2022,161.58,464.72
1/18/2022,159.01,456.49
1/19/2022,157.36,451.75
1/20/2022,155.36,446.75
1/21/2022,153.09,437.98
1/24/2022,154.24,439.84
1/25/2022,152.78,434.47
1/26/2022,151.55,433.38
1/27/2022,150.7,431.24
1/28/2022,153.28,441.95
1/31/2022,155.64,449.91
2/1/2022,156.85,452.95
2/2/2022,157.87,457.35
2/3/2022,155.87,446.6
2/4/2022,155.73,448.7
2/7/2022,155.83,447.26
2/8/2022,157.26,450.94
2/9/2022,159.92,457.54
2/10/2022,157.4,449.32
2/11/2022,155.32,440.46
2/14/2022,154.08,439.02
2/15/2022,156.43,446.1
2/16/2022,156.95,446.6
2/17/2022,154.13,437.06
2/18/2022,153.55,434.23
2/22/2022,152.02,429.57
2/23/2022,149.67,421.95
2/24/2022,151.1,428.3
2/25/2022,155.16,437.75
2/28/2022,154.25,436.63
3/1/2022,151.6,429.98
3/2/2022,154.83,437.89
3/3/2022,154.51,435.71
3/4/2022,153.58,432.17
3/7/2022,149.33,419.43
3/8/2022,148.26,416.25
3/9/2022,151.4,427.41
3/10/2022,151.11,425.48
3/11/2022,149.52,420.07
3/14/2022,148.97,417
3/15/2022,151.37,426.17
3/16/2022,154.23,435.62
3/17/2022,156.17,441.07
3/18/2022,157.17,444.52
3/21/2022,156.08,444.39
3/22/2022,157.39,449.59
3/23/2022,155.14,443.8
3/24/2022,156.95,450.49
3/25/2022,158.02,452.69
3/28/2022,158.49,455.91
3/29/2022,161.12,461.55
3/30/2022,159.89,458.7
3/31/2022,157.71,451.64
4/1/2022,158.22,452.92
4/4/2022,158.56,456.8
4/5/2022,156.87,451.03
4/6/2022,156.08,446.52
4/7/2022,156.56,448.77
4/8/2022,156.89,447.57
4/11/2022,155.37,439.92
4/12/2022,154.85,438.29
4/13/2022,156.6,443.31
4/14/2022,155.53,437.79
4/18/2022,155.2,437.97
4/19/2022,157.95,445.04
4/20/2022,158.96,444.71
4/21/2022,156.66,438.06
4/22/2022,152.39,426.04
4/25/2022,152.85,428.51
4/26/2022,149.19,416.1
4/27/2022,149.47,417.27
4/28/2022,152.07,427.81
4/29/2022,147.45,412
5/2/2022,147.85,414.48
5/3/2022,149.07,416.38
5/4/2022,153.22,429.06
5/5/2022,148.61,413.81
5/6/2022,147.25,411.34
5/9/2022,142.88,398.17
5/10/2022,142.51,399.09
5/11/2022,140.67,392.75
5/12/2022,141.27,392.34
5/13/2022,144.5,401.72
5/16/2022,143.99,400.09
5/17/2022,147.04,408.32
5/18/2022,141.51,391.86
5/19/2022,141.19,389.46
5/20/2022,141.19,389.63
5/23/2022,143.18,396.92
5/24/2022,142.29,393.89
5/25/2022,143.93,397.37
5/26/2022,146.97,405.31
5/27/2022,150.34,415.26
5/31/2022,148.93,412.93
6/1/2022,147.35,409.59
6/2/2022,149.94,417.39
6/3/2022,148.17,410.54
6/6/2022,148.71,411.79
6/7/2022,150.13,415.74
6/8/2022,147.99,411.22
6/9/2022,144.65,401.44
6/10/2022,140.71,389.8
6/13/2022,135.05,375
6/14/2022,134.35,373.87
6/15/2022,135.64,379.2
6/16/2022,130.84,366.65
6/17/2022,131.14,365.86
6/21/2022,132.69,375.07
6/22/2022,132.62,374.39
6/23/2022,133.72,378.06
6/24/2022,138.07,390.08
6/27/2022,138,388.59
6/28/2022,135.9,380.65
6/29/2022,135.07,380.34
6/30/2022,134.23,377.25
7/1/2022,135.87,381.24
7/5/2022,135.55,381.96
7/6/2022,135.58,383.25
7/7/2022,137.55,388.99
7/8/2022,137.04,388.67
7/11/2022,135.78,384.23
7/12/2022,135.13,380.83
7/13/2022,134.38,378.83
7/14/2022,133.32,377.91
7/15/2022,135.85,385.13
7/18/2022,135.26,381.95
7/19/2022,139.14,392.27
7/20/2022,140.07,394.77
7/21/2022,141.16,398.79
7/22/2022,140.34,395.09
7/25/2022,140.69,395.57
7/26/2022,139.59,390.89
