date,open,high,low,close,volume,average,barCount
2021-07-06,53.38,53.45,53.38,53.44,12945.0,53.435,2617
2021-07-07,53.45,53.46,53.4,53.43,12440.0,53.421,2518
2021-07-08,53.48,53.53,53.46,53.52,18704.0,53.499,4300
2021-07-09,53.47,53.49,53.42,53.43,8218.0,53.437,2822
2021-07-12,53.44,53.46,53.43,53.45,8838.0,53.439,2701
2021-07-13,53.35,53.41,53.32,53.34,12577.0,53.354,3446
2021-07-14,53.32,53.44,53.32,53.41,13994.0,53.389,5136
2021-07-15,53.4,53.45,53.38,53.45,7840.0,53.42,1958
2021-07-16,53.4,53.44,53.38,53.39,8207.0,53.401,2235
2021-07-19,53.46,53.53,53.44,53.52,8467.0,53.511,2130
2021-07-20,53.66,53.66,53.52,53.54,8310.0,53.54,2615
2021-07-21,53.48,53.52,53.41,53.41,10889.0,53.462,2943
2021-07-22,53.43,53.51,53.39,53.51,12749.0,53.49,3880
2021-07-23,53.46,53.53,53.45,53.51,23837.0,53.512,2662
2021-07-26,53.5,53.54,53.47,53.5,8347.0,53.515,1543
2021-07-27,53.5,53.6,53.5,53.54,9407.0,53.533,1661
2021-07-28,53.54,53.59,53.5,53.58,8910.0,53.552,2034
2021-07-29,53.57,53.59,53.55,53.57,8108.0,53.57,2292
2021-07-30,53.59,53.62,53.58,53.6,7892.0,53.607,1531
2021-08-02,53.6,53.65,53.58,53.64,15920.0,53.622,4273
2021-08-03,53.62,53.68,53.6,53.63,8717.0,53.656,1314
2021-08-04,53.62,53.66,53.56,53.62,9835.0,53.61,2697
2021-08-05,53.61,53.62,53.55,53.57,7245.0,53.581,1970
2021-08-06,53.52,53.57,53.48,53.49,6077.0,53.499,1956
2021-08-09,53.51,53.54,53.42,53.44,7256.0,53.467,1746
2021-08-10,53.35,53.37,53.32,53.34,11027.0,53.341,2818
2021-08-11,53.33,53.42,53.32,53.4,7608.0,53.379,2134
2021-08-12,53.35,53.41,53.33,53.41,9766.0,53.397,2454
2021-08-13,53.4,53.47,53.39,53.46,5841.0,53.45,1368
2021-08-16,53.47,53.5,53.46,53.47,7508.0,53.486,1751
2021-08-17,53.44,53.45,53.38,53.4,7215.0,53.429,1966
