date,open,high,low,close,volume,average,barCount
2026-07-21,72.57,72.58,72.48,72.52,54313.0,72.53,6909
2026-07-22,72.49,72.52,72.38,72.4,55596.0,72.437,8108
2026-07-23,72.2,72.27,72.17,72.25,73368.0,72.222,7711
2026-07-24,72.27,72.43,72.26,72.31,54515.0,72.355,6743
2026-07-27,72.43,72.5,72.39,72.46,53464.0,72.449,6785
2026-07-28,72.51,72.7,72.51,72.64,49577.0,72.625,8243
2026-07-29,72.56,72.63,72.37,72.38,64827.0,72.497,10663
2026-07-30,72.44,72.48,72.36,72.42,65030.0,72.426,12904
2026-07-31,72.3,72.34,72.13,72.23,58265.0,72.179,10352
2026-08-03,72.12,72.14,72.06,72.11,7840.0,72.115,1276
