date,open,high,low,close,volume,average,barCount
2026-05-05,80420.0,82450.0,80420.0,82285.0,198.0,81924.5,187
2026-05-06,82120.0,83600.0,81390.0,82075.0,335.0,82439.5,307
2026-05-07,81980.0,82320.0,80000.0,80680.0,412.0,80776.0,363
2026-05-08,80230.0,80930.0,79720.0,80720.0,381.0,80397.0,359
2026-05-11,81340.0,83010.0,80995.0,82525.0,968.0,82059.5,928
2026-05-12,82430.0,82435.0,80265.0,81335.0,383.0,81142.0,343
2026-05-13,81260.0,81830.0,79080.0,80075.0,843.0,80222.0,765
2026-05-14,79645.0,82635.0,79300.0,81965.0,951.0,81435.5,888
2026-05-15,82005.0,82160.0,79020.0,79530.0,1112.0,80000.0,1052
2026-05-18,78950.0,78950.0,76335.0,77195.0,961.0,77353.5,879
2026-05-19,77465.0,77650.0,76535.0,77135.0,356.0,77142.5,338
2026-05-20,77170.0,78195.0,76785.0,78015.0,596.0,77767.5,524
2026-05-21,77680.0,78580.0,77010.0,78005.0,741.0,77910.0,674
2026-05-22,77960.0,78165.0,75875.0,76070.0,802.0,76928.0,726
2026-05-26,76560.0,78365.0,75920.0,76190.0,3360.0,76996.5,3024
2026-05-27,76120.0,76275.0,74810.0,75170.0,3176.0,75433.5,2934
2026-05-28,74680.0,74830.0,72655.0,73620.0,5437.0,73519.5,4703
2026-05-29,74090.0,74535.0,72595.0,73715.0,6418.0,73702.0,5505
2026-06-01,73920.0,74385.0,70750.0,71735.0,7987.0,72240.0,6922
2026-06-02,71165.0,71705.0,66525.0,67395.0,9003.0,68359.5,7703
2026-06-03,67680.0,67680.0,64905.0,65585.0,8990.0,66520.5,7661
2026-06-04,65850.0,65925.0,61545.0,63795.0,12763.0,63689.5,10880
2026-06-05,63540.0,64050.0,59275.0,61845.0,15493.0,61421.5,13133
2026-06-08,62205.0,64365.0,59600.0,63475.0,9505.0,63408.0,8074
2026-06-09,63845.0,63845.0,60805.0,62170.0,8174.0,62166.0,6981
2026-06-10,61835.0,62970.0,60790.0,62030.0,6488.0,61872.0,5561
2026-06-11,60985.0,63985.0,60985.0,63675.0,6990.0,62904.0,6152
2026-06-12,63530.0,64485.0,62835.0,63660.0,7124.0,63680.0,6446
2026-06-15,63505.0,67360.0,63430.0,66590.0,6406.0,66289.5,5578
2026-06-16,66470.0,66510.0,66110.0,66190.0,133.0,66250.0,125
