date,open,high,low,close,volume,average,barCount,time
2026-07-27,56.69,56.74,56.63,56.67,5412.0,56.674,1414,00:00:00
2026-07-28,56.67,56.77,56.66,56.74,3193.0,56.732,823,00:00:00
2026-07-29,56.72,56.77,56.59,56.59,4201.0,56.691,1232,00:00:00
2026-07-30,56.54,56.75,56.45,56.56,3411.0,56.529,953,00:00:00
2026-07-31,56.58,56.63,56.44,56.53,3516.0,56.481,832,00:00:00
2026-08-03,56.42,56.46,56.36,56.37,5494.0,56.399,1136,00:00:00
2026-08-04,56.41,56.6,56.4,56.59,4519.0,56.544,1054,00:00:00
2026-08-05,56.62,56.69,56.59,56.68,2856.0,56.654,798,00:00:00
2026-08-06,56.65,56.69,56.63,56.66,3886.0,56.665,1024,00:00:00
2026-08-07,56.79,56.84,56.75,56.83,3711.0,56.801,1194,00:00:00
