date,open,high,low,close,volume,average,barCount
2026-07-21,95.61,95.61,95.23,95.38,36177.0,95.33,8943
2026-07-22,95.22,95.35,95.03,95.09,34842.0,95.145,7538
2026-07-23,94.66,94.7,94.49,94.53,64458.0,94.587,14355
2026-07-24,94.65,94.78,94.47,94.64,66907.0,94.609,14765
2026-07-27,95.15,95.15,94.85,94.96,30481.0,94.966,8488
2026-07-28,94.89,95.23,94.87,95.19,52156.0,95.073,12374
2026-07-29,94.97,95.06,94.51,94.56,67317.0,94.818,19520
2026-07-30,94.62,94.81,94.56,94.79,57031.0,94.7,16961
2026-07-31,94.74,94.79,94.48,94.66,57619.0,94.614,19277
2026-08-03,94.52,94.79,94.52,94.75,23777.0,94.69,3912
