date,open,high,low,close,volume,average,barCount
2026-07-21,22.87,23.02,22.82,22.85,10740.0,22.85,1341
2026-07-22,22.84,23.05,22.8,22.82,15924.0,22.833,1465
2026-07-23,22.75,22.91,22.73,22.76,14970.0,22.757,1142
2026-07-24,22.79,23.04,22.77,22.79,18471.0,22.796,1803
2026-07-27,22.82,22.9,22.8,22.83,14076.0,22.831,1844
2026-07-28,22.85,23.13,22.83,22.89,9984.0,22.896,968
2026-07-29,22.88,22.94,22.76,22.82,11146.0,22.855,1751
2026-07-30,22.82,22.91,22.8,22.83,8528.0,22.826,993
2026-07-31,22.79,22.86,22.72,22.76,33881.0,22.745,2287
2026-08-03,22.73,22.86,22.69,22.7,1782.0,22.744,168
