date,open,high,low,close,volume,average,barCount
2026-07-21,25.22,25.23,25.19,25.21,19596.0,25.203,1228
2026-07-22,25.19,25.23,25.15,25.16,15203.0,25.173,1300
2026-07-23,25.09,25.12,25.07,25.1,14431.0,25.095,2701
2026-07-24,25.12,25.17,25.07,25.13,11937.0,25.141,1785
2026-07-27,25.18,25.19,25.14,25.17,9847.0,25.176,1886
2026-07-28,25.21,25.27,25.14,25.25,8952.0,25.239,989
2026-07-29,25.22,25.25,25.15,25.16,12107.0,25.19,2275
2026-07-30,25.18,25.2,25.11,25.16,8979.0,25.172,1402
2026-07-31,25.13,25.18,25.06,25.11,58867.0,25.093,3840
2026-08-03,25.05,25.12,25.05,25.05,1548.0,25.056,253
