date,open,high,low,close,volume,average,barCount,time
2026-07-27,98.9,98.92,98.75,98.77,2765.0,98.82,621,00:00:00
2026-07-28,98.78,98.93,98.77,98.87,2575.0,98.861,736,00:00:00
2026-07-29,98.84,99.01,98.81,98.86,1956.0,98.918,662,00:00:00
2026-07-30,98.76,98.79,98.55,98.72,2836.0,98.671,676,00:00:00
2026-07-31,98.7,98.7,98.53,98.66,3524.0,98.603,915,00:00:00
2026-08-03,98.53,98.54,98.43,98.45,4135.0,98.458,887,00:00:00
2026-08-04,98.6,98.79,98.54,98.79,3956.0,98.72,1121,00:00:00
2026-08-05,98.71,98.89,98.7,98.89,2714.0,98.82,701,00:00:00
2026-08-06,98.83,98.93,98.8,98.86,2237.0,98.86,697,00:00:00
2026-08-07,99.08,99.2,99.01,99.14,3164.0,99.102,825,00:00:00
