date,RSP,SPY
2021-08-09,153.71,442.13
2021-08-10,154.43,442.68
2021-08-11,155.42,443.78
2021-08-12,155.34,445.11
2021-08-13,155.32,445.92
2021-08-16,155.37,446.97
2021-08-17,154.2,444.04
2021-08-18,152.61,439.18
2021-08-19,152.27,439.86
2021-08-20,153.37,443.36
2021-08-23,154.52,447.26
2021-08-24,155.15,447.97
2021-08-25,155.97,448.91
2021-08-26,154.9,446.26
2021-08-27,156.56,450.25
2021-08-30,156.33,452.23
2021-08-31,156.3,451.56
2021-09-01,156.33,451.8
2021-09-02,157.39,453.19
2021-09-03,156.88,453.08
2021-09-07,155.57,451.46
2021-09-08,155.47,450.91
2021-09-09,155.03,448.98
2021-09-10,154.01,445.44
2021-09-13,154.44,446.58
2021-09-14,153.34,444.17
2021-09-15,154.7,447.88
2021-09-16,154.41,447.17
2021-09-17,153.04,441.4
2021-09-20,150.18,434.04
2021-09-21,149.64,433.63
2021-09-22,151.32,437.86
2021-09-23,153.54,443.18
2021-09-24,153.8,443.91
2021-09-27,154.31,442.64
2021-09-28,152.0,433.72
2021-09-29,152.33,434.45
2021-09-30,149.82,429.14
2021-10-01,151.84,434.24
2021-10-04,150.88,428.64
2021-10-05,151.96,433.1
2021-10-06,152.17,434.9
2021-10-07,153.46,438.66
2021-10-08,153.1,437.86
2021-10-11,152.26,434.69
2021-10-12,152.3,433.62
2021-10-13,152.55,435.18
2021-10-14,155.17,442.5
2021-10-15,155.7,445.87
2021-10-18,155.76,447.19
2021-10-19,156.67,450.64
2021-10-20,157.87,452.41
2021-10-21,158.06,453.59
2021-10-22,158.51,453.12
2021-10-25,158.87,455.55
2021-10-26,158.56,455.96
2021-10-27,156.45,453.94
2021-10-28,158.04,458.32
2021-10-29,157.76,459.25
2021-11-01,159.02,460.04
2021-11-02,159.46,461.9
2021-11-03,160.4,464.72
2021-11-04,160.07,466.91
2021-11-05,161.29,468.53
2021-11-08,161.53,468.93
2021-11-09,161.51,467.38
2021-11-10,160.48,463.62
2021-11-11,160.87,463.77
2021-11-12,161.65,467.27
2021-11-15,161.93,467.43
2021-11-16,162.14,469.28
2021-11-17,161.28,468.14
2021-11-18,160.69,469.73
2021-11-19,159.65,468.89
2021-11-22,159.9,467.57
2021-11-23,160.56,468.19
2021-11-24,160.64,469.44
2021-11-26,156.46,458.97
2021-11-29,157.77,464.6
2021-11-30,153.59,455.56
2021-12-01,151.68,450.5
2021-12-02,155.35,457.4
2021-12-03,154.5,453.42
2021-12-06,156.79,458.79
2021-12-07,159.44,468.28
2021-12-08,159.85,469.52
2021-12-09,158.71,466.35
2021-12-10,159.74,470.74
2021-12-13,158.58,466.57
2021-12-14,157.63,463.36
2021-12-15,159.35,470.6
2021-12-16,159.07,466.45
2021-12-17,156.96,459.87
2021-12-20,154.9,454.98
2021-12-21,158.04,463.06
2021-12-22,159.15,467.69
2021-12-23,160.23,470.6
2021-12-27,162.28,477.26
2021-12-28,162.53,476.87
2021-12-29,163.01,477.48
2021-12-30,162.75,476.16
2021-12-31,162.75,474.96
2022-01-03,162.89,477.71
2022-01-04,164.2,477.55
2022-01-05,161.67,468.38
2022-01-06,162.03,467.94
2022-01-07,161.77,466.09
2022-01-10,160.96,465.51
2022-01-11,162.48,469.75
2022-01-12,162.61,471.02
2022-01-13,161.86,464.53
2022-01-14,161.58,464.72
2022-01-18,159.01,456.49
2022-01-19,157.36,451.75
2022-01-20,155.36,446.75
2022-01-21,153.09,437.98
2022-01-24,154.24,439.84
2022-01-25,152.78,434.47
2022-01-26,151.55,433.38
2022-01-27,150.7,431.24
2022-01-28,153.28,441.95
2022-01-31,155.64,449.91
2022-02-01,156.85,452.95
2022-02-02,157.87,457.35
2022-02-03,155.87,446.6
2022-02-04,155.73,448.7
2022-02-07,155.83,447.26
2022-02-08,157.26,450.94
2022-02-09,159.92,457.54
2022-02-10,157.4,449.32
2022-02-11,155.32,440.46
2022-02-14,154.08,439.02
2022-02-15,156.43,446.1
2022-02-16,156.95,446.6
2022-02-17,154.13,437.06
2022-02-18,153.55,434.23
2022-02-22,152.02,429.57
2022-02-23,149.67,421.95
2022-02-24,151.1,428.3
2022-02-25,155.16,437.75
2022-02-28,154.25,436.63
2022-03-01,151.6,429.98
2022-03-02,154.83,437.89
2022-03-03,154.51,435.71
2022-03-04,153.58,432.17
2022-03-07,149.33,419.43
2022-03-08,148.26,416.25
2022-03-09,151.4,427.41
2022-03-10,151.11,425.48
2022-03-11,149.52,420.07
2022-03-14,148.97,417.0
2022-03-15,151.37,426.17
