date,open,high,low,close,volume,average,barCount
2026-04-28,77440.0,77985.0,76245.0,76980.0,266.0,76750.0,254
2026-04-29,76900.0,78590.0,75495.0,76090.0,310.0,77300.5,286
2026-04-30,76360.0,77315.0,76065.0,77060.0,160.0,76726.0,147
2026-05-01,76910.0,79590.0,76910.0,79105.0,306.0,78801.5,283
2026-05-04,80000.0,81440.0,78870.0,80720.0,520.0,80279.5,474
2026-05-05,80420.0,82450.0,80420.0,82285.0,198.0,81924.5,187
2026-05-06,82120.0,83600.0,81390.0,82075.0,335.0,82439.5,307
2026-05-07,81980.0,82320.0,80000.0,80680.0,412.0,80776.0,363
2026-05-08,80230.0,80930.0,79720.0,80720.0,381.0,80397.0,359
2026-05-11,81340.0,83010.0,80995.0,82525.0,968.0,82059.5,928
2026-05-12,82430.0,82435.0,80265.0,81335.0,383.0,81142.0,343
2026-05-13,81260.0,81830.0,79080.0,80075.0,843.0,80222.0,765
2026-05-14,79645.0,82635.0,79300.0,81965.0,951.0,81435.5,888
2026-05-15,82005.0,82160.0,79020.0,79530.0,1112.0,80000.0,1052
2026-05-18,78950.0,78950.0,76335.0,77195.0,961.0,77353.5,879
2026-05-19,77465.0,77650.0,76535.0,77135.0,356.0,77142.5,338
2026-05-20,77170.0,78195.0,76785.0,78015.0,596.0,77767.5,524
2026-05-21,77680.0,78580.0,77010.0,78005.0,741.0,77910.0,674
2026-05-22,77960.0,78165.0,75875.0,76070.0,802.0,76928.0,726
2026-05-26,76560.0,78365.0,75920.0,76190.0,3360.0,76996.5,3024
2026-05-27,76120.0,76275.0,74810.0,75170.0,3176.0,75433.5,2934
2026-05-28,74680.0,74830.0,72655.0,73620.0,5437.0,73519.5,4703
2026-05-29,74090.0,74535.0,72595.0,73715.0,6418.0,73702.0,5505
2026-06-01,73920.0,74385.0,70750.0,71735.0,7987.0,72240.0,6922
2026-06-02,71165.0,71705.0,66525.0,67395.0,9003.0,68359.5,7703
2026-06-03,67635.0,67635.0,64905.0,65585.0,8987.0,66521.0,7658
2026-06-04,65920.0,65925.0,61545.0,63795.0,12748.0,63687.0,10868
2026-06-05,63400.0,64050.0,59275.0,61845.0,15490.0,61421.5,13130
2026-06-08,62205.0,64365.0,59600.0,63475.0,9505.0,63408.0,8074
2026-06-09,63845.0,63845.0,61200.0,61505.0,4695.0,62552.5,4079
