my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,20.9,20.91,2026-07-09_10-05-49
BITB,34.21,34.22,2026-07-09_10-05-49
BRRR,17.76,17.77,2026-07-09_10-05-49
BTC,27.87,27.88,2026-07-09_10-05-49
BTCW,66.53,66.58,2026-07-09_10-05-49
EZBC,36.41,36.42,2026-07-09_10-05-49
FBTC,54.84,54.85,2026-07-09_10-05-49
GBTC,48.85,48.86,2026-07-09_10-05-49
HODL,17.82,17.83,2026-07-09_10-05-49
IBIT,35.69,35.7,2026-07-09_10-05-49
ARKB,20.77,20.78,2026-07-09_10-20-49
BITB,34.01,34.02,2026-07-09_10-20-49
BRRR,17.66,17.67,2026-07-09_10-20-49
BTC,27.7,27.71,2026-07-09_10-20-49
BTCW,66.13,66.19,2026-07-09_10-20-49
EZBC,36.19,36.21,2026-07-09_10-20-49
FBTC,54.52,54.53,2026-07-09_10-20-49
GBTC,48.57,48.58,2026-07-09_10-20-49
HODL,17.72,17.73,2026-07-09_10-20-49
IBIT,35.48,35.49,2026-07-09_10-20-49
ARKB,20.9,20.91,2026-07-09_11-11-46
BITB,34.22,34.23,2026-07-09_11-11-46
BRRR,17.77,17.78,2026-07-09_11-11-46
BTC,27.88,27.89,2026-07-09_11-11-46
BTCW,66.56,66.62,2026-07-09_11-11-46
EZBC,36.42,36.44,2026-07-09_11-11-46
FBTC,54.86,54.87,2026-07-09_11-11-46
GBTC,48.88,48.89,2026-07-09_11-11-46
HODL,17.83,17.84,2026-07-09_11-11-46
IBIT,35.71,35.72,2026-07-09_11-11-46
ARKB,20.92,20.93,2026-07-09_11-26-46
BITB,34.25,34.26,2026-07-09_11-26-46
BRRR,17.78,17.79,2026-07-09_11-26-46
BTC,27.9,27.91,2026-07-09_11-26-46
BTCW,66.6,66.66,2026-07-09_11-26-46
EZBC,36.45,36.47,2026-07-09_11-26-46
FBTC,54.89,54.9,2026-07-09_11-26-46
GBTC,48.91,48.92,2026-07-09_11-26-46
HODL,17.84,17.85,2026-07-09_11-26-46
IBIT,35.73,35.74,2026-07-09_11-26-46
ARKB,20.87,20.88,2026-07-09_11-41-46
BITB,34.16,34.17,2026-07-09_11-41-46
BRRR,17.74,17.75,2026-07-09_11-41-46
BTC,27.83,27.84,2026-07-09_11-41-46
BTCW,66.44,66.51,2026-07-09_11-41-46
EZBC,36.36,36.37,2026-07-09_11-41-46
FBTC,54.76,54.77,2026-07-09_11-41-46
GBTC,48.79,48.8,2026-07-09_11-41-46
HODL,17.8,17.81,2026-07-09_11-41-46
IBIT,35.65,35.66,2026-07-09_11-41-46
