my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,21.53,21.54,2026-07-23_09-39-31
BITB,35.24,35.25,2026-07-23_09-39-31
BRRR,18.3,18.31,2026-07-23_09-39-31
BTC,28.71,28.72,2026-07-23_09-39-31
BTCW,68.54,68.6,2026-07-23_09-39-31
EZBC,37.51,37.52,2026-07-23_09-39-31
FBTC,56.5,56.51,2026-07-23_09-39-31
GBTC,50.31,50.32,2026-07-23_09-39-31
HODL,18.36,18.37,2026-07-23_09-39-31
IBIT,36.77,36.78,2026-07-23_09-39-31
ARKB,21.58,21.59,2026-07-23_09-54-31
BITB,35.31,35.32,2026-07-23_09-54-31
BRRR,18.34,18.35,2026-07-23_09-54-31
BTC,28.77,28.78,2026-07-23_09-54-31
BTCW,68.7,68.77,2026-07-23_09-54-31
EZBC,37.58,37.6,2026-07-23_09-54-31
FBTC,56.61,56.62,2026-07-23_09-54-31
GBTC,50.41,50.42,2026-07-23_09-54-31
HODL,18.4,18.41,2026-07-23_09-54-31
IBIT,36.84,36.85,2026-07-23_09-54-31
ARKB,21.47,21.48,2026-07-23_10-09-31
BITB,35.15,35.16,2026-07-23_10-09-31
BRRR,18.25,18.26,2026-07-23_10-09-31
BTC,28.64,28.65,2026-07-23_10-09-31
BTCW,68.35,68.45,2026-07-23_10-09-31
EZBC,37.41,37.42,2026-07-23_10-09-31
FBTC,56.35,56.36,2026-07-23_10-09-31
GBTC,50.18,50.19,2026-07-23_10-09-31
HODL,18.31,18.32,2026-07-23_10-09-31
IBIT,36.67,36.68,2026-07-23_10-09-31
ARKB,21.58,21.59,2026-07-23_10-24-31
BITB,35.32,35.33,2026-07-23_10-24-31
BRRR,18.34,18.35,2026-07-23_10-24-31
BTC,28.77,28.78,2026-07-23_10-24-31
BTCW,68.71,68.78,2026-07-23_10-24-31
EZBC,37.58,37.6,2026-07-23_10-24-31
FBTC,56.62,56.63,2026-07-23_10-24-31
GBTC,50.41,50.42,2026-07-23_10-24-31
HODL,18.4,18.41,2026-07-23_10-24-31
IBIT,36.85,36.86,2026-07-23_10-24-31
ARKB,21.6,21.61,2026-07-23_10-39-31
BITB,35.35,35.36,2026-07-23_10-39-31
BRRR,18.36,18.37,2026-07-23_10-39-31
BTC,28.8,28.81,2026-07-23_10-39-31
BTCW,68.76,68.82,2026-07-23_10-39-31
EZBC,37.62,37.65,2026-07-23_10-39-31
FBTC,56.68,56.69,2026-07-23_10-39-31
GBTC,50.47,50.48,2026-07-23_10-39-31
HODL,18.42,18.43,2026-07-23_10-39-31
IBIT,36.89,36.9,2026-07-23_10-39-31
ARKB,21.48,21.49,2026-07-23_10-54-31
BITB,35.16,35.17,2026-07-23_10-54-31
BRRR,18.26,18.27,2026-07-23_10-54-31
BTC,28.64,28.65,2026-07-23_10-54-31
BTCW,68.39,68.47,2026-07-23_10-54-31
EZBC,37.42,37.44,2026-07-23_10-54-31
FBTC,56.37,56.38,2026-07-23_10-54-31
GBTC,50.2,50.21,2026-07-23_10-54-31
HODL,18.32,18.33,2026-07-23_10-54-31
IBIT,36.69,36.7,2026-07-23_10-54-31
ARKB,21.48,21.49,2026-07-23_11-09-31
BITB,35.16,35.17,2026-07-23_11-09-31
BRRR,18.26,18.27,2026-07-23_11-09-31
BTC,28.64,28.65,2026-07-23_11-09-31
BTCW,68.37,68.45,2026-07-23_11-09-31
EZBC,37.42,37.44,2026-07-23_11-09-31
FBTC,56.36,56.37,2026-07-23_11-09-31
GBTC,50.19,50.2,2026-07-23_11-09-31
HODL,18.32,18.33,2026-07-23_11-09-31
IBIT,36.68,36.69,2026-07-23_11-09-31
ARKB,21.5,21.51,2026-07-23_11-24-31
BITB,35.2,35.21,2026-07-23_11-24-31
BRRR,18.28,18.29,2026-07-23_11-24-31
BTC,28.67,28.68,2026-07-23_11-24-31
BTCW,68.45,68.51,2026-07-23_11-24-31
EZBC,37.46,37.48,2026-07-23_11-24-31
FBTC,56.43,56.44,2026-07-23_11-24-31
GBTC,50.25,50.27,2026-07-23_11-24-31
HODL,18.34,18.35,2026-07-23_11-24-31
IBIT,36.72,36.73,2026-07-23_11-24-31
ARKB,21.52,21.53,2026-07-23_11-39-31
BITB,35.22,35.23,2026-07-23_11-39-31
BRRR,18.29,18.3,2026-07-23_11-39-31
BTC,28.69,28.7,2026-07-23_11-39-31
BTCW,68.51,68.56,2026-07-23_11-39-31
EZBC,37.48,37.49,2026-07-23_11-39-31
FBTC,56.46,56.47,2026-07-23_11-39-31
GBTC,50.28,50.29,2026-07-23_11-39-31
HODL,18.35,18.36,2026-07-23_11-39-31
IBIT,36.75,36.76,2026-07-23_11-39-31
ARKB,21.52,21.53,2026-07-23_11-54-31
BITB,35.23,35.24,2026-07-23_11-54-31
BRRR,18.29,18.3,2026-07-23_11-54-31
BTC,28.7,28.71,2026-07-23_11-54-31
BTCW,68.52,68.58,2026-07-23_11-54-31
EZBC,37.49,37.5,2026-07-23_11-54-31
FBTC,56.46,56.47,2026-07-23_11-54-31
GBTC,50.29,50.3,2026-07-23_11-54-31
HODL,18.35,18.36,2026-07-23_11-54-31
IBIT,36.75,36.76,2026-07-23_11-54-31
ARKB,21.47,21.48,2026-07-23_12-09-31
BITB,35.15,35.16,2026-07-23_12-09-31
BRRR,18.25,18.26,2026-07-23_12-09-31
BTC,28.63,28.64,2026-07-23_12-09-31
BTCW,68.36,68.41,2026-07-23_12-09-31
EZBC,37.4,37.43,2026-07-23_12-09-31
FBTC,56.34,56.35,2026-07-23_12-09-31
GBTC,50.17,50.19,2026-07-23_12-09-31
HODL,18.31,18.32,2026-07-23_12-09-31
IBIT,36.67,36.68,2026-07-23_12-09-31
ARKB,21.47,21.48,2026-07-23_12-24-31
BITB,35.15,35.16,2026-07-23_12-24-31
BRRR,18.25,18.26,2026-07-23_12-24-31
BTC,28.64,28.65,2026-07-23_12-24-31
BTCW,68.36,68.42,2026-07-23_12-24-31
EZBC,37.4,37.43,2026-07-23_12-24-31
FBTC,56.35,56.36,2026-07-23_12-24-31
GBTC,50.19,50.2,2026-07-23_12-24-31
HODL,18.31,18.32,2026-07-23_12-24-31
IBIT,36.67,36.68,2026-07-23_12-24-31
ARKB,21.45,21.46,2026-07-23_12-39-31
BITB,35.12,35.13,2026-07-23_12-39-31
BRRR,18.24,18.25,2026-07-23_12-39-31
BTC,28.61,28.62,2026-07-23_12-39-31
BTCW,68.29,68.38,2026-07-23_12-39-31
EZBC,37.37,37.39,2026-07-23_12-39-31
FBTC,56.3,56.31,2026-07-23_12-39-31
GBTC,50.14,50.15,2026-07-23_12-39-31
HODL,18.3,18.31,2026-07-23_12-39-31
IBIT,36.64,36.65,2026-07-23_12-39-31
ARKB,21.45,21.46,2026-07-23_12-54-31
BITB,35.11,35.12,2026-07-23_12-54-31
BRRR,18.24,18.25,2026-07-23_12-54-31
BTC,28.61,28.62,2026-07-23_12-54-31
BTCW,68.28,68.35,2026-07-23_12-54-31
EZBC,37.37,37.39,2026-07-23_12-54-31
FBTC,56.3,56.31,2026-07-23_12-54-31
GBTC,50.14,50.15,2026-07-23_12-54-31
HODL,18.29,18.3,2026-07-23_12-54-31
IBIT,36.63,36.64,2026-07-23_12-54-31
ARKB,21.46,21.46,2026-07-23_13-09-31
BITB,35.12,35.13,2026-07-23_13-09-31
BRRR,18.24,18.25,2026-07-23_13-09-31
BTC,28.61,28.62,2026-07-23_13-09-31
BTCW,68.3,68.36,2026-07-23_13-09-31
EZBC,37.37,37.4,2026-07-23_13-09-31
FBTC,56.3,56.31,2026-07-23_13-09-31
GBTC,50.15,50.16,2026-07-23_13-09-31
HODL,18.3,18.31,2026-07-23_13-09-31
IBIT,36.64,36.65,2026-07-23_13-09-31
ARKB,21.48,21.49,2026-07-23_13-24-31
BITB,35.17,35.18,2026-07-23_13-24-31
BRRR,18.26,18.27,2026-07-23_13-24-31
BTC,28.65,28.66,2026-07-23_13-24-31
BTCW,68.38,68.46,2026-07-23_13-24-31
EZBC,37.42,37.44,2026-07-23_13-24-31
FBTC,56.37,56.38,2026-07-23_13-24-31
GBTC,50.21,50.22,2026-07-23_13-24-31
HODL,18.32,18.33,2026-07-23_13-24-31
IBIT,36.68,36.69,2026-07-23_13-24-31
ARKB,21.47,21.48,2026-07-23_13-39-31
BITB,35.14,35.15,2026-07-23_13-39-31
BRRR,18.25,18.26,2026-07-23_13-39-31
BTC,28.63,28.64,2026-07-23_13-39-31
BTCW,68.35,68.42,2026-07-23_13-39-31
EZBC,37.4,37.42,2026-07-23_13-39-31
FBTC,56.34,56.35,2026-07-23_13-39-31
GBTC,50.18,50.19,2026-07-23_13-39-31
HODL,18.31,18.32,2026-07-23_13-39-31
