BWX_price,IGOV_price,BWX_price_chg,IGOV_price_chg,IGOV/BWX,IGOV/IGOV,IGOV/BWX_moving_avg,IGOV/IGOV_moving_avg,IGOV/BWX_prev_moving_avg,IGOV/IGOV_prev_moving_avg,BWX_scaled_price,IGOV_scaled_price,BWX_scaled_comm,IGOV_scaled_comm,BWX_scaled_price_minus_comm,IGOV_scaled_price_minus_comm,BWX_scaled_price_plus_comm,IGOV_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,BWX_shs_per_unit,IGOV_shs_per_unit,BWX_current_shs,IGOV_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,BWX_tgt_shs,IGOV_tgt_shs,BWX_tgt_inv_amt,IGOV_tgt_inv_amt,gross_inv_amt,net_inv_amt,BWX_shs_to_trade,IGOV_shs_to_trade,BWX_shs_to_buy,IGOV_shs_to_buy,BWX_shs_to_sell,IGOV_shs_to_sell,BWX_daily_comm,IGOV_daily_comm,daily_comm,BWX_daily_profit,IGOV_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
21.27,38.19,,,1.7954866008462622,1.0,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.29,38.07,0.019999999999999574,-0.11999999999999744,1.7881634570220761,1.0,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.31,38.29,0.019999999999999574,0.21999999999999886,1.7968090098545284,1.0,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.24,38.05,-0.07000000000000028,-0.240000000000002,1.7914312617702448,1.0,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.14,37.94,-0.09999999999999787,-0.10999999999999943,1.7947019867549667,1.0,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
20.94,37.48,-0.1999999999999993,-0.46000000000000085,1.7898758357211078,1.0,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
20.96,37.39,0.019999999999999574,-0.0899999999999963,1.7838740458015268,1.0,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
20.98,37.53,0.019999999999999574,0.14000000000000057,1.7888465204957102,1.0,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.16,37.89,0.17999999999999972,0.35999999999999943,1.7906427221172023,1.0,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.22,37.97,0.05999999999999872,0.0799999999999983,1.789349670122526,1.0,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.17,37.86,-0.04999999999999716,-0.10999999999999943,1.7883797827113839,1.0,,,,,,,,,,,,,,,,,,,2025-01-17,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.43,38.55,0.259999999999998,0.6899999999999977,1.798880074661689,1.0,,,,,,,,,,,,,,,,,,,2025-01-21,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.43,38.51,0.0,-0.03999999999999915,1.7970135324311711,1.0,,,,,,,,,,,,,,,,,,,2025-01-22,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
21.4,38.46,-0.030000000000001137,-0.04999999999999716,1.7971962616822432,1.0,,,,,,,,,,,,,,,,,,,2025-01-23,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
