PFFD_price,PFF_price,PFFD_price_chg,PFF_price_chg,PFF/PFFD,PFF/PFF,PFF/PFFD_moving_avg,PFF/PFF_moving_avg,PFF/PFFD_prev_moving_avg,PFF/PFF_prev_moving_avg,PFFD_scaled_price,PFF_scaled_price,PFFD_scaled_comm,PFF_scaled_comm,PFFD_scaled_price_minus_comm,PFF_scaled_price_minus_comm,PFFD_scaled_price_plus_comm,PFF_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,PFFD_shs_per_unit,PFF_shs_per_unit,PFFD_current_shs,PFF_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,PFFD_tgt_shs,PFF_tgt_shs,PFFD_tgt_inv_amt,PFF_tgt_inv_amt,gross_inv_amt,net_inv_amt,PFFD_shs_to_trade,PFF_shs_to_trade,PFFD_shs_to_buy,PFF_shs_to_buy,PFFD_shs_to_sell,PFF_shs_to_sell,PFFD_daily_comm,PFF_daily_comm,daily_comm,PFFD_daily_profit,PFF_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
19.78,31.82,,,1.6086956521739129,1.0,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.96,32.05,0.17999999999999972,0.22999999999999687,1.6057114228456912,1.0,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.92,31.97,-0.03999999999999915,-0.0799999999999983,1.6049196787148592,1.0,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.65,31.6,-0.2700000000000031,-0.36999999999999744,1.608142493638677,1.0,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.56,31.49,-0.08999999999999986,-0.11000000000000298,1.609918200408998,1.0,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.26,31.08,-0.29999999999999716,-0.41000000000000014,1.613707165109034,1.0,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.17,30.93,-0.08999999999999986,-0.14999999999999858,1.6134585289514864,1.0,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.32,31.13,0.14999999999999858,0.1999999999999993,1.6112836438923395,1.0,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.74,31.71,0.41999999999999815,0.5800000000000018,1.6063829787234045,1.0,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.72,31.68,-0.019999999999999574,-0.030000000000001137,1.6064908722109534,1.0,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.81,31.75,0.08999999999999986,0.07000000000000028,1.6027258960121151,1.0,,,,,,,,,,,,,,,,,,,2025-01-17,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
20.0,32.11,0.19000000000000128,0.35999999999999943,1.6055,1.0,,,,,,,,,,,,,,,,,,,2025-01-21,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.92,31.99,-0.0799999999999983,-0.120000000000001,1.6059236947791162,1.0,,,,,,,,,,,,,,,,,,,2025-01-22,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.89,31.99,-0.030000000000001137,0.0,1.6083459024635494,1.0,,,,,,,,,,,,,,,,,,,2025-01-23,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.99,32.08,0.09999999999999787,0.08999999999999986,1.6048024012006004,1.0,,,,,,,,,,,,,,,,,,,2025-01-24,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
20.15,32.26,0.16000000000000014,0.17999999999999972,1.6009925558312654,1.0,,,,,,,,,,,,,,,,,,,2025-01-27,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.96,32.04,-0.18999999999999773,-0.21999999999999886,1.6052104208416833,1.0,,,,,,,,,,,,,,,,,,,2025-01-28,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.87,31.91,-0.08999999999999986,-0.129999999999999,1.6059386009058882,1.0,,,,,,,,,,,,,,,,,,,2025-01-29,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.99,32.1,0.11999999999999744,0.19000000000000128,1.6058029014507256,1.0,,,,,,,,,,,,,,,,,,,2025-01-30,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
19.8,31.81,-0.18999999999999773,-0.2900000000000027,1.6065656565656565,1.0,1.6070259333359977,1.0,,,,,,,,,,,,,,,,,2025-01-31,False,,,,,,,,,,False,False,False,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
19.56,31.45,-0.240000000000002,-0.35999999999999943,1.6078732106339468,1.0,1.6069848112589995,1.0,1.6070259333359977,1.0,31.433427256052113,31.45,0.00803512966667999,0.005,31.425392126385432,31.445,31.441462385718793,31.455,31.441462385718793,31.445,0.0035376142812069133,0.0001124837609286777,PFFD,PFF,2025-02-03,True,5110.0,3180.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.62,31.55,0.060000000000002274,0.10000000000000142,1.6080530071355759,1.0,1.6071018904734937,1.0,1.6069848112589995,1.0,31.529041996901572,31.55,0.008034924056294997,0.005,31.521007072845276,31.545,31.53707692095787,31.555,31.53707692095787,31.545,0.007923079042132741,0.0002511277033956495,PFFD,PFF,2025-02-04,False,5094.0,3170.0,0.0,0.0,,,0.0,0.0,0.0,False,True,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.76,31.8,0.14000000000000057,0.25,1.609311740890688,1.0,1.6073214935822855,1.0,1.6071018904734937,1.0,31.75633335575624,31.8,0.00803550945236747,0.005,31.748297846303874,31.795,31.764368865208606,31.805,31.764368865208606,31.795,0.030631134791395453,0.0009632432324338193,PFFD,PFF,2025-02-05,False,5054.0,3145.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.73,31.71,-0.030000000000001137,-0.08999999999999986,1.6071971616827168,1.0,1.6072742269844873,1.0,1.6073214935822855,1.0,31.712453068378494,31.71,0.008036607467911428,0.005,31.704416460910583,31.705000000000002,31.720489675846405,31.715,31.715,31.705000000000002,-0.00999999999999801,-0.0003153579312519082,PFF,PFF,2025-02-06,False,5069.0,3154.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.64,31.55,-0.08999999999999986,-0.16000000000000014,1.6064154786150713,1.0,1.6070990908947909,1.0,1.6072742269844873,1.0,31.56686581797533,31.55,0.008036371134922437,0.005,31.55882944684041,31.545,31.57490218911025,31.555,31.555,31.55882944684041,0.003829446840409645,0.00012137707893532946,PFF,PFFD,2025-02-07,False,5095.0,3170.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.71,31.64,0.07000000000000028,0.08999999999999986,1.6052765093860983,1.0,1.6066775581086443,1.0,1.6070990908947909,1.0,31.67592308153633,31.64,0.008035495454473955,0.005,31.667887586081854,31.635,31.683958576990804,31.645,31.645,31.667887586081854,0.02288758608185404,0.0007233750341926055,PFF,PFFD,2025-02-10,False,5080.0,3161.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.69,31.61,-0.019999999999999574,-0.030000000000001137,1.60538344337227,1.0,1.606273803829683,1.0,1.6066775581086443,1.0,31.63548111915921,31.61,0.008033387790543222,0.005,31.627447731368665,31.605,31.643514506949753,31.615,31.615,31.627447731368665,0.012447731368666837,0.0003937909322577297,PFF,PFFD,2025-02-11,False,5084.0,3164.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.57,31.51,-0.120000000000001,-0.09999999999999787,1.6101175268267758,1.0,1.6062154979764052,1.0,1.606273803829683,1.0,31.4347783409469,31.51,0.008031369019148416,0.005,31.426746971927752,31.505000000000003,31.442809709966046,31.515,31.442809709966046,31.505000000000003,0.06219029003395704,0.0019736683603286905,PFFD,PFF,2025-02-12,False,5098.0,3174.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.74,31.7,0.16999999999999815,0.18999999999999773,1.6058763931104358,1.0,1.6061901686957565,1.0,1.6062154979764052,1.0,31.706693930054236,31.7,0.008031077489882027,0.005,31.698662852564354,31.695,31.714725007544118,31.705,31.705,31.698662852564354,-0.006337147435644397,-0.00019991001374272547,PFF,PFFD,2025-02-13,False,5068.0,3155.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
