SPBO_price,USIG_price,VTC_price,CORP_price,SPBO_price_chg,USIG_price_chg,VTC_price_chg,CORP_price_chg,CORP/SPBO,CORP/USIG,CORP/VTC,CORP/CORP,CORP/SPBO_moving_avg,CORP/USIG_moving_avg,CORP/VTC_moving_avg,CORP/CORP_moving_avg,CORP/SPBO_prev_moving_avg,CORP/USIG_prev_moving_avg,CORP/VTC_prev_moving_avg,CORP/CORP_prev_moving_avg,SPBO_scaled_price,USIG_scaled_price,VTC_scaled_price,CORP_scaled_price,SPBO_scaled_comm,USIG_scaled_comm,VTC_scaled_comm,CORP_scaled_comm,SPBO_scaled_price_minus_comm,USIG_scaled_price_minus_comm,VTC_scaled_price_minus_comm,CORP_scaled_price_minus_comm,SPBO_scaled_price_plus_comm,USIG_scaled_price_plus_comm,VTC_scaled_price_plus_comm,CORP_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPBO_shs_per_unit,USIG_shs_per_unit,VTC_shs_per_unit,CORP_shs_per_unit,SPBO_current_shs,USIG_current_shs,VTC_current_shs,CORP_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPBO_tgt_shs,USIG_tgt_shs,VTC_tgt_shs,CORP_tgt_shs,SPBO_tgt_inv_amt,USIG_tgt_inv_amt,VTC_tgt_inv_amt,CORP_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPBO_shs_to_trade,USIG_shs_to_trade,VTC_shs_to_trade,CORP_shs_to_trade,SPBO_shs_to_buy,USIG_shs_to_buy,VTC_shs_to_buy,CORP_shs_to_buy,SPBO_shs_to_sell,USIG_shs_to_sell,VTC_shs_to_sell,CORP_shs_to_sell,SPBO_daily_comm,USIG_daily_comm,VTC_daily_comm,CORP_daily_comm,daily_comm,SPBO_daily_profit,USIG_daily_profit,VTC_daily_profit,CORP_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
29.33,51.76,77.6,97.82,,,,,3.3351517217865667,1.8898763523956723,1.2605670103092783,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-02,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.38,51.87,77.79,98.02,0.05000000000000071,0.10999999999999943,0.19000000000001194,0.20000000000000284,3.336283185840708,1.8897243107769424,1.2600591335647253,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-05,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.4,51.88,77.83,98.05,0.019999999999999574,0.010000000000005116,0.03999999999999204,0.030000000000001137,3.3350340136054424,1.8899383191981494,1.2597969934472568,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-06,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.42,51.91,77.87,98.1,0.020000000000003126,0.02999999999999403,0.04000000000000625,0.04999999999999716,3.3344663494221614,1.8898092853014834,1.2597919609605752,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.36,51.8,77.69,97.9,-0.060000000000002274,-0.10999999999999943,-0.18000000000000682,-0.19999999999998863,3.3344686648501365,1.88996138996139,1.2601364396962287,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-08,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.43,51.92,77.88,98.11,0.07000000000000028,0.12000000000000455,0.18999999999999773,0.20999999999999375,3.3336731226639484,1.8896379044684128,1.259758602978942,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-09,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.4,51.86,77.81,98.04,-0.030000000000001137,-0.060000000000002274,-0.06999999999999318,-0.06999999999999318,3.334693877551021,1.8904743540300812,1.2599922889088806,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.46,51.97,77.97,98.19,0.060000000000002274,0.10999999999999943,0.1599999999999966,0.14999999999999147,3.3329938900203664,1.8893592457186839,1.2593305117352829,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.52,52.06,78.13,98.45,0.05999999999999872,0.09000000000000341,0.1599999999999966,0.2600000000000051,3.335027100271003,1.8910872070687668,1.2600793549212852,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-14,False,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.49,52.01,78.06,98.29,-0.030000000000001137,-0.05000000000000426,-0.06999999999999318,-0.1599999999999966,3.332994235334012,1.889828879061719,1.2591596208045095,1.0,3.334478616134537,1.8899697247981302,1.2598671917326965,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-15,False,,,,,,,,,,,,,,False,False,False,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.42,51.9,77.91,98.08,-0.06999999999999673,-0.10999999999999943,-0.15000000000000568,-0.21000000000000796,3.3337865397688646,1.8897880539499037,1.2588884610447952,1.0,3.3343420979327663,1.8899608949535533,1.2596993368062481,1.0,3.334478616134537,1.8899697247981302,1.2598671917326965,1.0,98.10036088667809,98.08942871702295,98.15625290789437,98.08,0.016672393080672684,0.009449848623990651,0.0062993359586634825,0.005,98.08368849359742,98.07997886839897,98.14995357193571,98.075,98.11703327975876,98.09887856564694,98.16255224385303,98.085,98.085,98.14995357193571,0.06495357193571749,0.000662250937354379,CORP,VTC,2026-01-16,False,3401.0,1928.0,1285.0,1020.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,False,False,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
29.29,51.67,77.52,97.63,-0.13000000000000256,-0.22999999999999687,-0.39000000000000057,-0.45000000000000284,3.3332195288494364,1.8894910005806076,1.2594169246646028,1.0,3.3340357322336387,1.8899375639339198,1.2596351159162358,1.0,3.3343420979327663,1.8899608949535533,1.2596993368062481,1.0,97.66288004845072,97.6542794422501,97.65189258922035,97.63,0.016671710489663833,0.009449804474767768,0.006298496684031241,0.005,97.64620833796106,97.64482963777533,97.64559409253633,97.625,97.67955175894038,97.66372924672487,97.65819108590438,97.63499999999999,97.63499999999999,97.64620833796106,0.01120833796106524,0.00011480424010104722,CORP,SPBO,2026-01-20,False,3414.0,1935.0,1290.0,1024.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
29.42,51.9,77.85,98.07,0.13000000000000256,0.22999999999999687,0.3299999999999983,0.4399999999999977,3.3334466349422156,1.8895953757225432,1.2597302504816956,1.0,3.3338769943673165,1.8899032695863593,1.2596284416196797,1.0,3.3340357322336387,1.8899375639339198,1.2596351159162358,1.0,98.08733124231365,98.08775956817043,98.06259377407895,98.07,0.016670178661168194,0.0094496878196696,0.006298175579581179,0.005,98.07066106365248,98.07830988035076,98.05629559849936,98.065,98.10400142097483,98.0972092559901,98.06889194965854,98.07499999999999,98.06889194965854,98.07830988035076,0.009417930692222853,9.603273878069597e-05,VTC,USIG,2026-01-21,False,3401.0,1928.0,1285.0,1020.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.47,51.97,77.98,98.2,0.04999999999999716,0.07000000000000028,0.13000000000000966,0.13000000000000966,3.3322022395656603,1.8895516644217818,1.2592972557065913,1.0,3.3336505833816665,1.889877507498389,1.2595789710942813,1.0,3.3338769943673165,1.8899032695863593,1.2596284416196797,1.0,98.24935502400481,98.2182729204031,98.22582587750263,98.2,0.016669384971836582,0.009449516347931798,0.006298142208098398,0.005,98.23268563903298,98.20882340405517,98.21952773529453,98.19500000000001,98.26602440897665,98.22772243675102,98.23212401971072,98.205,98.205,98.23268563903298,0.027685639032981157,0.00028193115104868796,CORP,SPBO,2026-01-22,False,3394.0,1924.0,1282.0,1018.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.49,52.0,78.03,98.25,0.019999999999999574,0.030000000000001137,0.04999999999999716,0.04999999999999716,3.3316378433367246,1.8894230769230769,1.259131103421761,1.0,3.333367501230325,1.8898236761945575,1.2594784374668344,1.0,3.3336505833816665,1.889877507498389,1.2595789710942813,1.0,98.30935570392533,98.27363038991622,98.28494711448677,98.25,0.016668252916908332,0.009449387537491945,0.0062978948554714064,0.005,98.29268745100842,98.26418100237873,98.2786492196313,98.245,98.32602395684225,98.28307977745371,98.29124500934223,98.255,98.255,98.29268745100842,0.03768745100842352,0.0003835872876175422,CORP,SPBO,2026-01-23,False,3394.0,1924.0,1282.0,1018.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.51,52.05,78.09,98.34,0.020000000000003126,0.04999999999999716,0.060000000000002274,0.09000000000000341,3.3324296848525923,1.8893371757925075,1.2593161736457934,1.0,3.33324315744919,1.8897936033269673,1.25943419453352,1.0,3.333367501230325,1.8898236761945575,1.2594784374668344,1.0,98.3676749613069,98.36532234592671,98.3526711817851,98.34,0.016666837506151628,0.009449118380972787,0.006297392187334172,0.005,98.35100812380075,98.35587322754574,98.34637378959776,98.33500000000001,98.38434179881305,98.37477146430768,98.35896857397243,98.345,98.345,98.35587322754574,0.010873227545744157,0.00011056769926524463,CORP,USIG,2026-01-26,False,3390.0,1922.0,1281.0,1017.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
