BNDX_price,IAGG_price,BNDX_price_chg,IAGG_price_chg,IAGG/BNDX,IAGG/IAGG,IAGG/BNDX_moving_avg,IAGG/IAGG_moving_avg,IAGG/BNDX_prev_moving_avg,IAGG/IAGG_prev_moving_avg,BNDX_scaled_price,IAGG_scaled_price,BNDX_scaled_comm,IAGG_scaled_comm,BNDX_scaled_price_minus_comm,IAGG_scaled_price_minus_comm,BNDX_scaled_price_plus_comm,IAGG_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,BNDX_shs_per_unit,IAGG_shs_per_unit,BNDX_current_shs,IAGG_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,BNDX_tgt_shs,IAGG_tgt_shs,BNDX_tgt_inv_amt,IAGG_tgt_inv_amt,gross_inv_amt,net_inv_amt,BNDX_shs_to_trade,IAGG_shs_to_trade,BNDX_shs_to_buy,IAGG_shs_to_buy,BNDX_shs_to_sell,IAGG_shs_to_sell,BNDX_daily_comm,IAGG_daily_comm,daily_comm,BNDX_daily_profit,IAGG_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
48.31,50.05,,,1.036017387704409,1.0,,,,,,,,,,,,,,,,,,,2026-01-02,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.38,50.09,0.07000000000000028,0.04000000000000625,1.0353451839603143,1.0,,,,,,,,,,,,,,,,,,,2026-01-05,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.44,50.16,0.05999999999999517,0.06999999999999318,1.0355078447563997,1.0,,,,,,,,,,,,,,,,,,,2026-01-06,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.53,50.22,0.09000000000000341,0.060000000000002274,1.0348238203173294,1.0,,,,,,,,,,,,,,,,,,,2026-01-07,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.53,50.21,0.0,-0.00999999999999801,1.034617762208943,1.0,,,,,,,,,,,,,,,,,,,2026-01-08,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.54,50.25,0.00999999999999801,0.03999999999999915,1.0352286773794808,1.0,,,,,,,,,,,,,,,,,,,2026-01-09,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.58,50.28,0.03999999999999915,0.030000000000001137,1.034993824619185,1.0,,,,,,,,,,,,,,,,,,,2026-01-12,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.54,50.23,-0.03999999999999915,-0.05000000000000426,1.034816646065101,1.0,,,,,,,,,,,,,,,,,,,2026-01-13,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.61,50.27,0.07000000000000028,0.04000000000000625,1.0341493519851883,1.0,,,,,,,,,,,,,,,,,,,2026-01-14,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
48.59,50.25,-0.01999999999999602,-0.020000000000003126,1.0341634081086644,1.0,,,,,,,,,,,,,,,,,,,2026-01-15,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
