date,AGG,ANGL,BND,BNDX,BWX,CMF,CORP,CWB,EMB,EMLC,FALN,HYG,HYLB,IAGG,ICVT,IGLB,IGOV,IUSB,JNK,LQD,MBB,MUB,PCY,PFF,PFFD,SCHH,SCHQ,SCHZ,SCYB,SPAB,SPBO,SPHY,SPLB,SPMB,SPTL,TFI,TLT,USHY,USIG,USRT,VCLT,VGLT,VMBS,VTC,VTEB,VTEC,VWOB
2025-08-07,99.13,29.09,73.58,49.44,23.05,55.64,97.36,84.68,93.38,25.17,27.01,80.21,36.69,51.22,92.08,50.33,42.43,46.21,96.7,109.76,93.71,104.08,20.78,31.04,19.06,21.06,31.74,23.21,26.37,25.57,29.24,23.64,22.6,22.08,26.46,44.57,87.67,37.31,51.51,56.38,75.94,55.85,46.32,77.41,48.86,97.33,65.78
2025-08-08,98.94,29.1,73.42,49.36,22.98,55.61,97.11,84.49,93.38,25.21,27.02,80.22,36.68,51.13,91.87,50.13,42.31,46.12,96.72,109.41,93.56,104.02,20.8,31.16,19.16,20.86,31.6,23.16,26.39,25.51,29.17,23.64,22.5,22.03,26.36,44.55,87.29,37.3,51.4,55.96,75.6,55.64,46.23,77.2,48.86,97.29,65.77
2025-08-11,99.01,29.11,73.47,49.34,22.91,55.68,97.24,84.46,93.5,25.16,27.03,80.22,36.68,51.14,91.98,50.24,42.19,46.15,96.7,109.58,93.56,104.15,20.82,31.14,19.14,20.76,31.64,23.18,26.39,25.54,29.2,23.63,22.54,22.03,26.39,44.6,87.39,37.31,51.47,55.64,75.78,55.7,46.25,77.3,48.92,97.43,65.84
2025-08-12,99.01,29.13,73.48,49.28,22.97,55.71,97.27,85.28,93.68,25.29,27.09,80.4,36.75,51.09,92.74,50.24,42.26,46.16,96.89,109.68,93.61,104.15,20.88,31.33,19.24,20.88,31.5,23.17,26.42,25.54,29.23,23.68,22.55,22.04,26.26,44.63,86.95,37.38,51.52,56.04,75.78,55.44,46.25,77.38,48.95,97.46,66.01
2025-08-13,99.37,29.24,73.75,49.44,23.09,55.76,97.7,85.66,94.14,25.35,27.19,80.61,36.87,51.19,93.17,50.63,42.56,46.32,97.17,110.26,93.94,104.22,21.04,31.49,19.33,21.06,31.75,23.26,26.49,25.63,29.35,23.74,22.73,22.13,26.48,44.65,87.67,37.49,51.72,56.64,76.33,55.87,46.46,77.69,48.95,97.31,66.32
2025-08-14,99.09,29.16,73.54,49.32,22.94,55.67,97.42,85.31,93.93,25.25,27.14,80.4,36.78,51.1,92.75,50.4,42.28,46.2,96.89,109.88,93.62,104.05,21.0,31.44,19.32,20.89,31.52,23.19,26.44,25.55,29.27,23.7,22.62,22.06,26.27,44.55,87.02,37.4,51.58,56.17,76.0,55.48,46.32,77.47,48.88,97.1,66.18
2025-08-15,98.94,29.19,73.44,49.14,22.94,55.69,97.31,85.39,93.85,25.33,27.16,80.46,36.78,50.98,92.98,50.25,42.25,46.13,96.92,109.74,93.58,104.06,20.9,31.4,19.27,21.02,31.33,23.16,26.45,25.51,29.23,23.69,22.55,22.03,26.11,44.57,86.4,37.41,51.53,56.42,75.78,55.14,46.28,77.37,48.88,97.22,66.1
2025-08-18,98.83,29.18,73.36,49.17,22.89,55.7,97.18,85.59,93.94,25.26,27.14,80.4,36.78,50.97,93.18,50.11,42.18,46.1,96.87,109.54,93.43,104.04,20.87,31.49,19.33,20.83,31.25,23.14,26.45,25.49,29.18,23.69,22.49,22.01,26.06,44.58,86.15,37.39,51.46,56.0,75.54,55.01,46.22,77.28,48.89,97.28,66.14
2025-08-19,99.02,29.19,73.5,49.23,22.87,55.71,97.34,84.8,93.98,25.22,27.12,80.38,36.77,50.99,92.44,50.24,42.12,46.17,96.86,109.71,93.51,104.1,20.86,31.5,19.4,21.21,31.42,23.18,26.42,25.54,29.23,23.69,22.55,22.04,26.19,44.58,86.65,37.4,51.55,57.06,75.75,55.3,46.27,77.39,48.89,97.31,66.21
2025-08-20,99.08,29.18,73.55,49.3,22.9,55.7,97.41,84.75,93.83,25.26,27.13,80.35,36.74,51.05,92.41,50.26,42.17,46.2,96.79,109.76,93.65,104.05,20.81,31.46,19.38,21.3,31.46,23.19,26.41,25.55,29.25,23.68,22.56,22.07,26.25,44.55,86.84,37.37,51.56,57.22,75.78,55.39,46.32,77.41,48.86,97.21,66.11
2025-08-21,98.85,29.12,73.37,49.2,22.76,55.63,97.1,84.72,93.53,25.18,27.06,80.2,36.69,50.94,92.36,50.03,41.87,46.09,96.62,109.34,93.5,103.91,20.75,31.49,19.36,21.23,31.33,23.14,26.39,25.49,29.15,23.64,22.44,22.03,26.13,44.51,86.41,37.32,51.42,57.03,75.4,55.13,46.23,77.19,48.83,97.16,65.89
2025-08-22,99.4,29.36,73.74,49.28,23.0,55.83,97.74,85.96,94.21,25.4,27.31,80.85,37.0,51.07,93.84,50.52,42.38,46.33,97.43,110.2,94.08,104.23,20.93,31.72,19.51,21.59,31.56,23.26,26.59,25.63,29.34,23.81,22.66,22.16,26.31,44.65,87.05,37.6,51.74,57.98,76.14,55.53,46.52,77.68,48.99,97.55,66.34
