CMF_price,VTEC_price,CMF_price_chg,VTEC_price_chg,VTEC/CMF,VTEC/VTEC,VTEC/CMF_moving_avg,VTEC/VTEC_moving_avg,VTEC/CMF_prev_moving_avg,VTEC/VTEC_prev_moving_avg,CMF_scaled_price,VTEC_scaled_price,CMF_scaled_comm,VTEC_scaled_comm,CMF_scaled_price_minus_comm,VTEC_scaled_price_minus_comm,CMF_scaled_price_plus_comm,VTEC_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,CMF_shs_per_unit,VTEC_shs_per_unit,CMF_current_shs,VTEC_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,CMF_tgt_shs,VTEC_tgt_shs,CMF_tgt_inv_amt,VTEC_tgt_inv_amt,gross_inv_amt,net_inv_amt,CMF_shs_to_trade,VTEC_shs_to_trade,CMF_shs_to_buy,VTEC_shs_to_buy,CMF_shs_to_sell,VTEC_shs_to_sell,CMF_daily_comm,VTEC_daily_comm,daily_comm,CMF_daily_profit,VTEC_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
57.36,99.65,,,1.7372733612273363,1.0,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,,,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,,,0.0,0.0,0.0
57.25,99.79,-0.1099999999999994,0.1400000000000005,1.743056768558952,1.0,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
57.3,99.76,0.0499999999999971,-0.0300000000000011,1.741012216404887,1.0,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
57.08,99.56,-0.2199999999999988,-0.2000000000000028,1.744218640504555,1.0,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
56.96,99.33,-0.1199999999999974,-0.2300000000000039,1.7438553370786516,1.0,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
56.77,98.82,-0.1899999999999977,-0.5100000000000051,1.740708120486172,1.0,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
56.59,98.45,-0.1799999999999997,-0.3699999999999903,1.7397066619544088,1.0,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
56.41,98.37,-0.1800000000000068,-0.0799999999999983,1.7438397447261125,1.0,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
56.48,98.59,0.0700000000000002,0.2199999999999988,1.745573654390935,1.0,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.59,98.66,0.1100000000000065,0.0699999999999931,1.743417564940802,1.0,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.78,98.77,0.1899999999999977,0.1099999999999994,1.7395209580838322,1.0,,,,,,,,,,,,,,,,,,,2025-01-17,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.83,98.98,0.0499999999999971,0.2100000000000079,1.7416857293682917,1.0,,,,,,,,,,,,,,,,,,,2025-01-21,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.87,99.06,0.0399999999999991,0.0799999999999983,1.7418674169157728,1.0,,,,,,,,,,,,,,,,,,,2025-01-22,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.74,98.92,-0.1299999999999954,-0.1400000000000005,1.7433909058864998,1.0,,,,,,,,,,,,,,,,,,,2025-01-23,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
56.8,98.94,0.0599999999999951,0.019999999999996,1.7419014084507043,1.0,,,,,,,,,,,,,,,,,,,2025-01-24,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.03,99.42,0.2300000000000039,0.480000000000004,1.7432930036822725,1.0,,,,,,,,,,,,,,,,,,,2025-01-27,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.99,99.52,-0.0399999999999991,0.0999999999999943,1.7462712756623968,1.0,,,,,,,,,,,,,,,,,,,2025-01-28,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
56.93,99.31,-0.0600000000000022,-0.2099999999999937,1.7444229755840506,1.0,,,,,,,,,,,,,,,,,,,2025-01-29,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
57.03,99.5,0.1000000000000014,0.1899999999999977,1.744695774153954,1.0,,,,,,,,,,,,,,,,,,,2025-01-30,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
