SPBO_price,USIG_price,VTC_price,CORP_price,SPBO_price_chg,USIG_price_chg,VTC_price_chg,CORP_price_chg,CORP/SPBO,CORP/USIG,CORP/VTC,CORP/CORP,CORP/SPBO_moving_avg,CORP/USIG_moving_avg,CORP/VTC_moving_avg,CORP/CORP_moving_avg,CORP/SPBO_prev_moving_avg,CORP/USIG_prev_moving_avg,CORP/VTC_prev_moving_avg,CORP/CORP_prev_moving_avg,SPBO_scaled_price,USIG_scaled_price,VTC_scaled_price,CORP_scaled_price,SPBO_scaled_comm,USIG_scaled_comm,VTC_scaled_comm,CORP_scaled_comm,SPBO_scaled_price_minus_comm,USIG_scaled_price_minus_comm,VTC_scaled_price_minus_comm,CORP_scaled_price_minus_comm,SPBO_scaled_price_plus_comm,USIG_scaled_price_plus_comm,VTC_scaled_price_plus_comm,CORP_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPBO_shs_per_unit,USIG_shs_per_unit,VTC_shs_per_unit,CORP_shs_per_unit,SPBO_current_shs,USIG_current_shs,VTC_current_shs,CORP_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPBO_tgt_shs,USIG_tgt_shs,VTC_tgt_shs,CORP_tgt_shs,SPBO_tgt_inv_amt,USIG_tgt_inv_amt,VTC_tgt_inv_amt,CORP_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPBO_shs_to_trade,USIG_shs_to_trade,VTC_shs_to_trade,CORP_shs_to_trade,SPBO_shs_to_buy,USIG_shs_to_buy,VTC_shs_to_buy,CORP_shs_to_buy,SPBO_shs_to_sell,USIG_shs_to_sell,VTC_shs_to_sell,CORP_shs_to_sell,SPBO_daily_comm,USIG_daily_comm,VTC_daily_comm,CORP_daily_comm,daily_comm,SPBO_daily_profit,USIG_daily_profit,VTC_daily_profit,CORP_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
28.63,50.28,75.72,95.11,,,,,3.3220398183723368,1.891607000795545,1.2560750132065504,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,,,,,0.0,0.0,0.0
28.59,50.2,75.6,94.98,-0.0399999999999991,-0.0799999999999983,-0.1200000000000045,-0.1299999999999954,3.3221406086044074,1.89203187250996,1.2563492063492063,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
28.54,50.11,75.45,94.88,-0.0500000000000007,-0.0900000000000034,-0.1499999999999914,-0.1000000000000085,3.324456902592852,1.89343444422271,1.2575215374420146,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
28.44,49.94,75.18,94.53,-0.0999999999999978,-0.1700000000000017,-0.269999999999996,-0.3499999999999943,3.323839662447257,1.8928714457348816,1.2573822825219472,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
28.47,50.01,75.23,94.65,0.0299999999999975,0.0700000000000002,0.0499999999999971,0.1200000000000045,3.324552160168599,1.8926214757048592,1.2581416987903762,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.33,49.77,74.91,94.14,-0.1400000000000005,-0.2399999999999948,-0.3200000000000074,-0.5100000000000051,3.3229791740204733,1.891500904159132,1.2567080496595917,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
28.27,49.67,74.74,93.89,-0.0599999999999987,-0.1000000000000014,-0.1700000000000017,-0.25,3.321188539087372,1.8902758204147367,1.2562215681027564,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
28.29,49.7,74.79,93.97,0.0199999999999995,0.0300000000000011,0.0500000000000113,0.0799999999999983,3.321668434075645,1.8907444668008049,1.256451397245621,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.56,50.16,75.49,94.89,0.2699999999999996,0.4599999999999937,0.6999999999999886,0.9200000000000016,3.322478991596639,1.8917464114832536,1.2569876804874818,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.6,50.23,75.64,95.1,0.0400000000000027,0.0700000000000002,0.1500000000000056,0.2099999999999937,3.325174825174825,1.8932908620346407,1.2572712850343732,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,,,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
