SPHY_price,SCYB_price,HYLB_price,USHY_price,HYG_price,JNK_price,SPHY_price_chg,SCYB_price_chg,HYLB_price_chg,USHY_price_chg,HYG_price_chg,JNK_price_chg,JNK/SPHY,JNK/SCYB,JNK/HYLB,JNK/USHY,JNK/HYG,JNK/JNK,JNK/SPHY_moving_avg,JNK/SCYB_moving_avg,JNK/HYLB_moving_avg,JNK/USHY_moving_avg,JNK/HYG_moving_avg,JNK/JNK_moving_avg,JNK/SPHY_prev_moving_avg,JNK/SCYB_prev_moving_avg,JNK/HYLB_prev_moving_avg,JNK/USHY_prev_moving_avg,JNK/HYG_prev_moving_avg,JNK/JNK_prev_moving_avg,SPHY_scaled_price,SCYB_scaled_price,HYLB_scaled_price,USHY_scaled_price,HYG_scaled_price,JNK_scaled_price,SPHY_scaled_comm,SCYB_scaled_comm,HYLB_scaled_comm,USHY_scaled_comm,HYG_scaled_comm,JNK_scaled_comm,SPHY_scaled_price_minus_comm,SCYB_scaled_price_minus_comm,HYLB_scaled_price_minus_comm,USHY_scaled_price_minus_comm,HYG_scaled_price_minus_comm,JNK_scaled_price_minus_comm,SPHY_scaled_price_plus_comm,SCYB_scaled_price_plus_comm,HYLB_scaled_price_plus_comm,USHY_scaled_price_plus_comm,HYG_scaled_price_plus_comm,JNK_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPHY_shs_per_unit,SCYB_shs_per_unit,HYLB_shs_per_unit,USHY_shs_per_unit,HYG_shs_per_unit,JNK_shs_per_unit,SPHY_current_shs,SCYB_current_shs,HYLB_current_shs,USHY_current_shs,HYG_current_shs,JNK_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPHY_tgt_shs,SCYB_tgt_shs,HYLB_tgt_shs,USHY_tgt_shs,HYG_tgt_shs,JNK_tgt_shs,SPHY_tgt_inv_amt,SCYB_tgt_inv_amt,HYLB_tgt_inv_amt,USHY_tgt_inv_amt,HYG_tgt_inv_amt,JNK_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPHY_shs_to_trade,SCYB_shs_to_trade,HYLB_shs_to_trade,USHY_shs_to_trade,HYG_shs_to_trade,JNK_shs_to_trade,SPHY_shs_to_buy,SCYB_shs_to_buy,HYLB_shs_to_buy,USHY_shs_to_buy,HYG_shs_to_buy,JNK_shs_to_buy,SPHY_shs_to_sell,SCYB_shs_to_sell,HYLB_shs_to_sell,USHY_shs_to_sell,HYG_shs_to_sell,JNK_shs_to_sell,SPHY_daily_comm,SCYB_daily_comm,HYLB_daily_comm,USHY_daily_comm,HYG_daily_comm,JNK_daily_comm,daily_comm,SPHY_daily_profit,SCYB_daily_profit,HYLB_daily_profit,USHY_daily_profit,HYG_daily_profit,JNK_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
23.53,26.22,36.16,36.86,78.84,95.75,,,,,,,4.069273268168296,3.651792524790237,2.647953539823009,2.5976668475312,1.2144850329781836,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,,,,,,,0.0,0.0,0.0
23.57,26.26,36.25,36.96,78.96,95.95,0.0399999999999991,0.0400000000000027,0.0900000000000034,0.1000000000000014,0.1199999999999903,0.2000000000000028,4.070852778956301,3.6538461538461537,2.646896551724138,2.596049783549784,1.2151722391084094,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.61,26.26,36.29,36.99,79.1,96.06,0.0399999999999991,0.0,0.0399999999999991,0.0300000000000011,0.1400000000000005,0.1099999999999994,4.06861499364676,3.658035034272658,2.647010195646184,2.5969180859691807,1.2144121365360303,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.54,26.19,36.19,36.88,78.84,95.77,-0.0700000000000002,-0.0700000000000002,-0.1000000000000014,-0.1099999999999994,-0.2599999999999909,-0.2900000000000062,4.06839422259983,3.656739213440244,2.6463111356728377,2.596800433839479,1.2147387113140538,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
23.55,26.22,36.24,36.91,78.94,95.87,0.0100000000000015,0.0299999999999975,0.0500000000000042,0.029999999999994,0.0999999999999943,0.1000000000000085,4.070912951167728,3.6563691838291374,2.6454194260485653,2.597399078840423,1.214466683557132,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.43,26.1,36.03,36.71,78.53,95.34,-0.120000000000001,-0.1199999999999974,-0.2100000000000008,-0.1999999999999957,-0.4099999999999966,-0.5300000000000011,4.069142125480154,3.652873563218391,2.646128226477935,2.5971125034050666,1.214058321660512,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
23.43,26.08,36.04,36.73,78.51,95.3,0.0,-0.0200000000000031,0.009999999999998,0.019999999999996,-0.019999999999996,-0.0400000000000062,4.067434912505335,3.65414110429448,2.644284128745838,2.5946093111897635,1.2138581072474843,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
23.46,26.1,36.05,36.76,78.61,95.38,0.0300000000000011,0.0200000000000031,0.009999999999998,0.0300000000000011,0.0999999999999943,0.0799999999999983,4.065643648763853,3.654406130268199,2.6457697642163662,2.5946681175190425,1.2133316371962857,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.65,26.31,36.38,37.08,79.3,96.26,0.1899999999999977,0.2099999999999973,0.3300000000000054,0.3200000000000003,0.6899999999999977,0.8800000000000097,4.070190274841438,3.65868491068035,2.645959318306762,2.5960086299892127,1.2138713745271124,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.68,26.36,36.43,37.12,79.39,96.37,0.0300000000000011,0.0500000000000007,0.0499999999999971,0.0399999999999991,0.0900000000000034,0.1099999999999994,4.069679054054054,3.655918057663126,2.6453472412846555,2.5961745689655173,1.2138808414157956,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,,,,,0,0,0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
