BNDX_price,IAGG_price,BNDX_price_chg,IAGG_price_chg,IAGG/BNDX,IAGG/IAGG,IAGG/BNDX_moving_avg,IAGG/IAGG_moving_avg,IAGG/BNDX_prev_moving_avg,IAGG/IAGG_prev_moving_avg,BNDX_scaled_price,IAGG_scaled_price,BNDX_scaled_comm,IAGG_scaled_comm,BNDX_scaled_price_minus_comm,IAGG_scaled_price_minus_comm,BNDX_scaled_price_plus_comm,IAGG_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,BNDX_shs_per_unit,IAGG_shs_per_unit,BNDX_current_shs,IAGG_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,BNDX_tgt_shs,IAGG_tgt_shs,BNDX_tgt_inv_amt,IAGG_tgt_inv_amt,gross_inv_amt,net_inv_amt,BNDX_shs_to_trade,IAGG_shs_to_trade,BNDX_shs_to_buy,IAGG_shs_to_buy,BNDX_shs_to_sell,IAGG_shs_to_sell,BNDX_daily_comm,IAGG_daily_comm,daily_comm,BNDX_daily_profit,IAGG_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
49.09,49.96,,,1.0177225504176002,1.0,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,,,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,,,0.0,0.0,0.0
48.96,49.97,-0.1300000000000025,0.009999999999998,1.0206290849673203,1.0,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
48.96,49.96,0.0,-0.009999999999998,1.0204248366013071,1.0,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48.83,49.82,-0.1300000000000025,-0.1400000000000005,1.020274421462216,1.0,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
48.74,49.75,-0.0899999999999963,-0.0700000000000002,1.0207221994255231,1.0,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
48.53,49.54,-0.2100000000000008,-0.2100000000000008,1.0208118689470431,1.0,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
48.51,49.51,-0.0200000000000031,-0.0300000000000011,1.020614306328592,1.0,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
48.42,49.42,-0.0899999999999963,-0.0899999999999963,1.020652622883106,1.0,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
48.72,49.69,0.2999999999999971,0.269999999999996,1.0199096880131362,1.0,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.79,49.77,0.0700000000000002,0.0800000000000054,1.0200860832137737,1.0,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
