BWX_price,IGOV_price,BWX_price_chg,IGOV_price_chg,IGOV/BWX,IGOV/IGOV,IGOV/BWX_moving_avg,IGOV/IGOV_moving_avg,IGOV/BWX_prev_moving_avg,IGOV/IGOV_prev_moving_avg,BWX_scaled_price,IGOV_scaled_price,BWX_scaled_comm,IGOV_scaled_comm,BWX_scaled_price_minus_comm,IGOV_scaled_price_minus_comm,BWX_scaled_price_plus_comm,IGOV_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,BWX_shs_per_unit,IGOV_shs_per_unit,BWX_current_shs,IGOV_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,BWX_tgt_shs,IGOV_tgt_shs,BWX_tgt_inv_amt,IGOV_tgt_inv_amt,gross_inv_amt,net_inv_amt,BWX_shs_to_trade,IGOV_shs_to_trade,BWX_shs_to_buy,IGOV_shs_to_buy,BWX_shs_to_sell,IGOV_shs_to_sell,BWX_daily_comm,IGOV_daily_comm,daily_comm,BWX_daily_profit,IGOV_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
21.27,38.19,,,1.7954866008462622,1.0,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,,,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,,,0.0,0.0,0.0
21.29,38.07,0.0199999999999995,-0.1199999999999974,1.788163457022076,1.0,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
21.31,38.29,0.0199999999999995,0.2199999999999988,1.7968090098545284,1.0,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.24,38.05,-0.0700000000000002,-0.240000000000002,1.7914312617702448,1.0,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
21.14,37.94,-0.0999999999999978,-0.1099999999999994,1.7947019867549667,1.0,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
20.94,37.48,-0.1999999999999993,-0.4600000000000008,1.7898758357211078,1.0,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
20.96,37.39,0.0199999999999995,-0.0899999999999963,1.7838740458015268,1.0,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
20.98,37.53,0.0199999999999995,0.1400000000000005,1.7888465204957102,1.0,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.16,37.89,0.1799999999999997,0.3599999999999994,1.7906427221172023,1.0,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.22,37.97,0.0599999999999987,0.0799999999999983,1.789349670122526,1.0,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.17,37.86,-0.0499999999999971,-0.1099999999999994,1.788379782711384,1.0,,,,,,,,,,,,,,,,,,,2025-01-17,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
21.43,38.55,0.259999999999998,0.6899999999999977,1.798880074661689,1.0,,,,,,,,,,,,,,,,,,,2025-01-21,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.43,38.51,0.0,-0.0399999999999991,1.7970135324311711,1.0,,,,,,,,,,,,,,,,,,,2025-01-22,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
21.4,38.46,-0.0300000000000011,-0.0499999999999971,1.7971962616822432,1.0,,,,,,,,,,,,,,,,,,,2025-01-23,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
21.5,38.71,0.1000000000000014,0.25,1.80046511627907,1.0,,,,,,,,,,,,,,,,,,,2025-01-24,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.57,38.65,0.0700000000000002,-0.0600000000000022,1.791840519239685,1.0,,,,,,,,,,,,,,,,,,,2025-01-27,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
21.5,38.58,-0.0700000000000002,-0.0700000000000002,1.7944186046511628,1.0,,,,,,,,,,,,,,,,,,,2025-01-28,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
21.45,38.36,-0.0500000000000007,-0.2199999999999988,1.7883449883449885,1.0,,,,,,,,,,,,,,,,,,,2025-01-29,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
21.52,38.52,0.0700000000000002,0.1600000000000037,1.789962825278811,1.0,,,,,,,,,,,,,,,,,,,2025-01-30,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.41,38.59,-0.1099999999999994,0.0700000000000002,1.8024287716020555,1.0,1.7929055793694204,1.0,,,,,,,,,,,,,,,,,2025-01-31,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
21.38,38.49,-0.0300000000000011,-0.1000000000000014,1.8002806361085129,1.0,1.7931452811325332,1.0,1.7929055793694204,1.0,38.33232128691821,38.49,0.0089645278968471,0.005,38.32335675902136,38.485,38.34128581481506,38.495000000000005,38.34128581481506,38.485,0.1437141851849404,0.0037338057985175,BWX,IGOV,2025-02-03,True,4658.0,2598.0,0,0,,,0.0,0.0,0,True,False,False,1,BWX,IGOV,4658,-2598,0.0,0.0,0.0,0.0,4658,-2598,4658,0,0,2598,-23.29,-12.99,-36.28,-0.0,-0.0,0.0,-36.28,-36.28
21.55,38.8,0.1700000000000017,0.3099999999999951,1.8004640371229697,1.0,1.793760310137578,1.0,1.7931452811325332,1.0,38.64228080840609,38.8,0.0089657264056626,0.005,38.63331508200043,38.795,38.65124653481176,38.805,38.65124653481176,38.795,0.1437534651882401,0.0037049862161917,BWX,IGOV,2025-02-04,False,4621.0,2577.0,4658,-2598,BWX,IGOV,0.1437534651882401,0.0037049862161917,1,True,False,True,0,,,0,0,99588.04,-99997.02,199585.06,-408.9800000000105,-4658,2598,0,2598,4658,0,-23.29,-12.99,-36.28,791.860000000008,-805.3799999999873,-13.51999999997929,-49.79999999997929,-86.0799999999793
21.68,38.99,0.129999999999999,0.1900000000000048,1.7984317343173433,1.0,1.7938414463607184,1.0,1.793760310137578,1.0,38.88872352378269,38.99,0.0089688015506878,0.005,38.879754722232,38.985,38.897692325333374,38.995000000000005,38.897692325333374,38.985,0.0873076746666257,0.0022392324869614,BWX,IGOV,2025-02-05,False,4601.0,2565.0,0,0,,,0.0,0.0,0,True,False,False,1,BWX,IGOV,4601,-2565,0.0,0.0,0.0,0.0,4601,-2565,4601,0,0,2565,-23.005,-12.825000000000001,-35.83,0.0,0.0,0.0,-35.83,-121.90999999997929
21.68,39.08,0.0,0.0899999999999963,1.8025830258302584,1.0,1.7943990345637193,1.0,1.7938414463607184,1.0,38.89048255710038,39.08,0.0089692072318035,0.005,38.88151334986858,39.075,38.89945176433218,39.085,38.89945176433218,39.075,0.1755482356678186,0.0044920224070577,BWX,IGOV,2025-02-06,False,4590.0,2559.0,4601,-2565,BWX,IGOV,0.1755482356678257,0.0044920224070579,1,True,False,False,1,BWX,IGOV,4590,-2559,99749.68,-100009.35,199759.03,-259.6700000000128,-11,6,0,6,11,0,-0.055,-0.03,-0.08499999999999999,0.0,-230.84999999999053,-230.84999999999053,-230.93499999999054,-352.84499999996984
21.59,38.76,-0.0899999999999998,-0.3200000000000003,1.795275590551181,1.0,1.79442771475353,1.0,1.7943990345637193,1.0,38.7410751562307,38.76,0.0089719951728185,0.005,38.73210316105788,38.755,38.75004715140352,38.765,38.75004715140352,38.755,0.0049528485964742,0.0001277824715292,BWX,IGOV,2025-02-07,False,4630.0,2580.0,4590,-2559,BWX,IGOV,0.0049528485964813,0.0001277824715294,1,False,False,False,-1,BWX,IGOV,4630,-2580,99511.2,-100005.72,199516.91999999998,-494.5200000000041,40,-21,40,0,0,21,-0.2,-0.105,-0.305,-413.0999999999991,818.8800000000007,405.78000000000156,405.47500000000156,52.630000000031714
21.53,38.75,-0.0599999999999987,-0.009999999999998,1.799814212726428,1.0,1.7949246336037958,1.0,1.79442771475353,1.0,38.6340286986435,38.75,0.0089721385737676,0.005,38.62505656006973,38.745,38.64300083721727,38.755,38.64300083721727,38.745,0.1019991627827323,0.0026322364589092,BWX,IGOV,2025-02-10,False,4631.0,2581.0,4630,-2580,BWX,IGOV,0.0,0.0,-1,True,False,False,1,BWX,IGOV,4631,-2581,99961.7,-100000.79999999999,199962.5,-39.09999999999127,1,-1,1,0,0,1,-0.005,-0.005,-0.01,-277.799999999994,25.79999999999484,-251.99999999999915,-252.00999999999914,-199.37999999996742
21.54,38.77,0.009999999999998,0.0200000000000031,1.7999071494893224,1.0,1.7957262887881855,1.0,1.7949246336037958,1.0,38.66267660782576,38.77,0.0089746231680189,0.005,38.65370198465774,38.765,38.67165123099378,38.775000000000006,38.67165123099378,38.765,0.0933487690062193,0.0024077577767918,BWX,IGOV,2025-02-11,False,4629.0,2579.0,4631,-2581,BWX,IGOV,0.0933487690062193,0.0024077577767918,1,True,False,False,1,BWX,IGOV,4629,-2579,99705.43000000001,-100013.75,199719.18,-308.31999999999243,-2,2,0,2,2,0,-0.01,-0.01,-0.02,46.30999999999074,-51.620000000008,-5.310000000017261,-5.330000000017261,-204.7099999999847
21.43,38.67,-0.1099999999999994,-0.1000000000000014,1.8044797013532432,1.0,1.7965079478310624,1.0,1.7957262887881855,1.0,38.48241436873082,38.67,0.0089786314439409,0.005,38.47343573728688,38.665,38.49139300017476,38.675,38.49139300017476,38.665,0.1736069998252389,0.0044894491808957,BWX,IGOV,2025-02-12,False,4644.0,2586.0,4629,-2579,BWX,IGOV,0.1736069998252389,0.0044894491808957,1,True,False,False,1,BWX,IGOV,4644,-2586,99708.65999999999,-99987.83,199696.49,-279.1700000000128,15,-7,15,0,0,7,-0.075,-0.035,-0.11,-509.1899999999972,257.9000000000036,-251.2899999999936,-251.3999999999936,-456.1099999999783
