SPMB_price,VMBS_price,MBB_price,SPMB_price_chg,VMBS_price_chg,MBB_price_chg,MBB/SPMB,MBB/VMBS,MBB/MBB,MBB/SPMB_moving_avg,MBB/VMBS_moving_avg,MBB/MBB_moving_avg,MBB/SPMB_prev_moving_avg,MBB/VMBS_prev_moving_avg,MBB/MBB_prev_moving_avg,SPMB_scaled_price,VMBS_scaled_price,MBB_scaled_price,SPMB_scaled_comm,VMBS_scaled_comm,MBB_scaled_comm,SPMB_scaled_price_minus_comm,VMBS_scaled_price_minus_comm,MBB_scaled_price_minus_comm,SPMB_scaled_price_plus_comm,VMBS_scaled_price_plus_comm,MBB_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPMB_shs_per_unit,VMBS_shs_per_unit,MBB_shs_per_unit,SPMB_current_shs,VMBS_current_shs,MBB_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPMB_tgt_shs,VMBS_tgt_shs,MBB_tgt_shs,SPMB_tgt_inv_amt,VMBS_tgt_inv_amt,MBB_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPMB_shs_to_trade,VMBS_shs_to_trade,MBB_shs_to_trade,SPMB_shs_to_buy,VMBS_shs_to_buy,MBB_shs_to_buy,SPMB_shs_to_sell,VMBS_shs_to_sell,MBB_shs_to_sell,SPMB_daily_comm,VMBS_daily_comm,MBB_daily_comm,daily_comm,SPMB_daily_profit,VMBS_daily_profit,MBB_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
21.54,45.28,91.6,,,,4.25255338904364,2.0229681978798584,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,,,,0.0,0.0,0.0
21.48,45.24,91.48,-0.0599999999999987,-0.0399999999999991,-0.1199999999999903,4.258845437616388,2.02210433244916,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.47,45.19,91.38,-0.0100000000000015,-0.0500000000000042,-0.1000000000000085,4.256171401956218,2.022128789555212,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.38,45.06,91.12,-0.0899999999999998,-0.1299999999999954,-0.2599999999999909,4.261927034611787,2.0221926320461607,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.4,45.08,91.17,0.0199999999999995,0.019999999999996,0.0499999999999971,4.260280373831776,2.022404614019521,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.28,44.77,90.52,-0.1199999999999974,-0.3099999999999951,-0.6500000000000057,4.25375939849624,2.0218896582532944,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.23,44.68,90.37,-0.0500000000000007,-0.0900000000000034,-0.1499999999999914,4.256712199717382,2.022605192479857,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.25,44.77,90.46,0.0199999999999995,0.0900000000000034,0.0899999999999892,4.256941176470588,2.020549475094929,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.48,45.2,91.41,0.2300000000000004,0.4299999999999997,0.9500000000000028,4.255586592178771,2.0223451327433626,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.51,45.31,91.66,0.0300000000000011,0.1099999999999994,0.25,4.261273826127382,2.022952990509821,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
