TFI_price,VTEB_price,MUB_price,TFI_price_chg,VTEB_price_chg,MUB_price_chg,MUB/TFI,MUB/VTEB,MUB/MUB,MUB/TFI_moving_avg,MUB/VTEB_moving_avg,MUB/MUB_moving_avg,MUB/TFI_prev_moving_avg,MUB/VTEB_prev_moving_avg,MUB/MUB_prev_moving_avg,TFI_scaled_price,VTEB_scaled_price,MUB_scaled_price,TFI_scaled_comm,VTEB_scaled_comm,MUB_scaled_comm,TFI_scaled_price_minus_comm,VTEB_scaled_price_minus_comm,MUB_scaled_price_minus_comm,TFI_scaled_price_plus_comm,VTEB_scaled_price_plus_comm,MUB_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,TFI_shs_per_unit,VTEB_shs_per_unit,MUB_shs_per_unit,TFI_current_shs,VTEB_current_shs,MUB_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,TFI_tgt_shs,VTEB_tgt_shs,MUB_tgt_shs,TFI_tgt_inv_amt,VTEB_tgt_inv_amt,MUB_tgt_inv_amt,gross_inv_amt,net_inv_amt,TFI_shs_to_trade,VTEB_shs_to_trade,MUB_shs_to_trade,TFI_shs_to_buy,VTEB_shs_to_buy,MUB_shs_to_buy,TFI_shs_to_sell,VTEB_shs_to_sell,MUB_shs_to_sell,TFI_daily_comm,VTEB_daily_comm,MUB_daily_comm,daily_comm,TFI_daily_profit,VTEB_daily_profit,MUB_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
45.7,50.2,106.68,,,,2.3343544857768053,2.1250996015936257,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,,,,0.0,0.0,0.0
45.68,50.19,106.58,-0.0200000000000031,-0.0100000000000051,-0.1000000000000085,2.333187390542907,2.12353058378163,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
45.76,50.21,106.64,0.0799999999999983,0.0200000000000031,0.0600000000000022,2.3304195804195804,2.1238797052380005,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.64,50.08,106.43,-0.1199999999999974,-0.1300000000000025,-0.2099999999999937,2.331945661700263,2.1251996805111824,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
45.54,49.92,106.1,-0.1000000000000014,-0.1599999999999966,-0.3300000000000125,2.3298199385155907,2.125400641025641,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
45.34,49.71,105.65,-0.1999999999999957,-0.2100000000000008,-0.4499999999999886,2.330172033524481,2.125326895996781,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
45.22,49.6,105.47,-0.1200000000000045,-0.1099999999999994,-0.1800000000000068,2.332375055285272,2.1264112903225807,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
45.17,49.54,105.35,-0.0499999999999971,-0.0600000000000022,-0.1200000000000045,2.332300199247288,2.1265643924101734,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
45.29,49.79,105.93,0.1199999999999974,0.25,0.5800000000000125,2.3389269154338708,2.1275356497288613,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.34,49.83,105.99,0.0500000000000042,0.0399999999999991,0.059999999999988,2.337670930745478,2.127031908488862,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
