SPHY_price,SCYB_price,HYLB_price,USHY_price,HYG_price,JNK_price,SPHY_price_chg,SCYB_price_chg,HYLB_price_chg,USHY_price_chg,HYG_price_chg,JNK_price_chg,JNK/SPHY,JNK/SCYB,JNK/HYLB,JNK/USHY,JNK/HYG,JNK/JNK,JNK/SPHY_moving_avg,JNK/SCYB_moving_avg,JNK/HYLB_moving_avg,JNK/USHY_moving_avg,JNK/HYG_moving_avg,JNK/JNK_moving_avg,JNK/SPHY_prev_moving_avg,JNK/SCYB_prev_moving_avg,JNK/HYLB_prev_moving_avg,JNK/USHY_prev_moving_avg,JNK/HYG_prev_moving_avg,JNK/JNK_prev_moving_avg,SPHY_scaled_price,SCYB_scaled_price,HYLB_scaled_price,USHY_scaled_price,HYG_scaled_price,JNK_scaled_price,SPHY_scaled_comm,SCYB_scaled_comm,HYLB_scaled_comm,USHY_scaled_comm,HYG_scaled_comm,JNK_scaled_comm,SPHY_scaled_price_minus_comm,SCYB_scaled_price_minus_comm,HYLB_scaled_price_minus_comm,USHY_scaled_price_minus_comm,HYG_scaled_price_minus_comm,JNK_scaled_price_minus_comm,SPHY_scaled_price_plus_comm,SCYB_scaled_price_plus_comm,HYLB_scaled_price_plus_comm,USHY_scaled_price_plus_comm,HYG_scaled_price_plus_comm,JNK_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date
23.53,26.22,36.16,36.86,78.84,95.75,,,,,,,4.069273268,3.651792525,2.64795354,2.597666848,1.214485033,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2/2025,FALSE
23.57,26.26,36.25,36.96,78.96,95.95,0.04,0.04,0.09,0.1,0.12,0.2,4.070852779,3.653846154,2.646896552,2.596049784,1.215172239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/3/2025,FALSE
23.61,26.26,36.29,36.99,79.1,96.06,0.04,0,0.04,0.03,0.14,0.11,4.068614994,3.658035034,2.647010196,2.596918086,1.214412137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/6/2025,FALSE
23.54,26.19,36.19,36.88,78.84,95.77,-0.07,-0.07,-0.1,-0.11,-0.26,-0.29,4.068394223,3.656739213,2.646311136,2.596800434,1.214738711,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/7/2025,FALSE
23.55,26.22,36.24,36.91,78.94,95.87,0.01,0.03,0.05,0.03,0.1,0.1,4.070912951,3.656369184,2.645419426,2.597399079,1.214466684,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8/2025,FALSE
23.43,26.1,36.03,36.71,78.53,95.34,-0.12,-0.12,-0.21,-0.2,-0.41,-0.53,4.069142125,3.652873563,2.646128226,2.597112503,1.214058322,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/10/2025,FALSE
23.43,26.08,36.04,36.73,78.51,95.3,0,-0.02,0.01,0.02,-0.02,-0.04,4.067434913,3.654141104,2.644284129,2.594609311,1.213858107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/13/2025,FALSE
23.46,26.1,36.05,36.76,78.61,95.38,0.03,0.02,0.01,0.03,0.1,0.08,4.065643649,3.65440613,2.645769764,2.594668118,1.213331637,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/14/2025,FALSE
23.65,26.31,36.38,37.08,79.3,96.26,0.19,0.21,0.33,0.32,0.69,0.88,4.070190275,3.658684911,2.645959318,2.59600863,1.213871375,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/15/2025,FALSE
23.68,26.36,36.43,37.12,79.39,96.37,0.03,0.05,0.05,0.04,0.09,0.11,4.069679054,3.655918058,2.645347241,2.596174569,1.213880841,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/16/2025,FALSE
23.72,26.39,36.47,37.19,79.46,96.45,0.04,0.03,0.04,0.07,0.07,0.08,4.06618887,3.654793482,2.64463943,2.593439097,1.213818273,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/17/2025,FALSE
23.77,26.47,36.56,37.26,79.67,96.73,0.05,0.08,0.09,0.07,0.21,0.28,4.069415229,3.654325652,2.645787746,2.596081589,1.2141333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/21/2025,FALSE
23.74,26.43,36.5,37.21,79.56,96.57,-0.03,-0.04,-0.06,-0.05,-0.11,-0.16,4.067818029,3.653802497,2.645753425,2.595270089,1.213800905,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/22/2025,FALSE
23.77,26.46,36.55,37.27,79.66,96.71,0.03,0.03,0.05,0.06,0.1,0.14,4.068573833,3.654950869,2.645964432,2.594848404,1.214034647,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/23/2025,FALSE
23.8,26.48,36.58,37.29,79.75,96.81,0.03,0.02,0.03,0.02,0.09,0.1,4.067647059,3.655966767,2.646528157,2.596138375,1.213918495,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/24/2025,FALSE
23.82,26.51,36.61,37.34,79.81,96.92,0.02,0.03,0.03,0.05,0.06,0.11,4.068849706,3.655978876,2.647364108,2.595607927,1.214384162,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/27/2025,FALSE
23.81,26.5,36.61,37.31,79.78,96.86,-0.01,-0.01,0,-0.03,-0.03,-0.06,4.068038639,3.65509434,2.645725212,2.59608684,1.214088744,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/28/2025,FALSE
23.8,26.49,36.58,37.3,79.73,96.78,-0.01,-0.01,-0.03,-0.01,-0.05,-0.08,4.066386555,3.653454134,2.645708037,2.59463807,1.213846733,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025,FALSE
23.83,26.53,36.63,37.35,79.88,96.98,0.03,0.04,0.05,0.05,0.15,0.2,4.069660092,3.655484357,2.647556648,2.596519411,1.214071107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/30/2025,FALSE
23.78,26.49,36.58,37.29,79.72,96.76,-0.05,-0.04,-0.05,-0.06,-0.16,-0.22,4.068965517,3.652699132,2.64516129,2.594797533,1.213748118,1,4.068584088,3.654967799,2.646063401,2.595841735,1.214105979,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2025,FALSE
