date,AGG,ANGL,BND,BNDX,BWX,CMF,CORP,CWB,EMB,EMLC,FALN,HYG,HYLB,IAGG,ICVT,IGLB,IGOV,IUSB,JNK,LQD,MBB,MUB,PCY,PFF,PFFD,SCHH,SCHQ,SCHZ,SCYB,SPAB,SPBO,SPHY,SPLB,SPMB,SPTL,TFI,TLT,USHY,USIG,USRT,VCLT,VGLT,VMBS,VTC,VTEB,VTEC,VWOB
8/5/2024,100.25,28.4,74.34,49.89,22.75,57.95,97.42,71.19,89.69,24.21,26.43,77.22,35.47,51.38,77.24,52.03,40.82,46.55,94.19,110.32,95.08,108.2,20.34,31.18,19.48,21.11,35.14,23.53,25.78,25.89,29.42,23.18,23.45,22.31,29.17,46.65,98.8,36.3,51.51,55.69,78.9,61.86,46.84,77.76,50.89,101,63.69
8/6/2024,99.65,28.54,73.88,49.63,22.62,57.89,97.12,71.45,89.39,24.18,26.51,77.51,35.63,51.36,78.05,51.46,40.59,46.29,94.56,109.6,94.5,108.02,20.2,31.33,19.56,21.56,34.46,23.39,25.85,25.73,29.28,23.27,23.19,22.18,28.6,46.55,96.59,36.44,51.25,57.07,78.04,60.58,46.52,77.3,50.81,101.01,63.42
8/7/2024,99.35,28.56,73.7,49.55,22.52,57.61,96.66,71.21,89.58,24.19,26.51,77.66,35.69,51.07,77.33,51.13,40.42,46.18,94.7,109.1,94.27,107.64,20.26,31.48,19.59,21.41,34.19,23.31,25.95,25.65,29.16,23.29,23.02,22.14,28.38,46.32,95.91,36.47,51.08,56.75,77.5,60.1,46.39,77,50.63,100.49,63.59
8/8/2024,99.2,28.63,73.59,49.57,22.51,57.38,96.62,71.89,90,24.34,26.61,77.98,35.83,51.11,78.71,51.13,40.52,46.14,95.07,109.15,94.09,107.48,20.41,31.58,19.72,21.56,33.96,23.29,26.02,25.62,29.17,23.39,23.02,22.09,28.22,46.23,95.32,36.6,51.1,57.34,77.5,59.77,46.31,77.02,50.52,100.21,63.91
8/9/2024,99.55,28.68,73.85,49.74,22.63,57.51,97.06,72.18,90.4,24.48,26.67,77.97,35.81,51.26,79,51.57,40.55,46.27,95.05,109.71,94.38,107.69,20.55,31.57,19.71,21.68,34.32,23.36,26.01,25.71,29.29,23.39,23.22,22.17,28.49,46.28,96.26,36.6,51.3,57.77,78.15,60.34,46.48,77.3,50.6,100.33,64.17
8/12/2024,99.72,28.69,73.98,49.79,22.65,57.58,97.25,72.02,90.5,24.46,26.66,78.02,35.84,51.28,78.81,51.66,40.55,46.35,95.08,109.94,94.54,107.8,20.58,31.37,19.63,21.53,34.46,23.41,25.99,25.76,29.33,23.4,23.27,22.2,28.59,46.35,96.61,36.64,51.38,57.19,78.28,60.55,46.58,77.46,50.65,100.41,64.22
8/13/2024,100.12,28.85,74.26,49.9,22.76,57.65,97.72,72.44,90.99,24.67,26.78,78.38,36.02,51.37,79.05,52.15,40.96,46.53,95.55,110.71,94.81,107.92,20.72,31.64,19.77,21.69,34.7,23.5,26.08,25.85,29.51,23.5,23.48,22.28,28.79,46.41,97.28,36.8,51.66,57.74,79.05,60.95,46.76,77.9,50.73,100.49,64.56
8/14/2024,100.3,28.91,74.4,49.94,22.78,57.73,98.01,72.3,91.19,24.75,26.87,78.52,36.08,51.42,79.21,52.51,40.93,46.6,95.77,111.2,94.91,108.07,20.81,31.77,19.9,21.76,34.89,23.54,26.18,25.89,29.61,23.53,23.68,22.3,28.93,46.48,97.89,36.88,51.8,58.04,79.67,61.29,46.8,78.15,50.8,100.59,64.66
8/15/2024,99.88,28.95,74.09,49.8,22.62,57.54,97.76,72.89,91.16,24.68,26.91,78.59,36.13,51.25,79.82,52.39,40.69,46.45,95.86,110.86,94.63,107.72,20.81,31.73,19.88,21.73,34.56,23.44,26.22,25.79,29.53,23.57,23.6,22.21,28.69,46.32,97.1,36.91,51.66,58.02,79.42,60.77,46.61,77.91,50.64,100.32,64.7
8/16/2024,100.12,29.07,74.25,49.85,22.77,57.58,97.97,73.1,91.53,24.77,27.01,78.84,36.26,51.3,80.1,52.55,40.87,46.55,96.18,111.19,94.84,107.79,20.91,31.93,19.99,21.71,34.67,23.49,26.3,25.85,29.6,23.64,23.7,22.27,28.8,46.36,97.44,37.02,51.79,57.93,79.73,60.97,46.74,78.1,50.68,100.42,64.95
