SPLB_price,IGLB_price,VCLT_price,SPLB_price_chg,IGLB_price_chg,VCLT_price_chg,VCLT/SPLB,VCLT/IGLB,VCLT/VCLT,VCLT/SPLB_moving_avg,VCLT/IGLB_moving_avg,VCLT/VCLT_moving_avg,VCLT/SPLB_prev_moving_avg,VCLT/IGLB_prev_moving_avg,VCLT/VCLT_prev_moving_avg,SPLB_scaled_price,IGLB_scaled_price,VCLT_scaled_price,SPLB_scaled_comm,IGLB_scaled_comm,VCLT_scaled_comm,SPLB_scaled_price_minus_comm,IGLB_scaled_price_minus_comm,VCLT_scaled_price_minus_comm,SPLB_scaled_price_plus_comm,IGLB_scaled_price_plus_comm,VCLT_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPLB_shs_per_unit,IGLB_shs_per_unit,VCLT_shs_per_unit,SPLB_current_shs,IGLB_current_shs,VCLT_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPLB_tgt_shs,IGLB_tgt_shs,VCLT_tgt_shs,SPLB_tgt_inv_amt,IGLB_tgt_inv_amt,VCLT_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPLB_shs_to_trade,IGLB_shs_to_trade,VCLT_shs_to_trade,SPLB_shs_to_buy,IGLB_shs_to_buy,VCLT_shs_to_buy,SPLB_shs_to_sell,IGLB_shs_to_sell,VCLT_shs_to_sell,SPLB_daily_comm,IGLB_daily_comm,VCLT_daily_comm,daily_comm,SPLB_daily_profit,IGLB_daily_profit,VCLT_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
22.24,49.43,74.79,,,,3.3628597122302164,1.513048755816306,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.18,49.27,74.57,-0.05999999999999872,-0.1599999999999966,-0.22000000000001307,3.3620378719567174,1.513497057032677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.08,49.07,74.22,-0.10000000000000142,-0.20000000000000284,-0.3499999999999943,3.361413043478261,1.5125331159567963,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.91,48.68,73.67,-0.16999999999999815,-0.39000000000000057,-0.5499999999999972,3.3623916020082154,1.5133525061626951,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.96,48.8,73.85,0.05000000000000071,0.11999999999999744,0.1799999999999926,3.362932604735883,1.5133196721311475,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.82,48.49,73.37,-0.14000000000000057,-0.30999999999999517,-0.47999999999998977,3.362511457378552,1.5130954836048671,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.73,48.32,73.11,-0.08999999999999986,-0.1700000000000017,-0.2600000000000051,3.364473078693051,1.5130380794701987,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.76,48.37,73.16,0.030000000000001137,0.04999999999999716,0.04999999999999716,3.362132352941176,1.5125077527393012,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1,49.13,74.31,0.33999999999999986,0.7600000000000051,1.1500000000000057,3.362443438914027,1.5125178098921228,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.17,49.26,74.53,0.07000000000000028,0.12999999999999545,0.21999999999999886,3.3617501127649976,1.5129922858302884,1.0,3.3624945275101097,1.51299025186364,1.0,,,,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,,,,,,,,,,False,False,False,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
