CWB_price,ICVT_price,CWB_price_chg,ICVT_price_chg,ICVT/CWB,ICVT/ICVT,ICVT/CWB_moving_avg,ICVT/ICVT_moving_avg,ICVT/CWB_prev_moving_avg,ICVT/ICVT_prev_moving_avg,CWB_scaled_price,ICVT_scaled_price,CWB_scaled_comm,ICVT_scaled_comm,CWB_scaled_price_minus_comm,ICVT_scaled_price_minus_comm,CWB_scaled_price_plus_comm,ICVT_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,CWB_shs_per_unit,ICVT_shs_per_unit,CWB_current_shs,ICVT_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,CWB_tgt_shs,ICVT_tgt_shs,CWB_tgt_inv_amt,ICVT_tgt_inv_amt,gross_inv_amt,net_inv_amt,CWB_shs_to_trade,ICVT_shs_to_trade,CWB_shs_to_buy,ICVT_shs_to_buy,CWB_shs_to_sell,ICVT_shs_to_sell,CWB_daily_comm,ICVT_daily_comm,daily_comm,CWB_daily_profit,ICVT_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
90.55,100.03,,,1.1046935394809498,1.0,,,,,,,,,,,,,,,,,,,2026-01-02,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
91.53,100.93,0.980000000000004,0.9000000000000057,1.102698568775265,1.0,,,,,,,,,,,,,,,,,,,2026-01-05,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
92.69,102.18,1.1599999999999966,1.25,1.1023842917251052,1.0,,,,,,,,,,,,,,,,,,,2026-01-06,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
92.1,101.62,-0.5900000000000034,-0.5600000000000023,1.1033659066232357,1.0,,,,,,,,,,,,,,,,,,,2026-01-07,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
91.83,101.2,-0.269999999999996,-0.4200000000000017,1.1020363715561363,1.0,,,,,,,,,,,,,,,,,,,2026-01-08,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
92.3,101.65,0.46999999999999886,0.45000000000000284,1.101300108342362,1.0,,,,,,,,,,,,,,,,,,,2026-01-09,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
93.13,102.63,0.8299999999999983,0.9799999999999898,1.1020079458821004,1.0,,,,,,,,,,,,,,,,,,,2026-01-12,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
93.34,102.88,0.21000000000000796,0.25,1.1022069852153418,1.0,,,,,,,,,,,,,,,,,,,2026-01-13,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
93.42,102.73,0.0799999999999983,-0.14999999999999147,1.0996574609291372,1.0,,,,,,,,,,,,,,,,,,,2026-01-14,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
93.62,103.12,0.20000000000000284,0.39000000000000057,1.1014740440076907,1.0,,,,,,,,,,,,,,,,,,,2026-01-15,False,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
