,bop date,eop date,day count,bop CWB price,eop CWB price,bop ICVT price,eop ICVT price,eop ICVT / eop CWB,bop ICVT / CWB moving avg,eop ICVT / CWB moving avg,eop CWB unit price,eop ICVT / eop ICVT,bop ICVT / ICVT moving avg,eop ICVT / ICVT moving avg,eop ICVT unit price,CWB unit price pct diff,ICVT unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,CWB shares per unit,bop CWB shares,eop CWB shares,eop CWB shares bought,eop CWB shares sold,eop CWB shares traded,ICVT shares per unit,bop ICVT shares,eop ICVT shares,eop ICVT shares bought,eop ICVT shares sold,eop ICVT shares traded,CWB daily commission,ICVT daily commission,daily total commissions,CWB cop,CWB pct cop,CWB daily position pnl,ICVT cop,ICVT pct cop,ICVT daily position pnl,daily position pnl,short CWB investment amount,long CWB investment amount,CWB investment amount,daily CWB borrow cost,short ICVT investment amount,long ICVT investment amount,ICVT investment amount,daily ICVT borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,70.81,,77.08,1.0885468154215505,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,70.81,70.62,77.08,76.88,1.0886434437836305,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.18999999999999773,-0.002686843163442213,,-0.20000000000000284,-0.0025980788841286745,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,70.62,70.73,76.88,76.72,1.084688251095716,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.10999999999999943,0.001556420547658158,,-0.1599999999999966,-0.0020833340868542517,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,70.73,71.19,76.72,77.28,1.0855457227138643,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.45999999999999375,0.006482548067883191,,0.5600000000000023,0.007272759329079878,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,71.19,71.13,77.28,77.3,1.0867425840011247,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.060000000000002274,-0.000843170370358081,,0.01999999999999602,0.0002587656891136425,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,71.13,71.37,77.3,77.56,1.0867311195180047,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.2400000000000091,0.003368424237552286,,0.2600000000000051,0.0033578747810747785,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,71.37,71.34,77.56,77.55,1.0870479394449115,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.030000000000001137,-0.00042043305223051056,,-0.010000000000005116,-0.0001289407519032922,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,71.34,71.26,77.55,77.37,1.0857423519506033,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.0799999999999983,-0.001122019753055492,,-0.1799999999999926,-0.0023237810611845796,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,71.26,71.02,77.37,77.29,1.0882849901436216,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.2400000000000091,-0.00337363266274824,,-0.0799999999999983,-0.001034527442583418,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,71.02,70.67,77.29,76.88,1.0878732135276636,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.3499999999999943,-0.004940372812178827,,-0.4100000000000108,-0.005318816456742686,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
