,bop date,eop date,day count,bop FALN price,eop FALN price,bop ANGL price,eop ANGL price,eop ANGL / eop FALN,bop ANGL / FALN moving avg,eop ANGL / FALN moving avg,eop FALN unit price,eop ANGL / eop ANGL,bop ANGL / ANGL moving avg,eop ANGL / ANGL moving avg,eop ANGL unit price,FALN unit price pct diff,ANGL unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,FALN shares per unit,bop FALN shares,eop FALN shares,eop FALN shares bought,eop FALN shares sold,eop FALN shares traded,ANGL shares per unit,bop ANGL shares,eop ANGL shares,eop ANGL shares bought,eop ANGL shares sold,eop ANGL shares traded,FALN daily commission,ANGL daily commission,daily total commissions,FALN cop,FALN pct cop,FALN daily position pnl,ANGL cop,ANGL pct cop,ANGL daily position pnl,daily position pnl,short FALN investment amount,long FALN investment amount,FALN investment amount,daily FALN borrow cost,short ANGL investment amount,long ANGL investment amount,ANGL investment amount,daily ANGL borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,26.25,,28.64,1.091047619047619,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,26.25,26.17,28.64,28.53,1.0901795949560564,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.0799999999999983,-0.003052272495578181,,-0.10999999999999943,-0.003848176867036271,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,26.17,26.2,28.53,28.54,1.0893129770992367,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.029999999999997584,0.0011456942249965564,,0.00999999999999801,0.00035044682328165316,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,26.2,26.34,28.54,28.72,1.090356871678056,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.14000000000000057,0.005329285548083833,,0.17999999999999972,0.0062871321313329905,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,26.34,26.49,28.72,28.83,1.0883352208380521,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.14999999999999858,0.005678606968843293,,0.10999999999999943,0.0038227674702874348,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,26.49,26.55,28.83,28.87,1.087382297551789,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.060000000000002274,0.0022624444039695433,,0.0400000000000027,0.0013864820245330454,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,26.55,26.66,28.87,29.06,1.0900225056264066,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.10999999999999943,0.004134567062614681,,0.18999999999999773,0.00655966446729299,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,26.66,26.72,29.06,29.13,1.090194610778443,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.05999999999999872,0.0022480339178823487,,0.07000000000000028,0.002405912829206478,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,26.72,26.6,29.13,28.97,1.0890977443609022,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.11999999999999744,-0.004501132880791538,,-0.16000000000000014,-0.005507759190084234,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,26.6,26.51,28.97,28.87,1.089023010184836,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.08999999999999986,-0.003389195486719166,,-0.09999999999999787,-0.003457818106415277,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024-01-17,2024-01-18,1,26.51,26.54,28.87,28.89,1.0885455915599096,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.029999999999997584,0.0011310086031272148,,0.019999999999999574,0.0006925208033001981,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-01-18,2024-01-19,1,26.54,26.55,28.89,28.94,1.0900188323917137,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.010000000000001563,0.00037671878388634305,,0.05000000000000071,0.0017292067251940095,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-19,2024-01-22,3,26.55,26.59,28.94,28.95,1.0887551711169612,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.03999999999999915,0.0015054575669805317,,0.00999999999999801,0.00034548281566631507,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-22,2024-01-23,1,26.59,26.58,28.95,28.91,1.0876598946576375,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.010000000000001563,-0.0003761519698292159,,-0.03999999999999915,-0.00138264799074951,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-23,2024-01-24,1,26.58,26.58,28.91,28.88,1.0865312264860798,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.0,0.0,,-0.030000000000001137,-0.001038242003629255,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
