,bop date,eop date,day count,bop VWOB price,eop VWOB price,bop EMB price,eop EMB price,eop EMB / eop VWOB,bop EMB / VWOB moving avg,eop EMB / VWOB moving avg,eop VWOB unit price,eop EMB / eop EMB,bop EMB / EMB moving avg,eop EMB / EMB moving avg,eop EMB unit price,VWOB unit price pct diff,EMB unit price pct diff,unit price pct diff,month end liquidation,go long,exit long,current_position,new_position,VWOB shares per unit,bop VWOB shares,eop VWOB shares,eop VWOB shares bought,eop VWOB shares sold,eop VWOB shares traded,EMB shares per unit,bop EMB shares,eop EMB shares,eop EMB shares bought,eop EMB shares sold,eop EMB shares traded,VWOB daily commission,EMB daily commission,daily total commissions,VWOB cop,VWOB pct cop,VWOB daily position pnl,EMB cop,EMB pct cop,EMB daily position pnl,daily position pnl,short VWOB investment amount,long VWOB investment amount,VWOB investment amount,daily VWOB borrow cost,short EMB investment amount,long EMB investment amount,EMB investment amount,daily EMB borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,62.85,,87.84,1.3976133651551312,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,62.85,62.53,87.84,87.44,1.3983687829841676,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.3200000000000003,-0.005104493457049898,,-0.4000000000000057,-0.0045641338929374225,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,62.53,62.28,87.44,87.17,1.3996467565831727,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.25,-0.0040060946134089555,,-0.269999999999996,-0.0030926088447984596,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,62.28,62.35,87.17,87.28,1.399839615076183,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.07000000000000028,0.0011233251602477945,,0.10999999999999943,0.00126110650133075,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,62.35,62.13,87.28,86.94,1.3993239980685659,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.21999999999999886,-0.0035347080504430015,,-0.3400000000000034,-0.0039031159641693546,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,62.13,62.57,86.94,87.56,1.399392680198178,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.4399999999999977,0.007056965934669609,,0.6200000000000045,0.007106047094016147,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,62.57,63.11,87.56,88.35,1.39993661860244,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.5399999999999991,0.008593305585876121,,0.789999999999992,0.008981926111043155,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,63.11,63.2,88.35,88.51,1.4004746835443038,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.09000000000000341,0.001425065556663642,,0.1600000000000108,0.001809341215080275,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,63.2,62.66,88.51,87.69,1.3994573890839452,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.5400000000000063,-0.008581015628766111,,-0.8200000000000074,-0.0093076721895214,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,62.66,62.41,87.69,87.36,1.399775676974844,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.25,-0.003997766578094039,,-0.3299999999999983,-0.003770355794669334,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024-01-17,2024-01-18,1,62.41,62.47,87.36,87.45,1.3998719385304947,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.060000000000002274,0.0009609225595270158,,0.09000000000000341,0.0010296894680162719,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-01-18,2024-01-19,1,62.47,62.54,87.45,87.49,1.398944675407739,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.07000000000000028,0.0011199105242167757,,0.03999999999999204,0.00045729965356201564,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-19,2024-01-22,3,62.54,62.61,87.49,87.55,1.3983389234946493,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.07000000000000028,0.0011186577275238514,,0.060000000000002274,0.0006855576136876825,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-22,2024-01-23,1,62.61,62.36,87.55,87.1,1.3967286722257857,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.25,-0.0040009655676432575,,-0.45000000000000284,-0.005153174873403763,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-23,2024-01-24,1,62.36,62.18,87.1,86.86,1.3969121904149244,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.17999999999999972,-0.0028906395589680294,,-0.23999999999999488,-0.0027592567517812647,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-01-24,2024-01-25,1,62.18,62.69,86.86,87.48,1.395437868878609,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.509999999999998,0.008168540655269426,,0.6200000000000045,0.007112568701891353,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-01-25,2024-01-26,1,62.69,62.69,87.48,87.61,1.3975115648428778,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.12999999999999545,0.0014849508697053519,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-01-26,2024-01-29,3,62.69,62.94,87.61,87.94,1.3972036860502066,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.25,0.003979946350383557,,0.3299999999999983,0.0037596170743916797,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-01-29,2024-01-30,1,62.94,63.05,87.94,88.14,1.397938144329897,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.10999999999999943,0.001746170774667768,,0.20000000000000284,0.0022716956611769394,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
