symbols,moving avg days,direction,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
CWB_ICVT,20,long,0.0,0.0,1191.6163238889499,-461.1036761111111,-55505.02165137615,-133.90600917431277,110876.13729357798,0.012423455352967109,0.678641600127742,-1825.748621388877,44,102844.0
CWB_ICVT,20,long,-0.001,0.0,1758.160072777867,-424.98992722222226,-50458.51706422019,-130.62050458715697,100786.41362385321,0.02016510411889995,1.0536428873540242,-1799.1704958333262,38,89026.0
CWB_ICVT,20,long,-0.001,-0.001,3375.91949361113,-324.9905063888889,-40366.63720183486,-124.5106880733951,80608.76371559635,0.048412094017830976,2.2392189113053744,-1389.0982697222294,58,134166.0
CWB_ICVT,20,long,-0.002,0.0,1838.1602302778545,-361.0997697222222,-43577.44041284404,-122.16444954128536,87032.71637614678,0.024414333589181936,1.1572533489367083,-1799.170495833326,28,64590.0
CWB_ICVT,20,long,-0.002,-0.001,2866.8435983333475,-272.2164016666667,-34403.56027522936,-115.38059633027576,68691.73995412844,0.04824402463260816,1.973927191031223,-1389.098269722229,38,87598.0
CWB_ICVT,20,long,-0.002,-0.002,2439.9747502778378,-197.21524972222224,-25229.272064220186,-101.41692660550525,50357.12720183486,0.05601036889293798,1.8582679534683832,-1215.986541944454,48,110182.0
CWB_ICVT,20,long,-0.003,0.0,1970.2527027778563,-269.42729722222225,-31650.744678899082,-101.4654128440376,63200.02394495413,0.03603700883948101,1.3989961031399287,-1294.4401186111063,24,54878.0
CWB_ICVT,20,long,-0.003,-0.001,1837.509648611151,-183.3203513888889,-22935.215642201834,-92.09522935779874,45778.33605504587,0.04639953972319241,1.4403510401893034,-1294.4401186111063,24,54338.0
CWB_ICVT,20,long,-0.003,-0.002,1709.4599994444918,-149.99000055555558,-18348.34504587156,-84.75509174311973,36611.935,0.053973465944391875,1.4257618071548732,-1121.3283908333324,26,58382.0
CWB_ICVT,20,long,-0.003,-0.003,1410.8040250000379,-133.325975,-16513.53146788991,-80.27637614678939,32946.78655963302,0.04949914242238738,1.1840751151866131,-1141.6218241666556,26,58244.0
CWB_ICVT,20,long,-0.004,0.0,575.4058994444515,-169.42410055555558,-19264.86146788991,-76.08449541284423,38453.63844036697,0.01729740359878972,0.4876641793636379,-1121.1483908333325,10,23906.0
CWB_ICVT,20,long,-0.004,-0.001,474.2788008333267,-122.21119916666669,-14678.06389908257,-71.06444954128449,29285.063348623855,0.01872110988834356,0.43906789446197597,-1121.1483908333328,10,23598.0
CWB_ICVT,20,long,-0.004,-0.002,362.26894388888854,-111.10105611111112,-12843.36137614679,-67.799128440367,25618.923623853214,0.01634610458311675,0.34290748773344215,-1121.1483908333328,10,23576.0
CWB_ICVT,20,long,-0.004,-0.003,285.00809444444667,-108.32190555555556,-12384.419082568807,-66.77655963302756,24702.06160550459,0.013337303720905781,0.27057888053831064,-1121.1483908333328,10,23486.0
CWB_ICVT,20,long,-0.004,-0.004,698.8136124999974,-83.32638750000001,-10090.881605504586,-59.126513761467834,20122.636697247708,0.04014398826890545,0.7233290735398512,-900.8429619444527,16,37078.0
CWB_ICVT,20,long,-0.005,0.0,404.04607388891304,-124.98392611111112,-13760.292935779817,-67.11013761467908,27453.475733944957,0.017012870740414993,0.3516162826542768,-1033.330553055548,6,15060.0
CWB_ICVT,20,long,-0.005,-0.001,277.6408688889037,-111.09913111111112,-12843.043486238532,-65.67559633027543,25620.41137614679,0.01252683460339122,0.26101072397807185,-1033.330553055548,6,15022.0
