symbols,moving avg days,direction,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
SCHH_USRT,20,long,0.0,0.0,-2771.8167977777293,-488.88179777777776,-55909.171636363644,-211.77354545454529,111606.56972727273,-0.028448057833336548,-1.3311800976218364,-3141.6623172221825,45,301415.0
SCHH_USRT,20,long,-0.001,0.0,-2658.001373333294,-433.3263733333333,-49545.49018181818,-208.8316363636362,98882.14872727272,-0.030790388296541012,-1.3402201765788864,-3030.179010833307,29,193953.0
SCHH_USRT,20,long,-0.001,-0.001,-3228.1116205555345,-394.4366205555556,-45908.92081818181,-207.41122727272707,91610.4304090909,-0.04036281799450035,-1.6990764651536157,-3228.111620555534,33,218475.0
SCHH_USRT,20,long,-0.002,0.0,-1159.3696383332838,-386.10463833333336,-44545.511,-202.0076818181817,88889.01431818181,-0.01494003766694053,-0.7314057871539685,-2069.9391186110615,23,153047.0
SCHH_USRT,20,long,-0.002,-0.001,-1395.688076666645,-352.77307666666667,-41363.62254545455,-200.2456818181817,82526.99940909092,-0.019371808776539778,-0.9362221617338863,-1859.147699166641,25,165945.0
SCHH_USRT,20,long,-0.002,-0.002,-1507.744467499987,-336.1094675,-40454.69840909091,-198.47163636363615,80710.92518181818,-0.02139800466654616,-1.013880408892585,-1875.5961066666407,27,177789.0
SCHH_USRT,20,long,-0.003,0.0,-1382.5945599999748,-333.32956,-39545.759090909094,-190.8702727272725,78900.6479090909,-0.020072068674232335,-0.9197978507100368,-2293.164040277752,17,115503.0
SCHH_USRT,20,long,-0.003,-0.001,-1618.9129983333362,-299.9979983333334,-36363.87063636364,-189.1082727272725,72538.633,-0.02556418801876742,-1.1537785500549784,-2082.3726208333323,19,128401.0
SCHH_USRT,20,long,-0.003,-0.002,-1714.5209816666782,-291.66598166666665,-35909.397,-188.19427272727242,71630.59972727273,-0.027417135403091507,-1.2251738452392218,-2082.3726208333323,19,128401.0
SCHH_USRT,20,long,-0.003,-0.003,-1144.8146441666938,-236.10964416666667,-30454.447136363637,-174.15195454545412,60734.74231818182,-0.02159115339608679,-0.8600178958475683,-2044.3920736110922,31,205973.0
SCHH_USRT,20,long,-0.004,0.0,-527.4325186110843,-311.1075186111111,-36818.362318181826,-182.74609090909064,73453.97854545455,-0.008224877505984888,-0.38441498708675914,-1438.0019988888616,17,115171.0
SCHH_USRT,20,long,-0.004,-0.001,-842.7248613888814,-272.2198613888889,-32727.29459090909,-178.51068181818152,65276.078499999996,-0.01478800573238244,-0.6705586810577719,-1306.1844838888778,17,114975.0
SCHH_USRT,20,long,-0.004,-0.002,-938.3328447222236,-263.8878447222222,-32272.820954545452,-177.59668181818145,64368.045227272734,-0.01669800004554069,-0.7489760400519277,-1306.1844838888778,17,114975.0
SCHH_USRT,20,long,-0.004,-0.003,-103.41059361113685,-216.66559361111112,-27272.693409090913,-163.75586363636313,54381.63095454546,-0.0021781644356903703,-0.08824921969104427,-1038.6350877777734,25,166733.0
SCHH_USRT,20,long,-0.004,-0.004,-449.6153161111415,-158.3303161111111,-20454.514909090907,-138.93481818181766,40770.095,-0.012632148822451587,-0.4204709819253671,-1120.8950161111093,33,221063.0
SCHH_USRT,20,long,-0.005,0.0,107.458843333359,-299.9961566666667,-35000.13945454545,-175.83018181818156,69824.44872727273,0.0017628384153272453,0.0852475088005819,-1021.8694686111054,17,115035.0
SCHH_USRT,20,long,-0.005,-0.001,-207.83349944443785,-261.1084994444445,-30909.071727272723,-171.5947727272724,61646.54868181819,-0.003861754335430781,-0.18316374211727204,-1021.8694686111055,17,114839.0
SCHH_USRT,20,long,-0.005,-0.002,-303.44148277778004,-252.7764827777778,-30454.59809090909,-170.68077272727234,60738.51540909091,-0.005722537394703135,-0.26840229917793773,-1021.8694686111055,17,114839.0
SCHH_USRT,20,long,-0.005,-0.003,193.54031166664285,-205.55468833333333,-25454.545272727275,-156.24922727272676,50752.84131818182,0.004368063422053695,0.19204236408388384,-1021.8694686111055,21,140201.0
SCHH_USRT,20,long,-0.005,-0.004,63.429383888873716,-138.88561611111112,-17272.654909090907,-125.32731818181769,34419.9825,0.0021108516278557582,0.0725795904825913,-693.161717500001,25,167577.0
SCHH_USRT,20,long,-0.005,-0.005,138.72696694445366,-122.21803305555554,-14545.232227272727,-113.40068181818133,28977.063772727273,0.005483834943042299,0.17130955153045566,-604.1654116666795,27,180787.0
SCHH_USRT,20,long,-0.006,0.0,-96.94488249998224,-127.7698825,-15454.107499999998,-100.49422727272726,30807.720772727273,-0.0036044846399823772,-0.10916781163176247,-568.6774850000049,9,58663.0
SCHH_USRT,20,long,-0.006,-0.001,214.03234527778847,-99.99265472222223,-12272.168045454544,-96.4734545454545,24447.862636363636,0.010028047294739101,0.26290164009411393,-568.6774850000049,9,58663.0
SCHH_USRT,20,long,-0.006,-0.002,118.42436194444639,-91.66063805555555,-11817.69440909091,-95.55945454545441,23539.829363636363,0.005762561893985864,0.14646784860263873,-568.6774850000049,9,58663.0
SCHH_USRT,20,long,-0.006,-0.003,118.42436194444639,-91.66063805555555,-11817.69440909091,-95.55945454545441,23539.829363636363,0.005762561893985864,0.14646784860263873,-568.6774850000049,9,58663.0
SCHH_USRT,20,long,-0.006,-0.004,-88.00659472220175,-77.77159472222222,-9544.941863636364,-86.70131818181795,19003.182409090907,-0.005304772210484957,-0.11609698607163053,-568.6774850000049,9,58621.0
SCHH_USRT,20,long,-0.006,-0.005,-88.00659472220175,-77.77159472222222,-9544.941863636364,-86.70131818181795,19003.182409090907,-0.005304772210484957,-0.11609698607163053,-568.6774850000049,9,58621.0
SCHH_USRT,20,long,-0.006,-0.006,-200.84242972219832,-69.43742972222222,-9090.351045454545,-84.086818181818,18096.61527272727,-0.012712646568341193,-0.26572592340020057,-568.6774850000049,9,58621.0
SCHH_USRT,20,long,-0.007,0.0,-96.94488249998224,-127.7698825,-15454.107499999998,-100.49422727272726,30807.720772727273,-0.0036044846399823772,-0.10916781163176247,-568.6774850000049,9,58663.0
SCHH_USRT,20,long,-0.007,-0.001,214.03234527778847,-99.99265472222223,-12272.168045454544,-96.4734545454545,24447.862636363636,0.010028047294739101,0.26290164009411393,-568.6774850000049,9,58663.0
SCHH_USRT,20,long,-0.007,-0.002,118.42436194444639,-91.66063805555555,-11817.69440909091,-95.55945454545441,23539.829363636363,0.005762561893985864,0.14646784860263873,-568.6774850000049,9,58663.0
SCHH_USRT,20,long,-0.007,-0.003,118.42436194444639,-91.66063805555555,-11817.69440909091,-95.55945454545441,23539.829363636363,0.005762561893985864,0.14646784860263873,-568.6774850000049,9,58663.0
