,from date,to date, from CWB price , to CWB price , CWB cod ,CWB pct cod, from ICVT price , to ICVT price , ICVT cod ,ICVT pct cod, to ICVT / to CWB , to ICVT / to ICVT , ICVT / CWB moving avg , yday ICVT / CWB moving avg , to CWB unit price , ICVT / ICVT moving avg , yday ICVT / ICVT moving avg , to ICVT unit price ,CWB unit price pct diff,ICVT unit price pct diff,unit price pct diff
0,,8/20/2021,, $84.61 ,,,, $98.00 ,,, 1.158 , 1.000 ,,,,,,,,,
1,8/20/2021,8/23/2021, $84.61 , $85.49 , $0.88 ,1.03%, $98.00 , $99.28 , $1.28 ,1.30%, 1.161 , 1.000 ,,,,,,,,,
2,8/23/2021,8/24/2021, $85.49 , $86.36 , $0.87 ,1.01%, $99.28 , $100.47 , $1.19 ,1.19%, 1.163 , 1.000 ,,,,,,,,,
3,8/24/2021,8/25/2021, $86.36 , $86.79 , $0.43 ,0.50%, $100.47 , $101.03 , $0.56 ,0.56%, 1.164 , 1.000 ,,,,,,,,,
4,8/25/2021,8/26/2021, $86.79 , $86.42 , $(0.37),-0.43%, $101.03 , $100.49 , $(0.54),-0.54%, 1.163 , 1.000 ,,,,,,,,,
5,8/26/2021,8/27/2021, $86.42 , $87.30 , $0.88 ,1.01%, $100.49 , $101.67 , $1.18 ,1.17%, 1.165 , 1.000 ,,,,,,,,,
6,8/27/2021,8/30/2021, $87.30 , $87.27 , $(0.03),-0.03%, $101.67 , $101.85 , $0.18 ,0.18%, 1.167 , 1.000 ,,,,,,,,,
7,8/30/2021,8/31/2021, $87.27 , $87.38 , $0.11 ,0.13%, $101.85 , $101.91 , $0.06 ,0.06%, 1.166 , 1.000 ,,,,,,,,,
8,8/31/2021,9/1/2021, $87.38 , $87.82 , $0.44 ,0.50%, $101.91 , $102.63 , $0.72 ,0.70%, 1.169 , 1.000 ,,,,,,,,,
9,9/1/2021,9/2/2021, $87.82 , $88.11 , $0.29 ,0.33%, $102.63 , $102.95 , $0.32 ,0.31%, 1.168 , 1.000 ,,,,,,,,,
10,9/2/2021,9/3/2021, $88.11 , $88.67 , $0.56 ,0.63%, $102.95 , $103.33 , $0.38 ,0.37%, 1.165 , 1.000 ,,,,,,,,,
11,9/3/2021,9/7/2021, $88.67 , $88.24 , $(0.43),-0.49%, $103.33 , $103.08 , $(0.25),-0.24%, 1.168 , 1.000 ,,,,,,,,,
12,9/7/2021,9/8/2021, $88.24 , $87.74 , $(0.50),-0.57%, $103.08 , $102.19 , $(0.89),-0.87%, 1.165 , 1.000 ,,,,,,,,,
13,9/8/2021,9/9/2021, $87.74 , $87.62 , $(0.12),-0.14%, $102.19 , $102.13 , $(0.06),-0.06%, 1.166 , 1.000 ,,,,,,,,,
14,9/9/2021,9/10/2021, $87.62 , $87.09 , $(0.53),-0.61%, $102.13 , $101.60 , $(0.53),-0.52%, 1.167 , 1.000 ,,,,,,,,,
15,9/10/2021,9/13/2021, $87.09 , $87.11 , $0.02 ,0.02%, $101.60 , $101.42 , $(0.18),-0.18%, 1.164 , 1.000 ,,,,,,,,,
16,9/13/2021,9/14/2021, $87.11 , $86.74 , $(0.37),-0.43%, $101.42 , $101.08 , $(0.34),-0.34%, 1.165 , 1.000 ,,,,,,,,,
