,from date,to date,from BWX price,to BWX price,BWX cod,BWX pct cod,from IGOV price,to IGOV price,IGOV cod,IGOV pct cod,to IGOV / to BWX,to IGOV / to IGOV
0,,2021-08-23,,29.55,,,,52.84,,,1.788155668358714,1.0
1,2021-08-23,2021-08-24,29.55,29.51,-0.03999999999999915,-0.0013545548972591806,52.84,52.9,0.05999999999999517,0.0011348592101290496,1.7926126736699421,1.0
2,2021-08-24,2021-08-25,29.51,29.48,-0.030000000000001137,-0.001017121633712205,52.9,52.74,-0.1599999999999966,-0.003029157939112963,1.789009497964722,1.0
3,2021-08-25,2021-08-26,29.48,29.44,-0.03999999999999915,-0.0013577734604603596,52.74,52.59,-0.14999999999999858,-0.0028481933238877766,1.786345108695652,1.0
4,2021-08-26,2021-08-27,29.44,29.58,0.13999999999999702,0.004744163421978203,52.59,52.88,0.28999999999999915,0.0054992079421781045,1.7876943881000678,1.0
5,2021-08-27,2021-08-30,29.58,29.5,-0.0799999999999983,-0.0027081939368795434,52.88,52.97,0.0899999999999963,0.0017005200130043709,1.795593220338983,1.0
6,2021-08-30,2021-08-31,29.5,29.45,-0.05000000000000071,-0.001696353248178402,52.97,52.74,-0.22999999999999687,-0.004351534631294673,1.7908319185059425,1.0
7,2021-08-31,2021-09-01,29.45,29.57,0.120000000000001,0.004066423766790264,52.74,52.87,0.12999999999999545,0.0024618893222181667,1.7879607710517416,1.0
8,2021-09-01,2021-09-02,29.57,29.59,0.019999999999999574,0.0006761325477325191,52.87,53.05,0.17999999999999972,0.003398794812633248,1.7928354173707333,1.0
9,2021-09-02,2021-09-03,29.59,29.61,0.019999999999999574,0.0006756757013815661,53.05,53.0,-0.04999999999999716,-0.000942951507870236,1.789935832489024,1.0
10,2021-09-03,2021-09-07,29.61,29.43,-0.17999999999999972,-0.006097579868118445,53.0,52.63,-0.36999999999999744,-0.0070056141864342295,1.7883112470268434,1.0
11,2021-09-07,2021-09-08,29.43,29.41,-0.019999999999999574,-0.0006798096794777392,52.63,52.63,0.0,0.0,1.7895273716422986,1.0
12,2021-09-08,2021-09-09,29.41,29.53,0.120000000000001,0.004071943189927587,52.63,52.88,0.25,0.004738896177743205,1.7907213003725027,1.0
13,2021-09-09,2021-09-10,29.53,29.43,-0.10000000000000142,-0.0033921335104499235,52.88,52.69,-0.19000000000000483,-0.0035995113222365817,1.7903499830105334,1.0
14,2021-09-10,2021-09-13,29.43,29.49,0.05999999999999872,0.0020366605818033334,52.69,52.71,0.020000000000003126,0.0003795066459212418,1.787385554425229,1.0
15,2021-09-13,2021-09-14,29.49,29.46,-0.029999999999997584,-0.0010178117927006035,52.71,52.77,0.060000000000002274,0.0011376565504610723,1.7912423625254583,1.0
16,2021-09-14,2021-09-15,29.46,29.45,-0.010000000000001563,-0.0003395009368885229,52.77,52.76,-0.010000000000005116,-0.00018951956846276135,1.7915110356536503,1.0
17,2021-09-15,2021-09-16,29.45,29.31,-0.14000000000000057,-0.004765155374794649,52.76,52.44,-0.3200000000000003,-0.006083668953614753,1.7891504605936541,1.0
18,2021-09-16,2021-09-17,29.31,29.17,-0.13999999999999702,-0.004787970843170915,52.44,52.21,-0.22999999999999687,-0.0043956114730379975,1.7898525882756255,1.0
19,2021-09-17,2021-09-20,29.17,29.26,0.08999999999999986,0.0030806117123481293,52.21,52.33,0.11999999999999744,0.0022957729616553796,1.7884483937115514,1.0
20,2021-09-20,2021-09-21,29.26,29.21,-0.05000000000000071,-0.0017102791923286876,52.33,52.29,-0.03999999999999915,-0.0007646721840771534,1.7901403628894212,1.0
21,2021-09-21,2021-09-22,29.21,29.22,0.00999999999999801,0.0003422899229037016,52.29,52.28,-0.00999999999999801,-0.000191259444017968,1.7891854893908283,1.0
22,2021-09-22,2021-09-23,29.22,29.14,-0.0799999999999983,-0.002741605555494616,52.28,52.16,-0.12000000000000455,-0.002297971137623757,1.7899794097460533,1.0
23,2021-09-23,2021-09-24,29.14,29.0,-0.14000000000000057,-0.004815970780584811,52.16,51.92,-0.23999999999999488,-0.00461184522256282,1.790344827586207,1.0
24,2021-09-24,2021-09-27,29.0,28.98,-0.019999999999999574,-0.0006898930939377307,51.92,51.82,-0.10000000000000142,-0.001927897261870687,1.7881297446514837,1.0
25,2021-09-27,2021-09-28,28.98,28.81,-0.1700000000000017,-0.005883387796099247,51.82,51.49,-0.3299999999999983,-0.006388561075913916,1.7872266574106215,1.0
26,2021-09-28,2021-09-29,28.81,28.6,-0.2099999999999973,-0.007315831270630124,51.49,51.17,-0.3200000000000003,-0.006234191241049525,1.7891608391608391,1.0
27,2021-09-29,2021-09-30,28.6,28.73,0.129999999999999,0.0045351551653911425,51.17,51.35,0.17999999999999972,0.003511513557566871,1.7873303167420815,1.0
28,2021-09-30,2021-10-01,28.73,28.8,0.07000000000000028,0.002433514150702087,51.35,51.5,0.14999999999999858,0.002916871295123189,1.7881944444444444,1.0
29,2021-10-01,2021-10-04,28.8,28.79,-0.010000000000001563,-0.00034728251781579624,51.5,51.55,0.04999999999999716,0.0009704027932785145,1.7905522750955192,1.0
30,2021-10-04,2021-10-05,28.79,28.67,-0.11999999999999744,-0.0041768247288059505,51.55,51.33,-0.21999999999999886,-0.004276833890757088,1.7903732124171605,1.0
31,2021-10-05,2021-10-06,28.67,28.65,-0.020000000000003126,-0.0006978367345299778,51.33,51.21,-0.11999999999999744,-0.002340551097752836,1.7874345549738222,1.0
32,2021-10-06,2021-10-07,28.65,28.62,-0.029999999999997584,-0.0010476690324436888,51.21,51.19,-0.020000000000003126,-0.0003906250049671251,1.788609364081062,1.0
33,2021-10-07,2021-10-08,28.62,28.53,-0.08999999999999986,-0.00314960890289622,51.19,51.12,-0.07000000000000028,-0.0013683904002125425,1.7917981072555202,1.0
34,2021-10-08,2021-10-11,28.53,28.33,-0.20000000000000284,-0.0070348513829835875,51.12,50.86,-0.259999999999998,-0.005099050075305693,1.7952700317684434,1.0
35,2021-10-11,2021-10-12,28.33,28.41,0.08000000000000185,0.00281988202367137,50.86,50.85,-0.00999999999999801,-0.00019663749940453253,1.7898627243928196,1.0
36,2021-10-12,2021-10-13,28.41,28.61,0.1999999999999993,0.007015111195922221,50.85,51.17,0.3200000000000003,0.006273300322431556,1.7885354771059072,1.0
37,2021-10-13,2021-10-14,28.61,28.71,0.10000000000000142,0.0034891870709537133,51.17,51.44,0.269999999999996,0.005262657112363509,1.7917102055033087,1.0
38,2021-10-14,2021-10-15,28.71,28.59,-0.120000000000001,-0.004188487798752135,51.44,51.29,-0.14999999999999858,-0.0029202785281868746,1.793983910458202,1.0
39,2021-10-15,2021-10-18,28.59,28.57,-0.019999999999999574,-0.0006997900915386682,51.29,51.16,-0.13000000000000256,-0.0025378246905352446,1.7906895344767237,1.0
40,2021-10-18,2021-10-19,28.57,28.59,0.019999999999999574,0.0006997900915387318,51.16,51.2,0.04000000000000625,0.0007815553348203104,1.7908359566281917,1.0
41,2021-10-19,2021-10-20,28.59,28.65,0.05999999999999872,0.0020964368265281672,51.2,51.31,0.10999999999999943,0.002146132908411373,1.7909249563699827,1.0
42,2021-10-20,2021-10-21,28.65,28.51,-0.13999999999999702,-0.0048985402361678325,51.31,51.1,-0.21000000000000085,-0.004101167744214678,1.7923535601543317,1.0
