,from date,to date,from CMF price,to CMF price,CMF cod,CMF pct cod,from VTEC price,to VTEC price,VTEC cod,VTEC pct cod,to VTEC / to CMF,to VTEC / to VTEC
0,,2021-08-23,,62.69,,,,,,,,
1,2021-08-23,2021-08-24,62.69,62.68,-0.00999999999999801,-0.00015952779805700646,,,,,,
2,2021-08-24,2021-08-25,62.68,62.65,-0.030000000000001137,-0.0004787361457427894,,,,,,
3,2021-08-25,2021-08-26,62.65,62.63,-0.01999999999999602,-0.00031928480475575745,,,,,,
4,2021-08-26,2021-08-27,62.63,62.64,0.00999999999999801,0.00015965514522615302,,,,,,
5,2021-08-27,2021-08-30,62.64,62.63,-0.00999999999999801,-0.00015965514522619484,,,,,,
6,2021-08-30,2021-08-31,62.63,62.62,-0.010000000000005116,-0.00015968063906193745,,,,,,
7,2021-08-31,2021-09-01,62.62,62.52,-0.09999999999999432,-0.0015982103449836322,,,,,,
8,2021-09-01,2021-09-02,62.52,62.52,0.0,0.0,,,,,,
9,2021-09-02,2021-09-03,62.52,62.47,-0.05000000000000426,-0.0008000640477973998,,,,,,
10,2021-09-03,2021-09-07,62.47,62.32,-0.14999999999999858,-0.0024040399429856485,,,,,,
11,2021-09-07,2021-09-08,62.32,62.5,0.17999999999999972,0.0028841551798629694,,,,,,
12,2021-09-08,2021-09-09,62.5,62.51,0.00999999999999801,0.0001599872013651075,,,,,,
13,2021-09-09,2021-09-10,62.51,62.52,0.010000000000005116,0.00015996160955496257,,,,,,
14,2021-09-10,2021-09-13,62.52,62.53,0.00999999999999801,0.0001599360259307481,,,,,,
15,2021-09-13,2021-09-14,62.53,62.57,0.03999999999999915,0.0006394884310656228,,,,,,
16,2021-09-14,2021-09-15,62.57,62.56,-0.00999999999999801,-0.00015983377321641506,,,,,,
17,2021-09-15,2021-09-16,62.56,62.52,-0.03999999999999915,-0.0006395906837797636,,,,,,
18,2021-09-16,2021-09-17,62.52,62.55,0.02999999999999403,0.0004797313596442441,,,,,,
19,2021-09-17,2021-09-20,62.55,62.6,0.05000000000000426,0.0007990411931327646,,,,,,
20,2021-09-20,2021-09-21,62.6,62.59,-0.00999999999999801,-0.00015975716944267496,,,,,,
21,2021-09-21,2021-09-22,62.59,62.59,0.0,0.0,,,,,,
22,2021-09-22,2021-09-23,62.59,62.4,-0.19000000000000483,-0.0030402455612282254,,,,,,
23,2021-09-23,2021-09-24,62.4,62.4,0.0,0.0,,,,,,
24,2021-09-24,2021-09-27,62.4,62.37,-0.030000000000001137,-0.0004808848373507327,,,,,,
25,2021-09-27,2021-09-28,62.37,62.17,-0.19999999999999574,-0.0032118222567850546,,,,,,
26,2021-09-28,2021-09-29,62.17,62.14,-0.030000000000001137,-0.00048266431634486886,,,,,,
27,2021-09-29,2021-09-30,62.14,62.08,-0.060000000000002274,-0.0009660280899380406,,,,,,
28,2021-09-30,2021-10-01,62.08,62.04,-0.03999999999999915,-0.0006445375666252353,,,,,,
29,2021-10-01,2021-10-04,62.04,62.0,-0.03999999999999915,-0.000644953263246458,,,,,,
30,2021-10-04,2021-10-05,62.0,62.01,0.00999999999999801,0.00016127731669510494,,,,,,
31,2021-10-05,2021-10-06,62.01,62.0,-0.00999999999999801,-0.0001612773166949641,,,,,,
32,2021-10-06,2021-10-07,62.0,61.96,-0.03999999999999915,-0.0006453694964236418,,,,,,
33,2021-10-07,2021-10-08,61.96,61.94,-0.020000000000003126,-0.0003228410036112472,,,,,,
34,2021-10-08,2021-10-11,61.94,61.85,-0.0899999999999963,-0.00145407570655978,,,,,,
35,2021-10-11,2021-10-12,61.85,61.98,0.12999999999999545,0.0020996535211051993,,,,,,
36,2021-10-12,2021-10-13,61.98,61.95,-0.02999999999999403,-0.0004841442844505758,,,,,,
37,2021-10-13,2021-10-14,61.95,62.0,0.04999999999999716,0.00080677696994011,,,,,,
38,2021-10-14,2021-10-15,62.0,61.96,-0.03999999999999915,-0.0006453694964236418,,,,,,
39,2021-10-15,2021-10-18,61.96,61.98,0.01999999999999602,0.0003227368109342872,,,,,,
40,2021-10-18,2021-10-19,61.98,61.93,-0.04999999999999716,-0.0008070374096325566,,,,,,
41,2021-10-19,2021-10-20,61.93,61.96,0.030000000000001137,0.0004843005986982537,,,,,,
42,2021-10-20,2021-10-21,61.96,61.82,-0.14000000000000057,-0.00226207884469767,,,,,,
43,2021-10-21,2021-10-22,61.82,61.83,0.00999999999999801,0.00016174686650714893,,,,,,
44,2021-10-22,2021-10-25,61.83,61.86,0.030000000000001137,0.00048508368644629095,,,,,,
45,2021-10-25,2021-10-26,61.86,61.79,-0.07000000000000028,-0.001132228184035354,,,,,,
46,2021-10-26,2021-10-27,61.79,61.91,0.11999999999999744,0.0019401784582526263,,,,,,
47,2021-10-27,2021-10-28,61.91,61.93,0.020000000000003126,0.0003229974188289304,,,,,,
48,2021-10-28,2021-10-29,61.93,62.0,0.07000000000000028,0.0011296700951220554,,,,,,
49,2021-10-29,2021-11-01,62.0,61.85,-0.14999999999999858,-0.0024222862065946694,,,,,,
50,2021-11-01,2021-11-02,61.85,61.92,0.07000000000000028,0.0011311304429747128,,,,,,
51,2021-11-02,2021-11-03,61.92,62.0,0.0799999999999983,0.0012911557636198078,,,,,,
52,2021-11-03,2021-11-04,62.0,62.04,0.03999999999999915,0.000644953263246597,,,,,,
53,2021-11-04,2021-11-05,62.04,62.1,0.060000000000002274,0.000966650631094974,,,,,,
54,2021-11-05,2021-11-08,62.1,62.14,0.03999999999999915,0.0006439150254681775,,,,,,
55,2021-11-08,2021-11-09,62.14,62.3,0.1599999999999966,0.0025715218285059854,,,,,,
56,2021-11-09,2021-11-10,62.3,62.25,-0.04999999999999716,-0.0008028904485904018,,,,,,
57,2021-11-10,2021-11-11,62.25,62.21,-0.03999999999999915,-0.0006427768178885552,,,,,,
58,2021-11-11,2021-11-12,62.21,62.2,-0.00999999999999801,-0.0001607587817946295,,,,,,
59,2021-11-12,2021-11-15,62.2,62.14,-0.060000000000002274,-0.00096509578023245,,,,,,
60,2021-11-15,2021-11-16,62.14,62.05,-0.09000000000000341,-0.0014493923142851388,,,,,,
61,2021-11-16,2021-11-17,62.05,62.07,0.020000000000003126,0.0003222687749452282,,,,,,
62,2021-11-17,2021-11-18,62.07,62.12,0.04999999999999716,0.0008052178549249732,,,,,,
63,2021-11-18,2021-11-19,62.12,62.22,0.10000000000000142,0.0016084931890046692,,,,,,
64,2021-11-19,2021-11-22,62.22,62.19,-0.030000000000001137,-0.00048227635369307056,,,,,,
65,2021-11-22,2021-11-23,62.19,62.07,-0.11999999999999744,-0.0019314346902365425,,,,,,
66,2021-11-23,2021-11-24,62.07,62.18,0.10999999999999943,0.0017706242050464583,,,,,,
67,2021-11-24,2021-11-26,62.18,62.29,0.10999999999999943,0.0017674946354463666,,,,,,
68,2021-11-26,2021-11-29,62.29,62.3,0.00999999999999801,0.00016052652735332716,,,,,,
69,2021-11-29,2021-11-30,62.3,62.37,0.07000000000000028,0.0011229647446237235,,,,,,
70,2021-11-30,2021-12-01,62.37,62.33,-0.03999999999999915,-0.0006415397172719733,,,,,,
71,2021-12-01,2021-12-02,62.33,62.28,-0.04999999999999716,-0.0008025038549616267,,,,,,
72,2021-12-02,2021-12-03,62.28,62.31,0.030000000000001137,0.0004815795903331083,,,,,,
73,2021-12-03,2021-12-06,62.31,62.24,-0.07000000000000028,-0.001124046685994472,,,,,,
74,2021-12-06,2021-12-07,62.24,62.24,0.0,0.0,,,,,,
75,2021-12-07,2021-12-08,62.24,62.28,0.03999999999999915,0.0006424670956615076,,,,,,
76,2021-12-08,2021-12-09,62.28,62.26,-0.020000000000003126,-0.0003211819523355104,,,,,,
77,2021-12-09,2021-12-10,62.26,62.27,0.010000000000005116,0.0001606038708986153,,,,,,
78,2021-12-10,2021-12-13,62.27,62.36,0.0899999999999963,0.0014442753052151727,,,,,,
79,2021-12-13,2021-12-14,62.36,62.37,0.00999999999999801,0.00016034634845534153,,,,,,
80,2021-12-14,2021-12-15,62.37,62.34,-0.02999999999999403,-0.00048111619884015546,,,,,,
81,2021-12-15,2021-12-16,62.34,62.23,-0.11000000000000654,-0.0017660757580645965,,,,,,
82,2021-12-16,2021-12-17,62.23,62.33,0.10000000000000142,0.0016056522396327862,,,,,,
83,2021-12-17,2021-12-20,62.33,62.31,-0.01999999999999602,-0.0003209242646285654,,,,,,
84,2021-12-20,2021-12-21,62.31,62.27,-0.03999999999999915,-0.0006421576717699656,,,,,,
85,2021-12-21,2021-12-22,62.27,62.3,0.02999999999999403,0.00048165690904678415,,,,,,
86,2021-12-22,2021-12-23,62.3,62.29,-0.00999999999999801,-0.00016052652735324565,,,,,,
87,2021-12-23,2021-12-27,62.29,62.28,-0.00999999999999801,-0.00016055230025649025,,,,,,
88,2021-12-27,2021-12-28,62.28,62.32,0.03999999999999915,0.0006420545966953233,,,,,,
89,2021-12-28,2021-12-29,62.32,62.21,-0.10999999999999943,-0.001766643035564452,,,,,,
90,2021-12-29,2021-12-30,62.21,62.3,0.0899999999999963,0.0014456672664789842,,,,,,
91,2021-12-30,2021-12-31,62.3,62.33,0.030000000000001137,0.0004814250273517044,,,,,,
92,2021-12-31,2022-01-03,62.33,62.27,-0.05999999999999517,-0.0009630819363985342,,,,,,
93,2022-01-03,2022-01-04,62.27,62.19,-0.0800000000000054,-0.0012855537685627584,,,,,,
94,2022-01-04,2022-01-05,62.19,62.13,-0.05999999999999517,-0.0009652510401953091,,,,,,
95,2022-01-05,2022-01-06,62.13,62.02,-0.10999999999999943,-0.0017720504032995923,,,,,,
96,2022-01-06,2022-01-07,62.02,61.98,-0.04000000000000625,-0.0006451613127007591,,,,,,
97,2022-01-07,2022-01-10,61.98,61.8,-0.17999999999999972,-0.0029083878959570812,,,,,,
98,2022-01-10,2022-01-11,61.8,61.74,-0.05999999999999517,-0.0009713453896317809,,,,,,
99,2022-01-11,2022-01-12,61.74,61.73,-0.010000000000005116,-0.00016198266820876235,,,,,,
100,2022-01-12,2022-01-13,61.73,61.74,0.010000000000005116,0.00016198266820881415,,,,,,
101,2022-01-13,2022-01-14,61.74,61.61,-0.13000000000000256,-0.002107824047533905,,,,,,
102,2022-01-14,2022-01-18,61.61,61.41,-0.20000000000000284,-0.0032515066851714837,,,,,,
103,2022-01-18,2022-01-19,61.41,61.41,0.0,0.0,,,,,,
104,2022-01-19,2022-01-20,61.41,61.38,-0.02999999999999403,-0.0004886391497175995,,,,,,
105,2022-01-20,2022-01-21,61.38,61.25,-0.13000000000000256,-0.0021201997667537834,,,,,,
106,2022-01-21,2022-01-24,61.25,61.01,-0.240000000000002,-0.003926064261075359,,,,,,
107,2022-01-24,2022-01-25,61.01,60.97,-0.03999999999999915,-0.0006558452440362748,,,,,,
108,2022-01-25,2022-01-26,60.97,60.76,-0.21000000000000085,-0.00345026219215267,,,,,,
109,2022-01-26,2022-01-27,60.76,60.58,-0.17999999999999972,-0.002966872128480907,,,,,,
110,2022-01-27,2022-01-28,60.58,60.4,-0.17999999999999972,-0.002975700658321945,,,,,,
111,2022-01-28,2022-01-31,60.4,60.45,0.05000000000000426,0.0008274721200323929,,,,,,
112,2022-01-31,2022-02-01,60.45,60.56,0.10999999999999943,0.0018180320683916073,,,,,,
113,2022-02-01,2022-02-02,60.56,60.68,0.11999999999999744,0.0019795453511381764,,,,,,
114,2022-02-02,2022-02-03,60.68,60.78,0.10000000000000142,0.0016466330083156056,,,,,,
115,2022-02-03,2022-02-04,60.78,60.59,-0.18999999999999773,-0.003130924531749336,,,,,,
116,2022-02-04,2022-02-07,60.59,60.69,0.09999999999999432,0.0016490768908660096,,,,,,
117,2022-02-07,2022-02-08,60.69,60.49,-0.19999999999999574,-0.0033008777289408966,,,,,,
118,2022-02-08,2022-02-09,60.49,60.51,0.01999999999999602,0.0003305785154071668,,,,,,
119,2022-02-09,2022-02-10,60.51,60.08,-0.4299999999999997,-0.0071316331783507735,,,,,,
120,2022-02-10,2022-02-11,60.08,60.08,0.0,0.0,,,,,,
121,2022-02-11,2022-02-14,60.08,59.94,-0.14000000000000057,-0.0023329455673622036,,,,,,
122,2022-02-14,2022-02-15,59.94,59.85,-0.0899999999999963,-0.0015026298845349075,,,,,,
123,2022-02-15,2022-02-16,59.85,59.85,0.0,0.0,,,,,,
124,2022-02-16,2022-02-17,59.85,60.08,0.22999999999999687,0.003835575451897183,,,,,,
125,2022-02-17,2022-02-18,60.08,60.09,0.010000000000005116,0.00016643088995728375,,,,,,
126,2022-02-18,2022-02-22,60.09,60.1,0.00999999999999801,0.000166403195325181,,,,,,
127,2022-02-22,2022-02-23,60.1,60.08,-0.020000000000003126,-0.0003328340852826127,,,,,,
128,2022-02-23,2022-02-24,60.08,60.14,0.060000000000002274,0.0009981701045037742,,,,,,
129,2022-02-24,2022-02-25,60.14,60.12,-0.020000000000003126,-0.00033261267560928887,,,,,,
130,2022-02-25,2022-02-28,60.12,60.17,0.05000000000000426,0.0008313243474866073,,,,,,
131,2022-02-28,2022-03-01,60.17,60.29,0.11999999999999744,0.001992363269053744,,,,,,
132,2022-03-01,2022-03-02,60.29,60.11,-0.17999999999999972,-0.002990035450243495,,,,,,
133,2022-03-02,2022-03-03,60.11,60.06,-0.04999999999999716,-0.0008321544958863788,,,,,,
134,2022-03-03,2022-03-04,60.06,60.02,-0.03999999999999915,-0.0006662225429631394,,,,,,
135,2022-03-04,2022-03-07,60.02,59.92,-0.10000000000000142,-0.001667500803257047,,,,,,
136,2022-03-07,2022-03-08,59.92,59.63,-0.28999999999999915,-0.0048515360739495115,,,,,,
137,2022-03-08,2022-03-09,59.63,59.56,-0.07000000000000028,-0.001174595319206269,,,,,,
138,2022-03-09,2022-03-10,59.56,59.42,-0.14000000000000057,-0.0023533377813466805,,,,,,
139,2022-03-10,2022-03-11,59.42,59.35,-0.07000000000000028,-0.0011787489787845812,,,,,,
140,2022-03-11,2022-03-14,59.35,58.75,-0.6000000000000014,-0.010160968031408705,,,,,,
141,2022-03-14,2022-03-15,58.75,58.75,0.0,0.0,,,,,,
142,2022-03-15,2022-03-16,58.75,58.86,0.10999999999999943,0.0018705897810583185,,,,,,
143,2022-03-16,2022-03-17,58.86,58.98,0.11999999999999744,0.0020366605818033334,,,,,,
144,2022-03-17,2022-03-18,58.98,59.02,0.04000000000000625,0.0006779661276632754,,,,,,
145,2022-03-18,2022-03-21,59.02,58.71,-0.3100000000000023,-0.005266299438698865,,,,,,
146,2022-03-21,2022-03-22,58.71,58.62,-0.09000000000000341,-0.0015341347933482505,,,,,,
147,2022-03-22,2022-03-23,58.62,58.56,-0.05999999999999517,-0.0010240656296901457,,,,,,
148,2022-03-23,2022-03-24,58.56,58.4,-0.1600000000000037,-0.00273597981887486,,,,,,
149,2022-03-24,2022-03-25,58.4,58.19,-0.21000000000000085,-0.00360237116560278,,,,,,
150,2022-03-25,2022-03-28,58.19,58.05,-0.14000000000000057,-0.002408810524678117,,,,,,
151,2022-03-28,2022-03-29,58.05,58.08,0.030000000000001137,0.000516662372640205,,,,,,
152,2022-03-29,2022-03-30,58.08,58.2,0.12000000000000455,0.002063984220851649,,,,,,
153,2022-03-30,2022-03-31,58.2,58.18,-0.020000000000003126,-0.000343701670336564,,,,,,
154,2022-03-31,2022-04-01,58.18,58.09,-0.0899999999999963,-0.001548121062614334,,,,,,
155,2022-04-01,2022-04-04,58.09,58.06,-0.030000000000001137,-0.0005165734079573211,,,,,,
156,2022-04-04,2022-04-05,58.06,57.88,-0.17999999999999972,-0.003105056833200687,,,,,,
157,2022-04-05,2022-04-06,57.88,57.73,-0.15000000000000568,-0.002594932690441023,,,,,,
158,2022-04-06,2022-04-07,57.73,57.59,-0.13999999999999346,-0.002428027554261133,,,,,,
159,2022-04-07,2022-04-08,57.59,57.38,-0.21000000000000085,-0.003653130965362307,,,,,,
160,2022-04-08,2022-04-11,57.38,57.08,-0.30000000000000426,-0.005242017944583113,,,,,,
161,2022-04-11,2022-04-12,57.08,57.11,0.030000000000001137,0.000525440068136004,,,,,,
162,2022-04-12,2022-04-13,57.11,57.0,-0.10999999999999943,-0.0019279648422214212,,,,,,
163,2022-04-13,2022-04-14,57.0,56.75,-0.25,-0.004395611473038109,,,,,,
164,2022-04-14,2022-04-18,56.75,56.62,-0.13000000000000256,-0.0022933766777585183,,,,,,
165,2022-04-18,2022-04-19,56.62,56.39,-0.22999999999999687,-0.004070441864662717,,,,,,
166,2022-04-19,2022-04-20,56.39,56.68,0.28999999999999915,0.005129577003388842,,,,,,
167,2022-04-20,2022-04-21,56.68,56.55,-0.13000000000000256,-0.002296212260350268,,,,,,
168,2022-04-21,2022-04-22,56.55,56.51,-0.03999999999999915,-0.0007075889203775159,,,,,,
169,2022-04-22,2022-04-25,56.51,56.48,-0.030000000000001137,-0.0005310204567653163,,,,,,
170,2022-04-25,2022-04-26,56.48,56.45,-0.02999999999999403,-0.0005313025893155323,,,,,,
171,2022-04-26,2022-04-27,56.45,56.54,0.0899999999999963,0.0015930616697732165,,,,,,
172,2022-04-27,2022-04-28,56.54,56.49,-0.04999999999999716,-0.0008847209282734752,,,,,,
173,2022-04-28,2022-04-29,56.49,56.39,-0.10000000000000142,-0.001771793518079962,,,,,,
174,2022-04-29,2022-05-02,56.39,56.18,-0.21000000000000085,-0.003731016142993201,,,,,,
175,2022-05-02,2022-05-03,56.18,56.19,0.00999999999999801,0.00017798344800926263,,,,,,
176,2022-05-03,2022-05-04,56.19,56.27,0.0800000000000054,0.001422728321080979,,,,,,
177,2022-05-04,2022-05-05,56.27,56.16,-0.11000000000000654,-0.001956773727632067,,,,,,
178,2022-05-05,2022-05-06,56.16,55.85,-0.30999999999999517,-0.005535234202345907,,,,,,
179,2022-05-06,2022-05-09,55.85,55.77,-0.0799999999999983,-0.001433435113747399,,,,,,
180,2022-05-09,2022-05-10,55.77,55.7,-0.07000000000000028,-0.0012559434682239677,,,,,,
181,2022-05-10,2022-05-11,55.7,55.66,-0.04000000000000625,-0.0007183908354937447,,,,,,
182,2022-05-11,2022-05-12,55.66,55.62,-0.03999999999999915,-0.0007189072919259702,,,,,,
183,2022-05-12,2022-05-13,55.62,55.54,-0.0799999999999983,-0.001439366927165218,,,,,,
184,2022-05-13,2022-05-16,55.54,55.62,0.0799999999999983,0.0014393669271652843,,,,,,
185,2022-05-16,2022-05-17,55.62,55.41,-0.21000000000000085,-0.003782765926560475,,,,,,
186,2022-05-17,2022-05-18,55.41,55.47,0.060000000000002274,0.0010822511878848297,,,,,,
187,2022-05-18,2022-05-19,55.47,55.6,0.13000000000000256,0.002340867189393541,,,,,,
188,2022-05-19,2022-05-20,55.6,55.78,0.17999999999999972,0.003232180942806094,,,,,,
189,2022-05-20,2022-05-23,55.78,55.94,0.1599999999999966,0.002864305574470692,,,,,,
190,2022-05-23,2022-05-24,55.94,56.46,0.5200000000000031,0.009252735051529761,,,,,,
191,2022-05-24,2022-05-25,56.46,56.88,0.4200000000000017,0.0074113626696422335,,,,,,
192,2022-05-25,2022-05-26,56.88,57.08,0.19999999999999574,0.003510007113650151,,,,,,
193,2022-05-26,2022-05-27,57.08,57.4,0.3200000000000003,0.005590510716884967,,,,,,
194,2022-05-27,2022-05-31,57.4,57.43,0.030000000000001137,0.0005225115506845126,,,,,,
195,2022-05-31,2022-06-01,57.43,57.44,0.00999999999999801,0.00017410986376346693,,,,,,
196,2022-06-01,2022-06-02,57.44,57.54,0.10000000000000142,0.001739433383433195,,,,,,
197,2022-06-02,2022-06-03,57.54,57.45,-0.0899999999999963,-0.0015653538286371077,,,,,,
198,2022-06-03,2022-06-06,57.45,57.32,-0.13000000000000256,-0.002265401334793658,,,,,,
199,2022-06-06,2022-06-07,57.32,57.35,0.030000000000001137,0.0005232406154085672,,,,,,
200,2022-06-07,2022-06-08,57.35,57.13,-0.21999999999999886,-0.003843470839008535,,,,,,
201,2022-06-08,2022-06-09,57.13,56.86,-0.2700000000000031,-0.004737266513517444,,,,,,
202,2022-06-09,2022-06-10,56.86,56.56,-0.29999999999999716,-0.005290084634536341,,,,,,
203,2022-06-10,2022-06-13,56.56,55.37,-1.1900000000000048,-0.02126409075344164,,,,,,
204,2022-06-13,2022-06-14,55.37,55.46,0.09000000000000341,0.0016241093527561209,,,,,,
205,2022-06-14,2022-06-15,55.46,55.79,0.3299999999999983,0.005932601669804977,,,,,,
206,2022-06-15,2022-06-16,55.79,55.8,0.00999999999999801,0.00017922752982827125,,,,,,
207,2022-06-16,2022-06-17,55.8,55.78,-0.01999999999999602,-0.0003584871879223296,,,,,,
208,2022-06-17,2022-06-21,55.78,55.53,-0.25,-0.00449196694582705,,,,,,
209,2022-06-21,2022-06-22,55.53,55.86,0.3299999999999983,0.005925145263514868,,,,,,
210,2022-06-22,2022-06-23,55.86,55.96,0.10000000000000142,0.001788589280249842,,,,,,
211,2022-06-23,2022-06-24,55.96,56.16,0.19999999999999574,0.0035676099202752473,,,,,,
212,2022-06-24,2022-06-27,56.16,56.01,-0.14999999999999858,-0.002674513495814733,,,,,,
213,2022-06-27,2022-06-28,56.01,56.03,0.020000000000003126,0.00035701535545230043,,,,,,
214,2022-06-28,2022-06-29,56.03,56.25,0.21999999999999886,0.003918779507336287,,,,,,
215,2022-06-29,2022-06-30,56.25,56.46,0.21000000000000085,0.003726381740813787,,,,,,
216,2022-06-30,2022-07-01,56.46,56.46,0.0,0.0,,,,,,
217,2022-07-01,2022-07-05,56.46,56.62,0.1599999999999966,0.0028298568584102044,,,,,,
218,2022-07-05,2022-07-06,56.62,56.65,0.030000000000001137,0.0005297077902618805,,,,,,
219,2022-07-06,2022-07-07,56.65,56.73,0.0799999999999983,0.0014111838644604799,,,,,,
220,2022-07-07,2022-07-08,56.73,56.71,-0.01999999999999602,-0.00035260931253911095,,,,,,
221,2022-07-08,2022-07-11,56.71,56.85,0.14000000000000057,0.002465658170608319,,,,,,
222,2022-07-11,2022-07-12,56.85,57.04,0.18999999999999773,0.003336555909495432,,,,,,
223,2022-07-12,2022-07-13,57.04,57.14,0.10000000000000142,0.0017516206965864957,,,,,,
224,2022-07-13,2022-07-14,57.14,57.16,0.01999999999999602,0.00034995625903964386,,,,,,
225,2022-07-14,2022-07-15,57.16,57.15,-0.00999999999999801,-0.0001749628208469236,,,,,,
226,2022-07-15,2022-07-18,57.15,57.11,-0.03999999999999915,-0.0007001575640481316,,,,,,
227,2022-07-18,2022-07-19,57.11,57.15,0.03999999999999915,0.0007001575640481417,,,,,,
228,2022-07-19,2022-07-20,57.15,57.2,0.05000000000000426,0.0008745081449325757,,,,,,
229,2022-07-20,2022-07-21,57.2,57.25,0.04999999999999716,0.0008737440485967712,,,,,,
230,2022-07-21,2022-07-22,57.25,57.52,0.2700000000000031,0.0047050709784423675,,,,,,
231,2022-07-22,2022-07-25,57.52,57.29,-0.23000000000000398,-0.004006624992304925,,,,,,
232,2022-07-25,2022-07-26,57.29,57.4,0.10999999999999943,0.001918214905034214,,,,,,
233,2022-07-26,2022-07-27,57.4,57.53,0.13000000000000256,0.002262247549681313,,,,,,
234,2022-07-27,2022-07-28,57.53,57.77,0.240000000000002,0.004163058917972073,,,,,,
235,2022-07-28,2022-07-29,57.77,57.79,0.01999999999999602,0.0003461405365123626,,,,,,
236,2022-07-29,2022-08-01,57.79,57.86,0.07000000000000028,0.001210549218302454,,,,,,
237,2022-08-01,2022-08-02,57.86,57.75,-0.10999999999999943,-0.0019029501460860756,,,,,,
238,2022-08-02,2022-08-03,57.75,57.95,0.20000000000000284,0.0034572203838579424,,,,,,
239,2022-08-03,2022-08-04,57.95,57.98,0.02999999999999403,0.000517553707748726,,,,,,
240,2022-08-04,2022-08-05,57.98,57.69,-0.28999999999999915,-0.005014275224711413,,,,,,
241,2022-08-05,2022-08-08,57.69,57.75,0.060000000000002274,0.0010395011331048442,,,,,,
242,2022-08-08,2022-08-09,57.75,57.73,-0.020000000000003126,-0.0003463803290607943,,,,,,
243,2022-08-09,2022-08-10,57.73,57.83,0.10000000000000142,0.001730703097284631,,,,,,
244,2022-08-10,2022-08-11,57.83,57.69,-0.14000000000000057,-0.0024238239013288413,,,,,,
245,2022-08-11,2022-08-12,57.69,57.84,0.15000000000000568,0.0025967295817113565,,,,,,
246,2022-08-12,2022-08-15,57.84,57.84,0.0,0.0,,,,,,
247,2022-08-15,2022-08-16,57.84,57.74,-0.10000000000000142,-0.0017304036157202054,,,,,,
248,2022-08-16,2022-08-17,57.74,57.34,-0.3999999999999986,-0.006951713779565261,,,,,,
249,2022-08-17,2022-08-18,57.34,57.26,-0.0800000000000054,-0.001396160785254836,,,,,,
