,from date,to date,from CWB price,to CWB price,CWB cod,CWB pct cod,from ICVT price,to ICVT price,ICVT cod,ICVT pct cod,to ICVT / to CWB,to ICVT / to ICVT,ICVT / CWB moving avg,yday ICVT / CWB moving avg,to CWB unit price,ICVT / ICVT moving avg,yday ICVT / ICVT moving avg,to ICVT unit price,CWB unit price pct diff,ICVT unit price pct diff,unit price pct diff,go long,exit long,current_position,new_position
0,2026-01-02,2026-01-05,90.55,91.53,0.98,0.0108,100.03,100.93,0.9,0.009,1.103,1,,,,,,,,,,False,False,0,0
1,2026-01-05,2026-01-06,91.53,92.69,1.16,0.0126,100.93,102.18,1.25,0.0123,1.102,1,,,,,,,,,,False,False,0,0
2,2026-01-06,2026-01-07,92.69,92.1,-0.59,-0.0064,102.18,101.62,-0.56,-0.0055,1.103,1,,,,,,,,,,False,False,0,0
3,2026-01-07,2026-01-08,92.1,91.83,-0.27,-0.0029,101.62,101.2,-0.42,-0.0041,1.102,1,,,,,,,,,,False,False,0,0
4,2026-01-08,2026-01-09,91.83,92.3,0.47,0.0051,101.2,101.65,0.45,0.0044,1.101,1,,,,,,,,,,False,False,0,0
5,2026-01-09,2026-01-12,92.3,93.13,0.83,0.009,101.65,102.63,0.98,0.0096,1.102,1,,,,,,,,,,False,False,0,0
6,2026-01-12,2026-01-13,93.13,93.34,0.21,0.0023,102.63,102.88,0.25,0.0024,1.102,1,,,,,,,,,,False,False,0,0
7,2026-01-13,2026-01-14,93.34,93.42,0.08,0.0009,102.88,102.73,-0.15,-0.0015,1.1,1,,,,,,,,,,False,False,0,0
8,2026-01-14,2026-01-15,93.42,93.62,0.2,0.0021,102.73,103.12,0.39,0.0038,1.101,1,,,,,,,,,,False,False,0,0
9,2026-01-15,2026-01-16,93.62,93.89,0.27,0.0029,103.12,103.52,0.4,0.0039,1.103,1,,,,,,,,,,False,False,0,0
10,2026-01-16,2026-01-20,93.89,93.11,-0.78,-0.0083,103.52,102.81,-0.71,-0.0069,1.104,1,,,,,,,,,,False,False,0,0
11,2026-01-20,2026-01-21,93.11,93.84,0.73,0.0078,102.81,103.55,0.74,0.0072,1.103,1,,,,,,,,,,False,False,0,0
12,2026-01-21,2026-01-22,93.84,94.22,0.38,0.004,103.55,103.93,0.38,0.0037,1.103,1,,,,,,,,,,False,False,0,0
13,2026-01-22,2026-01-23,94.22,93.89,-0.33,-0.0035,103.93,103.78,-0.15,-0.0014,1.105,1,,,,,,,,,,False,False,0,0
14,2026-01-23,2026-01-26,93.89,93.7,-0.19,-0.002,103.78,103.64,-0.14,-0.0013,1.106,1,,,,,,,,,,False,False,0,0
15,2026-01-26,2026-01-27,93.7,94.91,1.21,0.0128,103.64,105.0,1.36,0.013,1.106,1,,,,,,,,,,False,False,0,0
16,2026-01-27,2026-01-28,94.91,95.73,0.82,0.0086,105.0,105.91,0.91,0.0086,1.106,1,,,,,,,,,,False,False,0,0
17,2026-01-28,2026-01-29,95.73,94.82,-0.91,-0.0096,105.91,105.08,-0.83,-0.0079,1.108,1,,,,,,,,,,False,False,0,0
18,2026-01-29,2026-01-30,94.82,93.4,-1.42,-0.0151,105.08,103.52,-1.56,-0.015,1.108,1,,,,,,,,,,False,False,0,0
19,2026-01-30,2026-02-02,93.4,93.82,0.42,0.0045,103.52,103.98,0.46,0.0044,1.108,1,,,,,,,,,,False,False,0,0
