,from date,to date,from CWB price,to CWB price,CWB cod,CWB pct cod,from ICVT price,to ICVT price,ICVT cod,ICVT pct cod,to ICVT / to CWB,to ICVT / to ICVT,ICVT / CWB moving avg,yday ICVT / CWB moving avg,to CWB unit price,ICVT / ICVT moving avg,yday ICVT / ICVT moving avg,to ICVT unit price,CWB unit price pct diff,ICVT unit price pct diff,unit price pct diff,go long,exit long,current_position,new_position,ICVT shares per unit,CWB shares per unit,CWB target shares,CWB current shares,CWB investment amount,CWB shares to trade,CWB shares to buy,CWB shares to sell,CWB daily commission,CWB daily profit,ICVT target shares,ICVT current shares,ICVT investment amount,ICVT shares to trade,ICVT shares to buy,ICVT shares to sell,ICVT daily commission,ICVT daily profit,gross investment amount,net investment amount,daily commission,daily gross profit,daily net profit,cumulative net profit,drawdown,total net profit,average daily investment,annualized return on avg investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
0,2026-01-02,2026-01-05,90.55,91.53,0.98,0.0108,100.03,100.93,0.9,0.009,1.103,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
1,2026-01-05,2026-01-06,91.53,92.69,1.16,0.0126,100.93,102.18,1.25,0.0123,1.102,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
2,2026-01-06,2026-01-07,92.69,92.1,-0.59,-0.0064,102.18,101.62,-0.56,-0.0055,1.103,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
3,2026-01-07,2026-01-08,92.1,91.83,-0.27,-0.0029,101.62,101.2,-0.42,-0.0041,1.102,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
4,2026-01-08,2026-01-09,91.83,92.3,0.47,0.0051,101.2,101.65,0.45,0.0044,1.101,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
5,2026-01-09,2026-01-12,92.3,93.13,0.83,0.009,101.65,102.63,0.98,0.0096,1.102,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
6,2026-01-12,2026-01-13,93.13,93.34,0.21,0.0023,102.63,102.88,0.25,0.0024,1.102,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
7,2026-01-13,2026-01-14,93.34,93.42,0.08,0.0009,102.88,102.73,-0.15,-0.0015,1.1,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
8,2026-01-14,2026-01-15,93.42,93.62,0.2,0.0021,102.73,103.12,0.39,0.0038,1.101,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
9,2026-01-15,2026-01-16,93.62,93.89,0.27,0.0029,103.12,103.52,0.4,0.0039,1.103,1,,,,,,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.8399999999992,132074.57403225804,0.035218841949480786,1.5482392958062605,-959.6350000000007,30,56256.0
