,from date,to date, from CWB price , to CWB price , CWB cod ,CWB pct cod, from ICVT price , to ICVT price , ICVT cod ,ICVT pct cod, to ICVT / to CWB , to ICVT / to ICVT , ICVT / CWB moving avg , yday ICVT / CWB moving avg , to CWB unit price , ICVT / ICVT moving avg , yday ICVT / ICVT moving avg , to ICVT unit price ,CWB unit price pct diff,ICVT unit price pct diff,unit price pct diff
0,,8/20/2021,,84.61,,,,98,,,1.158,1,,,,,,,,,
1,8/20/2021,8/23/2021,84.61,85.49,0.88,0.0103,98,99.28,1.28,0.013,1.161,1,,,,,,,,,
2,8/23/2021,8/24/2021,85.49,86.36,0.87,0.0101,99.28,100.47,1.19,0.0119,1.163,1,,,,,,,,,
3,8/24/2021,8/25/2021,86.36,86.79,0.43,0.005,100.47,101.03,0.56,0.0056,1.164,1,,,,,,,,,
4,8/25/2021,8/26/2021,86.79,86.42,-0.37,-0.0043,101.03,100.49,-0.54,-0.0054,1.163,1,,,,,,,,,
5,8/26/2021,8/27/2021,86.42,87.3,0.88,0.0101,100.49,101.67,1.18,0.0117,1.165,1,,,,,,,,,
6,8/27/2021,8/30/2021,87.3,87.27,-0.03,-0.0003,101.67,101.85,0.18,0.0018,1.167,1,,,,,,,,,
7,8/30/2021,8/31/2021,87.27,87.38,0.11,0.0013,101.85,101.91,0.06,0.0006,1.166,1,,,,,,,,,
8,8/31/2021,9/1/2021,87.38,87.82,0.44,0.005,101.91,102.63,0.72,0.007,1.169,1,,,,,,,,,
9,9/1/2021,9/2/2021,87.82,88.11,0.29,0.0033,102.63,102.95,0.32,0.0031,1.168,1,,,,,,,,,
10,9/2/2021,9/3/2021,88.11,88.67,0.56,0.0063,102.95,103.33,0.38,0.0037,1.165,1,,,,,,,,,
11,9/3/2021,9/7/2021,88.67,88.24,-0.43,-0.0049,103.33,103.08,-0.25,-0.0024,1.168,1,,,,,,,,,
12,9/7/2021,9/8/2021,88.24,87.74,-0.5,-0.0057,103.08,102.19,-0.89,-0.0087,1.165,1,,,,,,,,,
13,9/8/2021,9/9/2021,87.74,87.62,-0.12,-0.0014,102.19,102.13,-0.06,-0.0006,1.166,1,,,,,,,,,
14,9/9/2021,9/10/2021,87.62,87.09,-0.53,-0.0061,102.13,101.6,-0.53,-0.0052,1.167,1,,,,,,,,,
15,9/10/2021,9/13/2021,87.09,87.11,0.02,0.0002,101.6,101.42,-0.18,-0.0018,1.164,1,,,,,,,,,
16,9/13/2021,9/14/2021,87.11,86.74,-0.37,-0.0043,101.42,101.08,-0.34,-0.0034,1.165,1,,,,,,,,,
17,9/14/2021,9/15/2021,86.74,87.18,0.44,0.0051,101.08,101.53,0.45,0.0044,1.165,1,,,,,,,,,
18,9/15/2021,9/16/2021,87.18,87.39,0.21,0.0024,101.53,101.86,0.33,0.0032,1.166,1,,,,,,,,,
19,9/16/2021,9/17/2021,87.39,87.48,0.09,0.001,101.86,101.98,0.12,0.0012,1.166,1,1.165,,,1,,,,,
20,9/17/2021,9/20/2021,87.48,86.26,-1.22,-0.014,101.98,100.68,-1.3,-0.0128,1.167,1,1.165,1.165,100.5,1,1,100.68,-0.0018,0,-0.0018
21,9/20/2021,9/21/2021,86.26,86.42,0.16,0.0019,100.68,100.86,0.18,0.0018,1.167,1,1.166,1.165,100.72,1,1,100.86,-0.0014,0,-0.0014
22,9/21/2021,9/22/2021,86.42,87.24,0.82,0.0094,100.86,101.92,1.06,0.0105,1.168,1,1.166,1.166,101.7,1,1,101.92,-0.0021,0,-0.0021
23,9/22/2021,9/23/2021,87.24,87.93,0.69,0.0079,101.92,102.74,0.82,0.008,1.168,1,1.166,1.166,102.53,1,1,102.74,-0.0021,0,-0.0021
24,9/23/2021,9/24/2021,87.93,87.82,-0.11,-0.0013,102.74,102.72,-0.02,-0.0002,1.17,1,1.167,1.166,102.42,1,1,102.72,-0.0029,0,-0.0029
25,9/24/2021,9/27/2021,87.82,87.53,-0.29,-0.0033,102.72,102.57,-0.15,-0.0015,1.172,1,1.167,1.167,102.11,1,1,102.57,-0.0045,0,-0.0045
26,9/27/2021,9/28/2021,87.53,85.75,-1.78,-0.0205,102.57,100.41,-2.16,-0.0213,1.171,1,1.167,1.167,100.07,1,1,100.41,-0.0034,0,-0.0034
27,9/28/2021,9/29/2021,85.75,85.34,-0.41,-0.0048,100.41,99.67,-0.74,-0.0074,1.168,1,1.167,1.167,99.6,1,1,99.67,-0.0007,0,-0.0007
28,9/29/2021,9/30/2021,85.34,85.35,0.01,0.0001,99.67,99.74,0.07,0.0007,1.169,1,1.167,1.167,99.62,1,1,99.74,-0.0012,0,-0.0012
29,9/30/2021,10/1/2021,85.35,85.78,0.43,0.005,99.74,100.58,0.84,0.0084,1.173,1,1.167,1.167,100.12,1,1,100.58,-0.0045,0,-0.0045
30,10/1/2021,10/4/2021,85.78,84.53,-1.25,-0.0147,100.58,99.04,-1.54,-0.0154,1.172,1,1.168,1.167,98.68,1,1,99.04,-0.0036,0,-0.0036
31,10/4/2021,10/5/2021,84.53,85.18,0.65,0.0077,99.04,99.63,0.59,0.0059,1.17,1,1.168,1.168,99.47,1,1,99.63,-0.0016,0,-0.0016
32,10/5/2021,10/6/2021,85.18,85.43,0.25,0.0029,99.63,99.73,0.1,0.001,1.167,1,1.168,1.168,99.77,1,1,99.73,0.0004,0,0.0004
33,10/6/2021,10/7/2021,85.43,86.09,0.66,0.0077,99.73,101.01,1.28,0.0128,1.173,1,1.168,1.168,100.55,1,1,101.01,-0.0046,0,-0.0046
34,10/7/2021,10/8/2021,86.09,85.68,-0.41,-0.0048,101.01,100.3,-0.71,-0.0071,1.171,1,1.169,1.168,100.1,1,1,100.3,-0.002,0,-0.002
35,10/8/2021,10/11/2021,85.68,85.2,-0.48,-0.0056,100.3,99.83,-0.47,-0.0047,1.172,1,1.169,1.169,99.56,1,1,99.83,-0.0027,0,-0.0027
36,10/11/2021,10/12/2021,85.2,85.81,0.61,0.0071,99.83,100.55,0.72,0.0072,1.172,1,1.169,1.169,100.3,1,1,100.55,-0.0025,0,-0.0025
37,10/12/2021,10/13/2021,85.81,86.42,0.61,0.0071,100.55,101.42,0.87,0.0086,1.174,1,1.17,1.169,101.04,1,1,101.42,-0.0037,0,-0.0037
38,10/13/2021,10/14/2021,86.42,87.21,0.79,0.0091,101.42,102.06,0.64,0.0063,1.17,1,1.17,1.17,102.01,1,1,102.06,-0.0005,0,-0.0005
39,10/14/2021,10/15/2021,87.21,87.33,0.12,0.0014,102.06,102.22,0.16,0.0016,1.171,1,1.17,1.17,102.17,1,1,102.22,-0.0005,0,-0.0005
40,10/15/2021,10/18/2021,87.33,87.54,0.21,0.0024,102.22,102.44,0.22,0.0021,1.17,1,1.17,1.17,102.43,1,1,102.44,-0.0001,0,-0.0001
