,from date,to date,from SCHH price,to SCHH price,SCHH cod,SCHH pct cod,from USRT price,to USRT price,USRT cod,USRT pct cod,to USRT / to SCHH,to USRT / to USRT,USRT / SCHH moving avg,yday USRT / SCHH moving avg,to SCHH unit price,USRT / USRT moving avg,yday USRT / USRT moving avg,to USRT unit price,SCHH unit price pct diff,USRT unit price pct diff,unit price pct diff
0,,2021-08-23,,23.91,,,,60.84,,,2.544542032622334,1.0,,,,,,,,,
1,2021-08-23,2021-08-24,23.91,23.785,-0.125,-0.0052416515859885,60.84,60.61,-0.2300000000000039,-0.0037875714278984,2.5482446920327937,1.0,,,,,,,,,
2,2021-08-24,2021-08-25,23.785,23.77,-0.0150000000000005,-0.0006308485121422,60.61,60.65,0.0399999999999991,0.0006597394268654,2.551535549011359,1.0,,,,,,,,,
3,2021-08-25,2021-08-26,23.77,23.79,0.0199999999999995,0.0008410429427637,60.65,60.75,0.1000000000000014,0.0016474468305987,2.5535939470365703,1.0,,,,,,,,,
4,2021-08-26,2021-08-27,23.79,24.035,0.245000000000001,0.0102457770310578,60.75,61.37,0.6199999999999974,0.0101540341803478,2.5533596837944663,1.0,,,,,,,,,
5,2021-08-27,2021-08-30,24.035,24.275,0.2399999999999984,0.0099359128314645,61.37,61.86,0.490000000000002,0.007952650855918,2.5483007209062825,1.0,,,,,,,,,
6,2021-08-30,2021-08-31,24.275,24.4,0.125,0.0051361181217674,61.86,62.26,0.3999999999999986,0.0064453977565385,2.5516393442622958,1.0,,,,,,,,,
7,2021-08-31,2021-09-01,24.4,24.78,0.3800000000000025,0.0154537439018402,62.26,63.15,0.8900000000000006,0.014193683783038,2.548426150121065,1.0,,,,,,,,,
8,2021-09-01,2021-09-02,24.78,24.92,0.1400000000000005,0.005633817718256,63.15,63.49,0.3400000000000034,0.0053695643858583,2.547752808988764,1.0,,,,,,,,,
9,2021-09-02,2021-09-03,24.92,24.915,-0.0050000000000025,-0.0002006621858845,63.49,63.49,0.0,0.0,2.5482640979329725,1.0,,,,,,,,,
10,2021-09-03,2021-09-07,24.915,24.63,-0.2850000000000001,-0.0115048196009212,63.49,62.7,-0.7899999999999991,-0.0125209655434834,2.5456760048721074,1.0,,,,,,,,,
11,2021-09-07,2021-09-08,24.63,24.77,0.1400000000000005,0.0056680313688216,62.7,63.1,0.3999999999999986,0.0063593219082924,2.547436415018167,1.0,,,,,,,,,
12,2021-09-08,2021-09-09,24.77,24.25,-0.5199999999999996,-0.0212166261177759,63.1,61.74,-1.3599999999999994,-0.0217887504731542,2.545979381443299,1.0,,,,,,,,,
13,2021-09-09,2021-09-10,24.25,23.89,-0.3599999999999994,-0.0149566560457739,61.74,60.86,-0.8800000000000026,-0.0143558746051882,2.5475094181665967,1.0,,,,,,,,,
14,2021-09-10,2021-09-13,23.89,24.075,0.1849999999999987,0.007713996346471,60.86,61.33,0.4699999999999988,0.0076929751690672,2.5474558670820358,1.0,,,,,,,,,
15,2021-09-13,2021-09-14,24.075,24.025,-0.0500000000000007,-0.0020790028278331,61.33,61.11,-0.2199999999999988,-0.0035936007310681,2.5436004162330907,1.0,,,,,,,,,
16,2021-09-14,2021-09-15,24.025,24.075,0.0500000000000007,0.0020790028278331,61.11,61.31,0.2000000000000028,0.0032674428677724,2.5466251298027003,1.0,,,,,,,,,
17,2021-09-15,2021-09-16,24.075,24.11,0.0350000000000001,0.0014527345088904,61.31,61.32,0.009999999999998,0.0001630922290168,2.543343011198673,1.0,,,,,,,,,
18,2021-09-16,2021-09-17,24.11,23.88,-0.2300000000000004,-0.0095854036686783,61.32,60.71,-0.6099999999999994,-0.0099976248612707,2.5422948073701845,1.0,,,,,,,,,
19,2021-09-17,2021-09-20,23.88,23.76,-0.1199999999999974,-0.005037794029957,60.71,60.48,-0.2300000000000039,-0.0037956972710651,2.545454545454545,1.0,2.547551701167515,,,1.0,,,,,
20,2021-09-20,2021-09-21,23.76,23.775,0.014999999999997,0.0006311139370096,60.48,60.48,0.0,0.0,2.54384858044164,1.0,2.5475170285584805,2.547551701167515,60.56804169525767,1.0,1.0,60.48,0.0014546573335604102,0.0,0.0014546573335604102
21,2021-09-21,2021-09-22,23.775,23.88,0.1050000000000004,0.0044066800929473,60.48,61.06,0.5800000000000054,0.0095442554354543,2.556951423785595,1.0,2.5479523651461204,2.5475170285584805,60.83470664197651,1.0,1.0,61.06,-0.0036965282705051995,0.0,-0.0036965282705051995
22,2021-09-22,2021-09-23,23.88,23.795,-0.0849999999999973,-0.0035658139513274,61.06,61.02,-0.0399999999999991,-0.0006553080182082,2.564404286614835,1.0,2.548595802026294,2.5479523651461204,60.62852652865194,1.0,1.0,61.02,-0.006436162177884486,0.0,-0.006436162177884486
23,2021-09-23,2021-09-24,23.795,23.525,-0.2700000000000031,-0.0114117891016305,61.02,60.12,-0.9000000000000057,-0.0148591144037499,2.55557917109458,1.0,2.5486950632291947,2.548595802026294,59.955716242668565,1.0,1.0,60.12,-0.0027363377871715195,0.0,-0.0027363377871715195
24,2021-09-24,2021-09-27,23.525,23.18,-0.3449999999999988,-0.0147738475598376,60.12,59.31,-0.8099999999999952,-0.0135646390341384,2.558671268334772,1.0,2.54896064245621,2.5486950632291947,59.07875156565273,1.0,1.0,59.31,-0.003906599662370709,0.0,-0.003906599662370709
25,2021-09-27,2021-09-28,23.18,23.055,-0.125,-0.0054071722529367,59.31,59.18,-0.1300000000000025,-0.0021942788785716,2.566905226631967,1.0,2.5498908677424943,2.54896064245621,58.76628761182793,1.0,1.0,59.18,-0.007015296424571543,0.0,-0.007015296424571543
26,2021-09-28,2021-09-29,23.055,23.225,0.1700000000000017,0.0073466190412334,59.18,59.66,0.4799999999999969,0.0080781321145388,2.5687836383207747,1.0,2.5507480824454185,2.5498908677424943,59.221215403319434,1.0,1.0,59.66,-0.007381933095909209,0.0,-0.007381933095909209
27,2021-09-29,2021-09-30,23.225,22.84,-0.3850000000000015,-0.0167158999120928,59.66,58.65,-1.009999999999998,-0.0170742039871179,2.567863397548161,1.0,2.551719944816773,2.5507480824454185,58.25908620305336,1.0,1.0,58.65,-0.006687508499762774,0.0,-0.006687508499762774
28,2021-09-30,2021-10-01,22.84,23.13,0.2899999999999991,0.0126170914555383,58.65,59.56,0.9100000000000036,0.0153966327163237,2.575010808473844,1.0,2.553082844791027,2.551719944816773,59.021282323611956,1.0,1.0,59.56,-0.009086111603595721,0.0,-0.009086111603595721
29,2021-10-01,2021-10-04,23.13,23.165,0.0350000000000001,0.0015120426252638,59.56,59.62,0.0599999999999951,0.0010068804341171,2.5737103388733003,1.0,2.5543551568380436,2.553082844791027,59.14216409958414,1.0,1.0,59.62,-0.008046981671555476,0.0,-0.008046981671555476
30,2021-10-04,2021-10-05,23.165,22.985,-0.1799999999999997,-0.0078006896104203,59.62,59.13,-0.4899999999999949,-0.0082526784171867,2.572547313465304,1.0,2.555698722267703,2.5543551568380436,58.71185327992243,1.0,1.0,59.13,-0.007096773572483001,0.0,-0.007096773572483001
31,2021-10-05,2021-10-06,22.985,23.25,0.2650000000000005,0.011463302775174,59.13,59.74,0.6099999999999994,0.0102634029552252,2.5694623655913977,1.0,2.556800019796365,2.555698722267703,59.419995292724096,1.0,1.0,59.74,-0.005371021973900901,0.0,-0.005371021973900901
32,2021-10-06,2021-10-07,23.25,23.3,0.0500000000000007,0.0021482285382896,59.74,59.98,0.2399999999999948,0.0040093605328992,2.574248927038626,1.0,2.5582134970761308,2.556800019796365,59.5734404612553,1.0,1.0,59.98,-0.0068013284167563704,0.0,-0.0068013284167563704
33,2021-10-07,2021-10-08,23.3,23.08,-0.2200000000000024,-0.0094869189317561,59.98,59.5,-0.4799999999999969,-0.0080348607692788,2.577989601386482,1.0,2.5597375062371253,2.5582134970761308,59.04356751251709,1.0,1.0,59.5,-0.007700708737393001,0.0,-0.007700708737393001
34,2021-10-08,2021-10-11,23.08,23.14,0.0600000000000022,0.0025962801256319,59.5,59.68,0.1799999999999997,0.0030206433439212,2.579083837510804,1.0,2.561318904758564,2.5597375062371253,59.23232589432708,1.0,1.0,59.68,-0.007529517521865863,0.0,-0.007529517521865863
35,2021-10-11,2021-10-12,23.14,23.445,0.3049999999999997,0.013094530776019,59.68,60.5,0.8200000000000003,0.0136464091412904,2.5805075709106418,1.0,2.5631642624924416,2.561318904758564,60.05012172206453,1.0,1.0,60.5,-0.0074637895009586315,0.0,-0.0074637895009586315
36,2021-10-12,2021-10-13,23.445,23.605,0.1600000000000001,0.0068013014567004,60.5,61.06,0.5600000000000023,0.0092136222699361,2.586740097436984,1.0,2.5651700108741555,2.5631642624924416,60.50349241613409,1.0,1.0,61.06,-0.009155898049497064,0.0,-0.009155898049497064
37,2021-10-13,2021-10-14,23.605,23.89,0.2850000000000001,0.012001407339468,61.06,61.76,0.6999999999999957,0.0113989184097889,2.585182084554207,1.0,2.5672619645419323,2.5651700108741555,61.28191155978358,1.0,1.0,61.76,-0.007771186910005071,0.0,-0.007771186910005071
38,2021-10-14,2021-10-15,23.89,23.88,-0.0100000000000015,-0.0004186728133168,61.76,61.79,0.0300000000000011,0.0004856333563675,2.5875209380234505,1.0,2.5695232710745954,2.5672619645419323,61.306215713261345,1.0,1.0,61.79,-0.007860303012428887,0.0,-0.007860303012428887
39,2021-10-15,2021-10-18,23.88,23.94,0.0600000000000022,0.0025094116054259,61.79,62.12,0.3299999999999983,0.0053264592075982,2.5948203842940685,1.0,2.5719915630165717,2.5695232710745954,61.51438710952582,1.0,1.0,62.12,-0.009796914086689328,0.0,-0.009796914086689328
40,2021-10-18,2021-10-19,23.94,23.955,0.014999999999997,0.0006263702052583,62.12,61.89,-0.2299999999999968,-0.0037093825292161,2.583594239198497,1.0,2.573978845954415,2.5719915630165717,61.61205789206197,1.0,1.0,61.89,-0.0045010193663431175,0.0,-0.0045010193663431175
41,2021-10-19,2021-10-20,23.955,24.34,0.3850000000000015,0.0159440172242958,61.89,62.9,1.009999999999998,0.0161875479551246,2.5842235004108463,1.0,2.575342449785677,2.573978845954415,62.650645110530455,1.0,1.0,62.9,-0.003972185361777886,0.0,-0.003972185361777886
42,2021-10-20,2021-10-21,24.34,24.35,0.0100000000000015,0.0004107619692176,62.9,62.85,-0.0499999999999971,-0.0007952286701383,2.5811088295687883,1.0,2.576177676933375,2.575342449785677,62.70958865228124,1.0,1.0,62.85,-0.0022365700263419497,0.0,-0.0022365700263419497
43,2021-10-21,2021-10-22,24.35,24.46,0.1099999999999994,0.0045072807304275,62.85,62.98,0.1299999999999954,0.0020662806366221,2.574816026165168,1.0,2.5771395196869045,2.576177676933375,63.01330597779036,1.0,1.0,62.98,0.0005286944144800792,0.0,0.0005286944144800792
44,2021-10-22,2021-10-25,24.46,24.52,0.0599999999999987,0.0024499808089842,62.98,63.16,0.1799999999999997,0.0028539737145628,2.5758564437194127,1.0,2.577998778456136,2.5771395196869045,63.1914610227229,1.0,1.0,63.16,0.000497992237184044,0.0,0.000497992237184044
45,2021-10-25,2021-10-26,24.52,24.61,0.0899999999999998,0.0036637533349538,63.16,63.27,0.1100000000000065,0.0017400937713517,2.5709061357171885,1.0,2.5781988239103972,2.577998778456136,63.444549937805505,1.0,1.0,63.27,0.0027550119271276974,0.0,0.0027550119271276974
46,2021-10-26,2021-10-27,24.61,24.415,-0.1950000000000002,-0.0079551668893408,63.27,62.82,-0.4500000000000028,-0.0071377890482925,2.5730083964775754,1.0,2.578410061818237,2.5781988239103972,62.94672428577235,1.0,1.0,62.82,0.0020152282629472113,0.0,0.0020152282629472113
47,2021-10-27,2021-10-28,24.415,24.745,0.3300000000000018,0.0134257508902258,62.82,63.79,0.9699999999999988,0.0153229441433633,2.577894524146292,1.0,2.578911618148144,2.578410061818237,63.802756979692276,1.0,1.0,63.79,0.0001999640110733882,0.0,0.0001999640110733882
48,2021-10-28,2021-10-29,24.745,24.455,-0.2900000000000027,-0.011788754412529,63.79,63.07,-0.7199999999999989,-0.011351217578304,2.579022694745451,1.0,2.5791122124617245,2.578911618148144,63.067283621812855,1.0,1.0,63.07,-4.3070186856230825e-05,0.0,-4.3070186856230825e-05
49,2021-10-29,2021-11-01,24.455,24.64,0.1850000000000022,0.0075364446739986,63.07,63.47,0.3999999999999986,0.0063221326428188,2.575892857142857,1.0,2.579221338375202,2.5791122124617245,63.54932491505689,1.0,1.0,63.47,0.0012490213661982656,0.0,0.0012490213661982656
50,2021-11-01,2021-11-02,24.64,24.82,0.1799999999999997,0.007278641111142,63.47,63.94,0.4699999999999988,0.0073777903133166,2.5761482675261886,1.0,2.5794013860782465,2.579221338375202,64.01627361847251,1.0,1.0,63.94,0.0011921826941274374,0.0,0.0011921826941274374
51,2021-11-02,2021-11-03,24.82,24.98,0.1600000000000001,0.0064257249209704,63.94,64.45,0.5100000000000051,0.007944585753501,2.580064051240993,1.0,2.579931470360726,2.5794013860782465,64.4334466242346,1.0,1.0,64.45,-0.00025687357515637545,0.0,-0.00025687357515637545
52,2021-11-03,2021-11-04,24.98,24.7,-0.2800000000000011,-0.0112722610635,64.45,63.71,-0.740000000000002,-0.0115481932567996,2.579352226720648,1.0,2.580186635344827,2.579931470360726,63.72430731790993,1.0,1.0,63.71,0.00022454421060016981,0.0,0.00022454421060016981
53,2021-11-04,2021-11-05,24.7,24.855,0.1550000000000011,0.0062556959127043,63.71,64.25,0.5399999999999991,0.0084401876469324,2.5849929591631464,1.0,2.5805368032336604,2.580186635344827,64.13053882149568,1.0,1.0,64.25,-0.0018610486305860841,0.0,-0.0018610486305860841
54,2021-11-05,2021-11-08,24.855,24.805,-0.0500000000000007,-0.0020136937936237,64.25,63.99,-0.259999999999998,-0.0040549026239602,2.579721830276154,1.0,2.5805687028719277,2.5805368032336604,64.01021540421094,1.0,1.0,63.99,0.0003158651618699207,0.0,0.0003158651618699207
55,2021-11-08,2021-11-09,24.805,24.84,0.0350000000000001,0.0014100113122657,63.99,64.2,0.2100000000000008,0.0032763895445465,2.5845410628019323,1.0,2.580770377466492,2.5805687028719277,64.10132657933869,1.0,1.0,64.2,-0.0015381515179371946,0.0,-0.0015381515179371946
56,2021-11-09,2021-11-10,24.84,24.76,-0.0799999999999983,-0.0032258092488825,64.2,64.12,-0.0799999999999983,-0.0012468829545632,2.5896607431340875,1.0,2.5809164097513477,2.580770377466492,63.89987454607035,1.0,1.0,64.12,-0.00343892964507448,0.0,-0.00343892964507448
57,2021-11-10,2021-11-11,24.76,24.805,0.0449999999999981,0.0018157979366167,64.12,64.29,0.1700000000000017,0.0026477704122431,2.591816166095545,1.0,2.5812481138284147,2.5809164097513477,64.01963154388218,1.0,1.0,64.29,-0.004214318956741225,0.0,-0.004214318956741225
58,2021-11-11,2021-11-12,24.805,24.785,-0.0199999999999995,-0.000806614280475,64.29,64.24,-0.0500000000000113,-0.0007780285150892,2.591890256203349,1.0,2.58146657973741,2.5812481138284147,63.97623450123726,1.0,1.0,64.24,-0.004114391159256791,0.0,-0.004114391159256791
59,2021-11-12,2021-11-15,24.785,24.975,0.1900000000000012,0.0076366930620801,64.24,65.0,0.7600000000000051,0.0117612002571309,2.6026026026026026,1.0,2.5818556906528363,2.58146657973741,64.47212782894182,1.0,1.0,65.0,-0.008154266170624203,0.0,-0.008154266170624203
60,2021-11-15,2021-11-16,24.975,24.815,-0.1600000000000001,-0.0064270154952131,65.0,64.52,-0.480000000000004,-0.007412016638629,2.600040298206729,1.0,2.5826779936032476,2.5818556906528363,64.06874896355014,1.0,1.0,64.52,-0.007018543884584906,0.0,-0.007018543884584906
61,2021-11-16,2021-11-17,24.815,24.92,0.1050000000000004,0.0042223848798482,64.52,64.85,0.3299999999999983,0.0051016575054448,2.6023274478330656,1.0,2.5835831909743585,2.5826779936032476,64.36033560059293,1.0,1.0,64.85,-0.007579374223758928,0.0,-0.007579374223758928
62,2021-11-17,2021-11-18,24.92,24.94,0.0199999999999995,0.000802246332638,64.85,64.89,0.0400000000000062,0.0006166178706242,2.6018444266238974,1.0,2.584619970827114,2.5835831909743585,64.43456478290051,1.0,1.0,64.89,-0.007043319274181552,0.0,-0.007043319274181552
63,2021-11-18,2021-11-19,24.94,24.785,-0.1550000000000011,-0.0062343087793531,64.89,64.41,-0.480000000000004,-0.0074246280742778,2.5987492434940487,1.0,2.5858166316935582,2.584619970827114,64.05980597695002,1.0,1.0,64.41,-0.005451785153057427,0.0,-0.005451785153057427
64,2021-11-19,2021-11-22,24.785,24.705,-0.0800000000000018,-0.0032329791748239,64.41,64.18,-0.2299999999999897,-0.0035772648770883,2.5978546852863795,1.0,2.5869165437719066,2.5858166316935582,63.88259988598935,1.0,1.0,64.18,-0.004644613632899952,0.0,-0.004644613632899952
65,2021-11-22,2021-11-23,24.705,24.875,0.1700000000000017,0.0068576307469431,64.18,64.64,0.4599999999999937,0.007141778531129,2.5985929648241206,1.0,2.588300885227253,2.5869165437719066,64.34954902632617,1.0,1.0,64.64,-0.004503488333160803,0.0,-0.004503488333160803
66,2021-11-23,2021-11-24,24.875,25.185,0.3099999999999987,0.0123852961529572,64.64,65.4,0.7600000000000051,0.0116888442503131,2.596783799880882,1.0,2.5894896553974185,2.588300885227253,65.18635779444837,1.0,1.0,65.4,-0.0032720477049771857,0.0,-0.0032720477049771857
67,2021-11-24,2021-11-26,25.185,24.495,-0.6899999999999977,-0.0277795641070755,65.4,63.37,-2.030000000000008,-0.0315316951277275,2.587058583384364,1.0,2.5899478583593223,2.5894896553974185,63.42954910895977,1.0,1.0,63.37,0.000939263802689521,0.0,0.000939263802689521
68,2021-11-26,2021-11-29,24.495,24.725,0.2300000000000004,0.0093458624182375,63.37,63.94,0.5700000000000003,0.0089545802962697,2.5860465116279068,1.0,2.5902990492034452,2.5899478583593223,64.03646079793425,1.0,1.0,63.94,0.0015074774782797553,0.0,0.0015074774782797553
69,2021-11-29,2021-11-30,24.725,24.21,-0.5150000000000006,-0.0210491065588087,63.94,62.69,-1.25,-0.0197431983458182,2.589425857083849,1.0,2.590975699200494,2.5902990492034452,62.71113998121541,1.0,1.0,62.69,0.0003371577231090967,0.0,0.0003371577231090967
70,2021-11-30,2021-12-01,24.21,23.835,-0.375,-0.015610682293178,62.69,61.65,-1.0399999999999991,-0.0167287156755238,2.5865324103209564,1.0,2.591494906340233,2.590975699200494,61.755905790443784,1.0,1.0,61.65,0.0017163816555618677,0.0,0.0017163816555618677
71,2021-12-01,2021-12-02,23.835,24.53,0.6950000000000003,0.0287417696136089,61.65,63.47,1.8200000000000005,0.0290941237080254,2.5874439461883405,1.0,2.5918639010876,2.591494906340233,63.56937005252592,1.0,1.0,63.47,0.0015643980720445034,0.0,0.0015643980720445034
